,https://roic.ai/company/EVK,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2800000,800000,300000,- -,- -,10800000,32000000,70300000,97500000,89900000,134100000,215800000,279600000,368100000,460141150,421389000,392666000,415581000,448508000,383101000,267354000,330978000
2,COGS,2000000,200000,200000,- -,- -,8700000,26400000,59000000,81600000,71600000,108000000,171200000,214600000,273500000,337893180,292090000,271506000,279839000,301153000,264330000,176141000,230026000
3,Gross Profit,800000,600000,100000,- -,- -,2100000,5600000,11300000,15900000,18300000,26100000,44600000,65000000,94600000,122247970,129299000,121160000,135742000,147355000,118771000,91213000,100952000
4,Gross Profit Ratio,0.2857,0.7500,0.3333,- -,- -,0.1944,0.1750,0.1607,0.1631,0.2036,0.1946,0.2067,0.2325,0.2570,0.2657,0.3068,0.3086,0.3266,0.3285,0.3100,0.3412,0.3050
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,- -,2170000,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,800000,400000,- -,- -,- -,- -,- -,- -,6390180,7533411,9782025,14344606,16248947,24676303,32703882,35956000,34042000,35053000,39811000,35123000,31176000,38416000
7,Selling and Marketing Exp.,- -,- -,- -,- -,1000000,85108000,516719000,593570000,1966926000,940474000,9760424000,18145937000,33723088000,51772169000,67729492000,76537000,77398000,85940000,91439000,80180000,55894000,63074000
8,"Selling, General and Administrative Exp.",800000,400000,189576,- -,1000,938705,1969347,3974678,1973316180,948007411,9770206025,18160281606,33739336947,51796845303,67762195882,112493000,111440000,120993000,131250000,115303000,87070000,101490000
9,Other Expenses,1600000,-0,- -,- -,- -,30958,58484,- -,-1964959074,-935814897,-9750663576,-18127791063,-33689364912,-51721596831,-67661762508,-2170000,- -,- -,- -,- -,-1235000,- -
10,Operating Expenses,2400000,400000,189576,- -,1000,969663,2027831,3974678,8357106,12192514,19542449,32490543,49972035,76448472,100433374,112493000,111440000,120993000,131250000,115303000,85835000,101490000
11,COGS and Expenses,4400000,600000,400000,- -,1000,9700000,28900000,63000000,89900000,83800000,127500000,203700000,264500000,349900000,438326560,404583000,382946000,400832000,433489000,379633000,261976000,331516000
12,Interest Income ,- -,- -,- -,- -,- -,131610,5520,174036,227090,620731,125492,703039,1348646,1186402,1238050,1001000,1059000,1260000,1375000,1003000,1014000,976000
13,Interest Expense (Gain),- -,- -,24075,- -,- -,74284,285876,424448,2858168,443106,490001,1446192,2103103,3005579,3269464,2689000,1997000,1648000,1989000,1222000,2345000,2391000
14,Depreciation and Amortization,340000,80000,55770,- -,- -,162906,287734,952122,1010379,1892654,2342539,3776545,4961510,6468807,7531500,8495000,7915000,7015000,6664000,8239000,5291000,6404000
15,EBITDA,-2760000,180000,-1620155,-600000,-1000,1437190,3373610,8476570,8568547,7435760,10632540,16822737,21764613,26774386,32644154,29807000,20753000,122127000,25603000,15293000,13385000,11648000
16,EBITDA ratio,-0.9857,0.2250,-5.4005,-Infinity,-Infinity,0.1331,0.1054,0.1206,0.0879,0.0827,0.0793,0.0780,0.0778,0.0727,0.0709,0.0707,0.0529,0.2939,0.0571,0.0399,0.0501,0.0352
17,Operating Income,-1700000,200000,-132126,- -,-1000,1131733,2061160,7334440,7545060,6112710,6615919,12053572,15083900,18145867,21814595,16806000,9720000,14749000,15019000,3468000,4143000,-538000
18,Operating Income ratio,-0.6071,0.2500,-0.4404,- -,-Infinity,0.1048,0.0644,0.1043,0.0774,0.0680,0.0493,0.0559,0.0539,0.0493,0.0474,0.0399,0.0248,0.0355,0.0335,0.0091,0.0155,-0.0016
19,Total Other Income Expenses (Gains),-400000,-100000,-1567874,-44400,- -,68267,738840,-334440,-2945060,-912710,1184081,-353572,-383900,-745867,28595,1553000,541000,3121000,1363000,2313000,1599000,3391000
20,Income Before Tax,-2100000,100000,-1700000,-600000,-1000,1200000,2800000,7000000,4600000,5200000,7800000,11700000,14700000,17400000,21843190,18359000,10261000,17870000,16382000,5781000,5742000,2853000
