,https://roic.ai/company/BRTHY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,438540000000,579180000000,562272000000,566378000000,482204000000,446269000000,502830000000,497390000000,516066000000,616834000000,707237000000,745888000000,641185000000,712997000000,683972000000,637259000000,631812000000
2,COGS,269242000000,362533000000,334925000000,326373000000,280224000000,247185000000,286795000000,280689000000,300006000000,349014000000,389831000000,400328000000,368016000000,412211000000,391893000000,354987000000,345209000000
3,Gross Profit,169298000000,216647000000,227347000000,240005000000,201980000000,199084000000,216035000000,216701000000,216060000000,267820000000,317406000000,345560000000,273169000000,300786000000,292079000000,282272000000,286603000000
4,Gross Profit Ratio,0.3860,0.3741,0.4043,0.4238,0.4189,0.4461,0.4296,0.4357,0.4187,0.4342,0.4488,0.4633,0.4260,0.4219,0.4270,0.4429,0.4536
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,135849000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212410000000,223557000000,220105000000,215330000000,208526000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",135849000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212410000000,223557000000,220105000000,215330000000,208526000000
9,Other Expenses,- -,171643000000,176091000000,186501000000,182079000000,172446000000,179942000000,182517000000,186284000000,224518000000,259864000000,298282000000,1606000000,8558000000,49000000,-388000000,35344000000
10,Operating Expenses,135849000000,171643000000,176091000000,186501000000,182079000000,172446000000,179942000000,182517000000,186284000000,224518000000,259864000000,298282000000,214016000000,232115000000,220154000000,214942000000,243870000000
11,COGS and Expenses,405091000000,534176000000,511016000000,512874000000,462303000000,419631000000,466737000000,463206000000,486290000000,573532000000,649695000000,698610000000,582032000000,644326000000,612047000000,569929000000,589079000000
12,Interest Income ,723000000,1883000000,2105000000,2866000000,2020000000,703000000,713000000,896000000,901000000,1052000000,1271000000,1012000000,3600000000,3522000000,4039000000,2289000000,2209000000
13,Interest Expense (Gain),1672000000,1667000000,1228000000,726000000,867000000,791000000,854000000,615000000,451000000,276000000,342000000,871000000,1648000000,2598000000,3800000000,2700000000,2231000000
14,Depreciation and Amortization,14212000000,17339000000,18827000000,22746000000,23894000000,21736000000,26595000000,24756000000,25894000000,29150000000,29523000000,41122000000,33811000000,34141000000,33674000000,40197000000,38252000000
15,EBITDA,27670000000,60893000000,65813000000,69778000000,48923000000,48834000000,62085000000,59478000000,54259000000,62297000000,95463000000,90910000000,96518000000,105955000000,109473000000,109810000000,83288000000
16,EBITDA ratio,0.0631,0.1051,0.1170,0.1232,0.1015,0.1094,0.1235,0.1196,0.1051,0.1010,0.1350,0.1219,0.1505,0.1486,0.1601,0.1723,0.1318
17,Operating Income,33447000000,45004000000,51255000000,53503000000,19901000000,26637000000,36092000000,34183000000,29775000000,43301000000,57541000000,47276000000,59152000000,68672000000,71925000000,67329000000,42731000000
18,Operating Income ratio,0.0763,0.0777,0.0912,0.0945,0.0413,0.0597,0.0718,0.0687,0.0577,0.0702,0.0814,0.0634,0.0923,0.0963,0.1052,0.1057,0.0676
19,Total Other Income Expenses (Gains),-3723000000,-2676000000,-5467000000,-7222000000,3712000000,-404000000,-2031000000,-76000000,-1829000000,-9774000000,7858000000,2070000000,2105000000,997000000,349000000,-283000000,213000000
20,Income Before Tax,29724000000,42328000000,45788000000,46281000000,23613000000,26233000000,34061000000,34107000000,27946000000,33527000000,65399000000,49346000000,61257000000,69669000000,72274000000,67046000000,42944000000
21,Income Before Tax Ratio,0.0678,0.0731,0.0814,0.0817,0.0490,0.0588,0.0677,0.0686,0.0542,0.0544,0.0925,0.0662,0.0955,0.0977,0.1057,0.1052,0.0680
22,Income Tax expense (Gain),-8615000000,17243000000,16884000000,19196000000,8900000000,6678000000,8398000000,14582000000,10088000000,13651000000,11629000000,17900000000,13817000000,19196000000,18097000000,17347000000,18285000000
23,Net Income,20401000000,24644000000,28874000000,27110000000,15262000000,19629000000,26238000000,19525000000,17826000000,19220000000,53969000000,31017000000,47242000000,50020000000,53902000000,49566000000,24520000000
24,Net Income ratio,0.0465,0.0425,0.0514,0.0479,0.0317,0.0440,0.0522,0.0393,0.0345,0.0312,0.0763,0.0416,0.0737,0.0702,0.0788,0.0778,0.0388
25,EPS,147.10,178.06,209.64,196.92,113.58,146.68,196.06,145.90,133.30,144.40,413.36,238.94,363.92,385.26,415.08,381.60,188.72
26,EPS Diluted,147.10,178.06,209.64,196.88,113.52,146.56,195.82,145.70,133.08,144.12,412.48,238.38,362.92,384.16,413.80,380.42,188.14
27,Weighted Average Shares Outstanding,138687967,137740500,137732000,137676000,134386500,134372500,134367000,133829000,133736500,133106500,130562500,129814500,129817775,129837435,129859879,129890592,129934224
28,Weighted Average Shares Outstanding Diluted,138687967,137740500,137732000,137698090,134443270,134372500,134367000,134008236,133949504,133361088,130840283,130115782,132172369,130207090,130259196,130295964,130335640
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,80891000000,57009000000,70412000000,83545000000,45970000000,49829000000,67239000000,59536000000,52320000000,71357000000,107949000000,69671000000,112032000000,121384000000,131152000000,168422000000,191002000000
32,Short-Term Investments,2004000000,3009000000,398000000,404000000,865000000,729000000,527000000,881000000,10004000000,3017000000,2915000000,9737000000,9701000000,9272000000,7970000000,11277000000,8391000000
33,Cash and Short-Term Investments,82895000000,60018000000,70810000000,83949000000,46835000000,50558000000,67766000000,60417000000,62324000000,74374000000,110864000000,79408000000,121733000000,130656000000,139122000000,179699000000,199393000000
