,https://roic.ai/company/OPRA,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,128892000,172276000,334855000,165274000,250991000
2,COGS,- -,- -,13316000,73991000,12112000,13691000
3,Gross Profit,- -,- -,158960000,260864000,153162000,237300000
4,Gross Profit Ratio,- -,- -,0.9227,0.7790,0.9267,0.9455
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,54007000,55923000,78932000,59936000,85098000
7,Selling and Marketing Exp.,- -,30971000,31581000,73150000,47860000,121319000
8,"Selling, General and Administrative Exp.",- -,84978000,87504000,152082000,107796000,206417000
9,Other Expenses,- -,- -,26156000,88120000,40335000,32130000
10,Operating Expenses,- -,- -,113660000,240202000,148131000,238547000
11,COGS and Expenses,- -,115414000,126976000,314193000,160243000,252238000
12,Interest Income ,- -,54000,1386000,2045000,326000,123000
13,Interest Expense (Gain),- -,238000,184000,1242000,516000,6912000
14,Depreciation and Amortization,- -,16604000,12694000,18934000,20390000,19600000
15,EBITDA,- -,24346000,54519000,83677000,197647000,10771000
16,EBITDA ratio,- -,0.1889,0.3165,0.2499,1.1959,0.0429
17,Operating Income,- -,10239000,45301000,20662000,-2448000,-7751000
18,Operating Income ratio,- -,0.0794,0.2630,0.0617,-0.0148,-0.0309
19,Total Other Income Expenses (Gains),- -,-2735000,-3660000,42838000,37445000,-7174000
20,Income Before Tax,- -,7504000,41641000,63500000,34997000,-14925000
21,Income Before Tax Ratio,- -,0.0582,0.2417,0.1896,0.2118,-0.0595
22,Income Tax expense (Gain),- -,1440000,6481000,5602000,689000,43000
23,Net Income,- -,6064000,35160000,57899000,176052000,-15784000
24,Net Income ratio,- -,0.0470,0.2041,0.1729,1.0652,-0.0629
25,EPS,- -,0.06,0.35,0.52,1.50,-0.13
26,EPS Diluted,- -,0.06,0.34,0.50,1.48,-0.13
27,Weighted Average Shares Outstanding,- -,109725000,101310000,112315000,117285000,117285000
28,Weighted Average Shares Outstanding Diluted,- -,109725000,104365000,112415000,118695000,117285000
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1737450/000143774920009032/opra20191231_20f.htm,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,32393000,32969000,177643000,139271000,134168000,102876000
32,Short-Term Investments,- -,- -,1254000,43681000,856000,78135000
33,Cash and Short-Term Investments,32393000,32969000,178897000,182952000,135024000,181011000
34,Net Receivables,42758000,38939000,44591000,148720000,43424000,62402000
35,Inventory,- -,- -,- -,7752000,- -,- -
36,Other Current Assets,3816000,2403000,14602000,78903000,9060000,9194000
37,Total Current Assets,78967000,74311000,238090000,418327000,187508000,252607000
38,PP&E,11788000,13460000,- -,7967000,18167000,12263000
39,Goodwill,421578000,421578000,421578000,421578000,424961000,429588000
40,Intangible Assets,124536000,118619000,115442000,110713000,111954000,103627000
41,Intangible Assets,546114000,540197000,537020000,532291000,536915000,533215000
42,Investments,2885000,7374000,37085000,77651000,366436000,319002000
43,Tax Assets,724000,958000,944000,6204000,3996000,2323000
44,Other Non-Current Assets,- -,- -,12164000,18180000,-5370000,1981000
45,Total Non-Current Assets,561511000,561989000,587213000,642293000,920144000,868784000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,640478000,636300000,825303000,1060620000,1107652000,1121391000
48,Accounts Payable,24386000,16521000,14914000,48677000,25454000,38753000
49,Short-Term Debt,- -,- -,2294000,43169000,- -,11427000
50,Tax Payable,- -,- -,- -,- -,- -,763000
51,Deferred Revenue,3578000,1472000,1932000,708000,345000,1092000
52,Other Current Liabilities,25308000,18857000,14862000,36016000,19749000,20264000
53,Total Current Liabilities,53272000,36850000,34002000,128570000,45548000,71536000
54,Long-Term Debt,- -,3767000,2238000,1803000,3584000,2081000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,15603000,11828000,13358000,10526000,11745000,6532000
57,Other Non-Current Liabilities,3407000,352000,245000,7515000,68000,22000
58,Total Non-Current Liabilities,19010000,15947000,15841000,19844000,15397000,8635000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,6533000,2338000,229000,12003000,7800000,- -
61,Total Liabilities,72282000,52797000,49843000,148414000,60945000,80171000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,576531000,576531000,22012000,24000,24000,24000
64,Retained Earnings,-7704000,5366000,36432000,99513000,280211000,277335000
65,Other Comprehensive Income/Loss,-1768000,-9394000,-14784000,-12545000,- -,-520000
66,Other Total Stockholders Equity,1138000,11000000,731800000,825214000,768660000,764381000
67,Total Stockholders Equity,568197000,583503000,775460000,912206000,1048895000,1041220000
68,Total Liabilities And Stockholders Equity,640479000,636300000,825303000,1060620000,1109840000,1121391000
69,Minority Interest,-1000,- -,- -,- -,-2188000,- -
70,Total Liabilities & Equity,640478000,636300000,825303000,1060620000,1107652000,1121391000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1737450/000143774920009032/opra20191231_20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,- -,6064000,35160000,57899000,176052000,-15784000
74,Depreciation and Amortization,- -,16604000,12694000,18934000,20390000,19600000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,7006000,6439000,5118000,4521000,9785000
77,Change in Working Capital,- -,-12469000,-25811000,-79307000,88520000,6853000
78,Accounts Receivable,- -,-235000,-9635000,-14206000,19572000,-7383000
79,Inventory,- -,- -,- -,-7752000,7752000,24000
80,Accounts Payable,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-3725000,157000,-498000,1270000,747000
82,Other Non-Cash Items,- -,-5552000,5346000,-47108000,-196159000,6110000
83,Cash Provided by Operating Activities,- -,11653000,33828000,-44464000,93324000,26564000
84,CAPEX,- -,-7026000,-6748000,-13041000,-11323000,-5896000
85,Acquisitions Net,- -,- -,-8000000,- -,- -,40992000
86,Purchases of Investments,- -,- -,-2188000,-35250000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,218000,-34446000,-62869000,5440000,-89635000
89,Cash Used for Investing Activites,- -,-3305000,-47250000,-106987000,2956000,-49703000
90,Debt Repayment,- -,-10031000,-4058000,-4264000,-57076000,-5618000
91,Common Stock Issued,- -,- -,170871000,82630000,- -,- -
92,Common Stock Repurchased,- -,- -,-4875000,-5780000,-49049000,-749000
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-2992000,40614000,5153000,-316000
95,Cash Used/Provided by Financing Activities,- -,-10031000,158946000,113200000,-100972000,-6683000
96,Effect of Forex Changes on Cash,- -,709000,-857000,-137000,-627000,-1472000
97,Net Change In Cash,- -,-974000,144666000,-38386000,-5319000,-31292000
