,https://roic.ai/company/NGS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,8762107,10296541,12749522,15958199,49311000,62729000,72489000,85336000,67796000,53908000,65158000,93722000,89248000,96974000,95919000,71654000,67693000,65478000,78444000,68055000,72420000
2,COGS,4942145,5571531,6056596,6951495,31338000,39308000,41106000,44994000,32157000,24750000,30394000,65614000,59087000,64654000,65413000,53668000,56045000,55744000,67578000,60629000,45365000
3,Gross Profit,3819962,4725010,6692926,9006704,17973000,23421000,31383000,40342000,35639000,29158000,34764000,28108000,30161000,32320000,30506000,17986000,11648000,9734000,10866000,7426000,27055000
4,Gross Profit Ratio,0.4360,0.4589,0.5250,0.5644,0.3645,0.3734,0.4329,0.4727,0.5257,0.5409,0.5335,0.2999,0.3379,0.3333,0.3180,0.2510,0.1721,0.1487,0.1385,0.1091,0.3736
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,1718234,2291853,2651919,4890000,5270000,5324000,- -,6190000,5867000,5910000,- -,8141000,10334000,10989000,9011000,10081000,9096000,- -,10550000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1718234,2291853,2651919,4890000,5270000,5324000,- -,6190000,5867000,5910000,- -,8141000,10334000,10989000,9011000,10081000,9096000,- -,10550000,10762000
9,Other Expenses,2621126,1166004,1725717,2444264,4224000,6020000,7470000,15767000,11686000,11927000,13994000,7893000,- -,- -,4370000,545000,- -,- -,15980000,184000,74066000
10,Operating Expenses,2621126,2884238,4017570,5096183,9114000,11290000,12794000,15767000,17876000,17794000,19904000,7893000,8141000,10334000,15359000,9556000,10081000,9096000,15980000,10734000,84828000
11,COGS and Expenses,7563271,8455769,10074166,12047678,40452000,50598000,53900000,60761000,50033000,42544000,50298000,73507000,67228000,74988000,80772000,63224000,66126000,64840000,83558000,71363000,84828000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),924382,975719,667122,837486,1997000,1646000,1155000,742000,606000,194000,55000,18000,56000,10000,15000,8000,14000,69000,15000,14000,-65000
14,Depreciation and Amortization,968122,1236373,1790673,2509220,4273000,6020000,7470000,9925000,11686000,11927000,13994000,15707000,18144000,21507000,22758000,21796000,21302000,22049000,23268000,25198000,25397000
15,EBITDA,2588397,3581640,4461727,7860653,13331000,19541000,27358000,34887000,29519000,23421000,29678000,35936000,40712000,43675000,38037000,30269000,22919000,22869000,8726000,22228000,13546000
16,EBITDA ratio,0.2954,0.3478,0.3500,0.4926,0.2703,0.3115,0.3774,0.4088,0.4354,0.4345,0.4555,0.3834,0.4562,0.4504,0.3966,0.4224,0.3386,0.3493,0.1112,0.3266,0.1870
17,Operating Income,1198836,1840772,2675356,3910521,8859000,12131000,18589000,24575000,17763000,11364000,14860000,20215000,22020000,21986000,15147000,8430000,1567000,638000,-15153000,-3599000,-12408000
18,Operating Income ratio,0.1368,0.1788,0.2098,0.2450,0.1797,0.1934,0.2564,0.2880,0.2620,0.2108,0.2281,0.2157,0.2467,0.2267,0.1579,0.1176,0.0231,0.0097,-0.1932,-0.0529,-0.1713
19,Total Other Income Expenses (Gains),-502943,-471224,-671424,603426,-1798000,-256000,144000,-355000,-536000,-64000,769000,-4000,492000,172000,117000,35000,36000,113000,596000,615000,622000
20,Income Before Tax,695893,1369548,2003932,4513947,7061000,11875000,18733000,24220000,17227000,11300000,15629000,20211000,22512000,22158000,15264000,8465000,1603000,751000,-14557000,-2984000,-11786000
21,Income Before Tax Ratio,0.0794,0.1330,0.1572,0.2829,0.1432,0.1893,0.2584,0.2838,0.2541,0.2096,0.2399,0.2156,0.2522,0.2285,0.1591,0.1181,0.0237,0.0115,-0.1856,-0.0438,-0.1627
22,Income Tax expense (Gain),313900,583463,696799,1139919,2615000,4287000,6455000,8627000,6212000,4272000,5869000,7526000,8122000,8030000,5117000,1996000,-18248000,325000,-693000,-4792000,-2603000
23,Net Income,381993,786085,1307133,3374028,4446000,7588000,12278000,15593000,11015000,7028000,9760000,12685000,14390000,14128000,10147000,6469000,19851000,426000,-13864000,1808000,-9183000
24,Net Income ratio,0.0436,0.0763,0.1025,0.2114,0.0902,0.1210,0.1694,0.1827,0.1625,0.1304,0.1498,0.1353,0.1612,0.1457,0.1058,0.0903,0.2933,0.0065,-0.1767,0.0266,-0.1268
25,EPS,0.11,0.19,0.24,0.59,0.59,0.67,1.02,1.29,0.91,0.58,0.80,1.04,1.17,1.14,0.81,0.51,1.55,0.03,-1.06,0.14,-0.70
26,EPS Diluted,0.11,0.16,0.23,0.52,0.52,0.66,1.01,1.28,0.91,0.58,0.80,1.03,1.15,1.11,0.79,0.50,1.51,0.03,-1.06,0.14,-0.70
27,Weighted Average Shares Outstanding,3357632,3649413,4946922,5591313,7564000,11405000,12071000,12090000,12096000,12108000,12148000,12220000,12324000,12434000,12567000,12702000,12831000,12965000,13114000,13224000,13100000
