,https://roic.ai/company/ESMC,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1900000,1900000,100000,200000,2300000,5400000,5900000,7600000,6670214,11880017,12073932,13366030,14720767,26924622,29790698,38837780,30210461,34600737,31641579,29944212,24446525,11496834,12353796,13136203,11576466,11234868,11402272,9626663,9400031,10471617
2,COGS,900000,700000,-300000,-400000,400000,1800000,2300000,2900000,2207424,4296525,4640325,4895574,5475703,13158061,16003904,15771254,17309671,19548209,17442816,17873492,15175706,5905112,6291611,7006770,6197739,6080017,6299720,4997461,5197866,6044399
3,Gross Profit,1000000,1200000,400000,600000,1900000,3600000,3600000,4700000,4462790,7583492,7433607,8470456,9245064,13766561,13786794,23066526,12900790,15052528,14198763,12070720,9270819,5591722,6062185,6129433,5378727,5154851,5102552,4629202,4202165,4427218
4,Gross Profit Ratio,0.5263,0.6316,4.0000,3.0000,0.8261,0.6667,0.6102,0.6184,0.6691,0.6383,0.6157,0.6337,0.6280,0.5113,0.4628,0.5939,0.4270,0.4350,0.4487,0.4031,0.3792,0.4864,0.4907,0.4666,0.4646,0.4588,0.4475,0.4809,0.4470,0.4228
5,Research and Development Exp.,- -,- -,3400000,- -,1700000,1600000,500000,700000,983853,491582,554760,780333,776496,1892706,2828196,3461322,4058289,3474284,1893182,1602616,1480769,1105255,1306387,1301782,1450069,1053432,500334,739765,1122324,890482
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14392004,14846502,15692087,15334249,10024089,5718267,5113312,5879852,5068950,4603285,4397498,4142392,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4700000,6300000,2900000,4700000,3700000,7000000,2800000,3300000,4660824,5430813,5096994,5033852,5206067,12556374,13994788,13806399,14392004,14846502,15692087,15334249,10024089,5718267,5113312,5879852,5068950,4603285,4397498,4142392,3874498,3570433
9,Other Expenses,300000,300000,400000,500000,800000,900000,300000,400000,666770,- -,- -,195950,- -,- -,- -,- -,9574655,- -,- -,905810,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,5000000,6600000,6700000,5200000,6200000,9500000,3600000,4400000,6311447,5922395,5651754,6010135,5982563,14449080,16822984,17267721,28024948,18320786,17585269,17842675,11504858,6823522,6419699,7181634,6519019,5656717,4897832,4882157,4996822,4460915
11,COGS and Expenses,5900000,7300000,6400000,4800000,6600000,11300000,5900000,7300000,8518871,10218920,10292079,10905709,11458266,27607141,32826888,33038975,45334619,37868995,35028085,35716167,26680564,12728634,12711310,14188404,12716758,11736734,11197552,9879618,10194688,10505314
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18562,285,239,137,246,206,105,179,327,4642,9170,3592,985
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216274,427083,323611,344243,79479,- -,- -,11400,100329,125687,17353,13580,21841
14,Depreciation and Amortization,300000,300000,400000,500000,800000,900000,300000,400000,666770,1038741,215165,307815,241453,387651,440952,590846,582511,784347,1147050,1035735,475857,14281,12591,14302,24651,45914,49218,50139,50084,44812
15,EBITDA,-3700000,-5100000,-5700000,-3800000,-3300000,-4800000,500000,1600000,-195882,1630941,1194021,2132604,3156483,3067426,-1513679,6556503,-14342142,-11964415,1160269,-4638181,-5124697,2798229,-369292,-526943,-1115462,-580652,758580,-182524,-586616,14630
16,EBITDA ratio,-1.9474,-2.6842,-57.0000,-19.0000,-1.4348,-0.8889,0.0847,0.2105,-0.0294,0.1373,0.0989,0.1596,0.2144,0.1139,-0.0508,0.1688,-0.4747,-0.3458,0.0367,-0.1549,-0.2096,0.2434,-0.0299,-0.0401,-0.0964,-0.0517,0.0665,-0.0190,-0.0624,0.0014
17,Operating Income,-4000000,-5400000,-6300000,-4600000,-4300000,-5900000,- -,300000,-1848657,1661097,1781853,2460321,3262501,-682519,-3036190,5798805,-15124158,-12793808,-3386506,-5771955,-2234039,-1231800,-357514,-1052201,-1140292,-626893,204720,-252955,-1399663,-33697
18,Operating Income ratio,-2.1053,-2.8421,-63.0000,-23.0000,-1.8696,-1.0926,- -,0.0395,-0.2772,0.1398,0.1476,0.1841,0.2216,-0.0253,-0.1019,0.1493,-0.5006,-0.3698,-0.1070,-0.1928,-0.0914,-0.1071,-0.0289,-0.0801,-0.0985,-0.0558,0.0180,-0.0263,-0.1489,-0.0032
19,Total Other Income Expenses (Gains),- -,- -,200000,300000,300000,100000,100000,900000,1412684,-1068897,-802997,-635532,-347471,3362294,1081559,166852,199505,-171228,-501709,-393765,-423500,78771,7982,105,-11221,-100002,378955,2939,749383,-18326
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,592200,978856,1824789,2915030,2679775,-1954631,5965657,-14924653,-12965036,-3888215,-6165720,-2657539,-1153029,-349532,-1052096,-1151513,-726895,583675,-250016,-650280,-52023
