,https://roic.ai/company/APCX,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,29805,609032,9619839,- -,- -,- -,- -,13012,867436,- -,- -,282040,255103,291285,256138,329500,354
2,COGS,- -,- -,7843117,- -,- -,- -,- -,-480,714054,- -,- -,174882,398495,193074,101638,140372,149
3,Gross Profit,29805,609032,1776722,- -,- -,- -,- -,13492,153382,- -,- -,107158,-143392,98211,154500,189128,204
4,Gross Profit Ratio,1.0000,1.0000,0.1847,- -,- -,- -,- -,1.0369,0.1768,- -,- -,0.3799,-0.5621,0.3372,0.6032,0.5740,0.5777
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82057,49250,169
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,930974,939254,1897720,1020869,3749456,8399
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",539084,1441989,2980642,- -,- -,- -,- -,- -,- -,- -,- -,930974,939254,1897720,1020869,3749456,8399
9,Other Expenses,-717436,1219718,7281104,- -,- -,- -,- -,73196,660125,- -,- -,- -,- -,- -,- -,- -,68956
10,Operating Expenses,-178352,2661707,10261746,- -,- -,- -,- -,73196,660125,- -,- -,930974,939254,1897720,1102926,3798706,77524
11,COGS and Expenses,634841,2661707,18104863,- -,- -,- -,- -,72716,1374179,- -,- -,1105856,1337749,2090794,1204564,3939078,77674
12,Interest Income ,21852,46972,82453,- -,- -,- -,- -,- -,24,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),323735,1219718,1940716,- -,- -,- -,- -,346,441308,- -,- -,790606,466854,329359,288784,342321,3111
14,Depreciation and Amortization,12447,3029,508814,- -,- -,- -,- -,- -,21782,- -,- -,10825,131,129,65,- -,297130
15,EBITDA,-1363476,-755721,-12343499,- -,- -,- -,- -,-189704,-282549,- -,- -,-1371384,-1082515,-1799380,-1054361,-3844996,220995
16,EBITDA ratio,-45.7466,-1.2409,-1.2831,- -,- -,- -,- -,-14.5792,-0.3257,- -,- -,-4.8624,-4.2434,-6.1774,-4.1164,-11.6692,624.6331
17,Operating Income,-605036,-2052675,-2418629,- -,- -,- -,- -,-59704,-506743,- -,- -,-818086,-1082646,-1799509,-948426,-3609578,-77320
18,Operating Income ratio,-20.2998,-3.3704,-0.2514,- -,- -,- -,- -,-4.5884,-0.5842,- -,- -,-2.9006,-4.2440,-6.1778,-3.7028,-10.9547,-218.5413
19,Total Other Income Expenses (Gains),-876049,74207,-12374400,- -,- -,- -,- -,-346,-441284,- -,- -,-1354729,-466854,-329359,-394784,-577739,-1926
20,Income Before Tax,- -,-1978468,-14793029,- -,- -,- -,- -,-60050,-948027,- -,- -,-2172815,-1549500,-2128868,-1343210,-4187317,-79246
21,Income Before Tax Ratio,- -,-3.2485,-1.5378,- -,- -,- -,- -,-4.6150,-1.0929,- -,- -,-7.7039,-6.0740,-7.3085,-5.2441,-12.7081,-223.9839
22,Income Tax expense (Gain),- -,- -,-131775,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1699658,-1978468,-14661254,- -,- -,- -,- -,-190050,-745639,- -,- -,-2172815,-1549500,-2128868,-1343210,-4187317,-79246
24,Net Income ratio,-57.0259,-3.2485,-1.5241,- -,- -,- -,- -,-14.6057,-0.8596,- -,- -,-7.7039,-6.0740,-7.3085,-5.2441,-12.7081,-223.9839
25,EPS,-855829.00,-494617.00,-1629028.22,- -,- -,- -,- -,-3.67,-0.10,- -,- -,-0.28,-0.19,-0.25,-0.19,-0.48,-0.01
26,EPS Diluted,-855829.00,-494617.00,-1629028.22,- -,- -,- -,- -,-3.67,-0.10,- -,- -,-0.28,-0.19,-0.25,-0.19,-0.48,-0.01
27,Weighted Average Shares Outstanding,2,4,9,- -,- -,- -,- -,51793,6075785,- -,- -,7154479,8271778,8550153,8891972,9107379,9107379
28,Weighted Average Shares Outstanding Diluted,2,4,9,- -,- -,- -,- -,51793,6075785,- -,- -,7154479,8271778,8550153,8891972,9107379,9107379
29,SEC Link,- -,- -,- -,undefined,undefined,undefined,undefined,- -,- -,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1070050/000157570521000225/0001575705-21-000225-index.htm,https://www.sec.gov/Archives/edgar/data/1070050/000157570522000237/0001575705-22-000237-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,204243,148691,1923429,- -,- -,- -,- -,54,144705,- -,- -,885,26286,1384,24159,57497,8026
