,https://roic.ai/company/LIN,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2469000000,2604000000,2438000000,2711000000,3146000000,4449000000,4735000000,4833000000,4639000000,5043000000,5158000000,5128000000,5613000000,6594000000,7656000000,8324000000,9402000000,10796000000,8956000000,10116000000,11252000000,11224000000,11925000000,12273000000,10776000000,10534000000,11358000000,14836000000,28228000000,27243000000,30793000000
2,COGS,1402000000,1450000000,1387000000,1507000000,1777000000,2564000000,2764000000,2807000000,2732000000,3075000000,3060000000,2950000000,3328000000,3987000000,4641000000,4968000000,5557000000,6495000000,5032000000,5754000000,6458000000,6396000000,6744000000,6962000000,5960000000,5860000000,6382000000,9020000000,16644000000,15383000000,17543000000
3,Gross Profit,1067000000,1154000000,1051000000,1204000000,1369000000,1885000000,1971000000,2026000000,1907000000,1968000000,2098000000,2178000000,2285000000,2607000000,3015000000,3356000000,3845000000,4301000000,3924000000,4362000000,4794000000,4828000000,5181000000,5311000000,4816000000,4674000000,4976000000,5816000000,11584000000,11860000000,13250000000
4,Gross Profit Ratio,0.4322,0.4432,0.4311,0.4441,0.4352,0.4237,0.4163,0.4192,0.4111,0.3902,0.4067,0.4247,0.4071,0.3954,0.3938,0.4032,0.4090,0.3984,0.4381,0.4312,0.4261,0.4301,0.4345,0.4327,0.4469,0.4437,0.4381,0.3920,0.4104,0.4353,0.4303
5,Research and Development Exp.,- -,- -,- -,58000000,61000000,72000000,79000000,72000000,67000000,65000000,66000000,69000000,75000000,77000000,80000000,87000000,98000000,97000000,74000000,79000000,90000000,98000000,98000000,96000000,93000000,92000000,93000000,113000000,184000000,152000000,143000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,723000000,782000000,736000000,645000000,652000000,1207000000,1629000000,3457000000,1890000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,547000000,567000000,572000000,507000000,493000000,- -,- -,- -,1303000000,- -
8,"Selling, General and Administrative Exp.",455000000,469000000,450000000,409000000,496000000,688000000,662000000,644000000,641000000,683000000,699000000,751000000,766000000,869000000,987000000,1086000000,1190000000,1312000000,1088000000,1196000000,1239000000,1270000000,1349000000,1308000000,1152000000,1145000000,1207000000,1629000000,3457000000,3193000000,3189000000
9,Other Expenses,236000000,257000000,262000000,273000000,279000000,420000000,392000000,454000000,368000000,513000000,533000000,435000000,522000000,558000000,655000000,664000000,771000000,992000000,811000000,920000000,1011000000,1001000000,1109000000,1170000000,1106000000,1122000000,1184000000,1830000000,4675000000,4626000000,4635000000
10,Operating Expenses,691000000,726000000,712000000,740000000,836000000,1180000000,1133000000,1170000000,1076000000,1261000000,1298000000,1255000000,1363000000,1504000000,1722000000,1837000000,2059000000,2401000000,1973000000,2195000000,2340000000,2369000000,2556000000,2574000000,2351000000,2359000000,2484000000,3572000000,8316000000,7971000000,7967000000
11,COGS and Expenses,2093000000,2176000000,2099000000,2247000000,2613000000,3744000000,3897000000,3977000000,3808000000,4336000000,4358000000,4205000000,4691000000,5491000000,6363000000,6805000000,7616000000,8896000000,7005000000,7949000000,8798000000,8765000000,9300000000,9536000000,8311000000,8219000000,8914000000,9589000000,25295000000,23354000000,25510000000
