,https://roic.ai/company/RCAR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,66426,- -,153711,463288,919418,- -,- -,- -,- -,- -,13770,51134,39846,32787,19494,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,-138820,258609,226354,- -,- -,- -,- -,- -,9080,42984,24988,249181,32387,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,292531,204679,693064,- -,- -,- -,- -,- -,4690,8150,14858,-216394,-12893,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,1.9031,0.4418,0.7538,- -,- -,- -,- -,- -,0.3406,0.1594,0.3729,-6.6000,-0.6614,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36851,- -,- -,975667,281218,309503,574091,368954,745945,4133925,3204895
6,General and Administrative Exp.,355022,747990,967594,558771,845669,579713,133674,56543,81842,27235,190693,312162,215462,536090,248597,628545,1155729,1037289,1588719,2121732,1639068,2944377,5543173,2204521
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",355022,747990,967594,558771,845669,579713,133674,56543,81842,27235,190693,312162,215462,536090,248597,628545,1155729,1037289,1588719,2121732,1639068,2944377,5543173,2204521
9,Other Expenses,14338,- -,- -,- -,125320,125319,42959,14170,1062,375,93444,- -,107156,3264,13329,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,369360,747990,967594,558771,970989,705032,176633,70713,82904,27610,284137,312162,322618,576205,261926,628545,2131396,1318507,1898222,2695823,2008022,3690322,9677098,5409416
11,COGS and Expenses,369360,747990,828774,817380,1197343,705032,176633,70713,82904,27610,293217,355146,347606,825386,261926,628545,2131396,1318507,1898222,2695823,2008022,3690322,9677098,- -
12,Interest Income ,- -,- -,86604,36127,16042,5823,1581,2747,1862,2928,14297,- -,- -,- -,- -,- -,- -,- -,1034,3136,22450,332240,128762,6417
13,Interest Expense (Gain),- -,- -,- -,- -,518,614,- -,- -,1062,375,- -,- -,- -,- -,- -,- -,- -,- -,180701,996651,135269,- -,- -,- -
14,Depreciation and Amortization,- -,- -,183088,170885,125319,125319,42959,14170,- -,- -,- -,- -,- -,3264,1527,- -,- -,- -,53,317,317,264,2633,9368
15,EBITDA,-231877,-747990,-588459,-147080,-136564,-579713,-133674,-56543,-118942,-27610,-265149,1269549,-4266626,4460846,-242432,-628545,-2131396,-1318507,-1898169,-2695506,-2007705,-3690058,-9674465,-5400048
16,EBITDA ratio,-3.4908,-Infinity,-3.8283,-0.3175,-0.1485,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-19.2556,24.8279,-107.0779,136.0553,-12.4362,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-302934,-747990,-858151,-354092,-277925,-705032,-176633,-70713,-82904,-27610,-279447,-639906,-387005,-792599,-243959,-628545,-2131396,-1318507,-1898222,-2695823,-2008022,-3690322,-9677098,-5409416
18,Operating Income ratio,-4.5605,-Infinity,-5.5829,-0.7643,-0.3023,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-20.2939,-12.5143,-9.7125,-24.1742,-12.5146,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,5209,1581,2747,36038,- -,-93444,1573561,-3958866,5250181,- -,- -,- -,- -,-179667,-993515,-112819,332240,128762,937693
20,Income Before Tax,- -,- -,- -,- -,- -,-699823,-175052,-67966,- -,- -,- -,- -,- -,- -,-243959,-628545,-2131396,-1318507,-2077889,-3689338,-2120841,-3358082,-9548336,-4471723
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,-12.5146,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-231877,-709659,-771547,-317965,-262401,-699823,-175052,-67966,-45004,-24682,-265149,1269549,-4266626,4457582,-243959,-1032788,-2131396,-1318507,-2077889,-3689338,-2120841,-3358082,-9548336,-4471723
24,Net Income ratio,-3.4908,-Infinity,-5.0195,-0.6863,-0.2854,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-19.2556,24.8279,-107.0779,135.9558,-12.5146,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.01,-0.03,-0.08,-0.03,-0.02,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,0.02,-0.07,0.07,-0.00,-0.02,-0.03,-0.02,-0.03,-0.05,-0.03,-0.04,-0.11,-0.05
26,EPS Diluted,-0.01,-0.03,-0.08,-0.03,-0.02,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,0.02,-0.07,0.07,-0.00,-0.02,-0.03,-0.02,-0.03,-0.05,-0.03,-0.04,-0.11,-0.05
27,Weighted Average Shares Outstanding,23052404,23239904,11799952,11801719,15975281,96432257,96625122,96625122,96625122,96515533,59374302,63075122,63075122,63075122,63075122,63401149,66575122,67233254,69772485,74386340,77748437,87237053,87352364,87352364
28,Weighted Average Shares Outstanding Diluted,23052404,23239904,11799952,11801719,15975281,96432257,96625122,96625122,96625122,96515533,59374302,63075122,63075122,63075122,63075122,63401149,66575122,67233254,69772485,74386340,77748437,87237053,87352364,87352364
