,https://roic.ai/company/HII,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,6723000000,6575000000,6708000000,6820000000,6957000000,7020000000,7068000000,7441000000,8176000000,8899000000,9361000000,9524000000
2,COGS,5831000000,5551000000,5629000000,5583000000,5540000000,5517000000,5608000000,6018000000,6385000000,7368000000,7691000000,8156000000
3,Gross Profit,892000000,1024000000,1079000000,1237000000,1417000000,1503000000,1460000000,1423000000,1791000000,1531000000,1670000000,1368000000
4,Gross Profit Ratio,0.1327,0.1557,0.1609,0.1814,0.2037,0.2141,0.2066,0.1912,0.2191,0.1720,0.1784,0.1436
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,670000000,624000000,739000000,739000000,726000000,669000000,623000000,570000000,871000000,788000000,904000000,898000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",670000000,624000000,739000000,739000000,726000000,669000000,623000000,570000000,871000000,788000000,904000000,898000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,-15000000,- -,-14000000,- -,-1000000,-2000000
10,Operating Expenses,670000000,624000000,739000000,739000000,726000000,669000000,608000000,570000000,857000000,788000000,903000000,896000000
11,COGS and Expenses,6501000000,6175000000,6368000000,6322000000,6266000000,6186000000,6216000000,6588000000,7242000000,8156000000,8594000000,9052000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),40000000,104000000,117000000,118000000,149000000,137000000,74000000,94000000,58000000,70000000,114000000,89000000
14,Depreciation and Amortization,183000000,184000000,184000000,226000000,194000000,180000000,186000000,205000000,203000000,227000000,247000000,293000000
15,EBITDA,422000000,294000000,542000000,738000000,850000000,949000000,1044000000,1071000000,1232000000,980000000,1171000000,1004000000
16,EBITDA ratio,0.0628,0.0447,0.0808,0.1082,0.1222,0.1352,0.1477,0.1439,0.1507,0.1101,0.1251,0.1054
17,Operating Income,241000000,110000000,358000000,512000000,655000000,769000000,858000000,865000000,951000000,736000000,799000000,513000000
18,Operating Income ratio,0.0358,0.0167,0.0534,0.0751,0.0941,0.1095,0.1214,0.1162,0.1163,0.0827,0.0854,0.0539
19,Total Other Income Expenses (Gains),-42000000,-104000000,-117000000,-118000000,-148000000,-137000000,-74000000,-93000000,20000000,-53000000,11000000,109000000
20,Income Before Tax,199000000,6000000,241000000,394000000,507000000,632000000,784000000,772000000,971000000,683000000,810000000,622000000
21,Income Before Tax Ratio,0.0296,0.0009,0.0359,0.0578,0.0729,0.0900,0.1109,0.1037,0.1188,0.0768,0.0865,0.0653
22,Income Tax expense (Gain),68000000,100000000,95000000,133000000,169000000,228000000,211000000,293000000,135000000,134000000,114000000,78000000
23,Net Income,131000000,-94000000,146000000,261000000,338000000,404000000,573000000,479000000,836000000,549000000,696000000,544000000
24,Net Income ratio,0.0195,-0.0143,0.0218,0.0383,0.0486,0.0575,0.0811,0.0644,0.1023,0.0617,0.0744,0.0571
25,EPS,2.69,-1.93,2.96,5.25,6.93,8.43,12.24,10.48,19.09,13.26,17.14,13.50
26,EPS Diluted,2.69,-1.93,2.91,5.18,6.86,8.36,12.14,10.46,19.09,13.26,17.14,13.50
27,Weighted Average Shares Outstanding,48765741,48800000,49400000,49700000,48800000,47900000,46800000,45700000,43800000,41400000,40600000,40300000
28,Weighted Average Shares Outstanding Diluted,48765741,48800000,50100000,50400000,49300000,48300000,47200000,45800000,43800000,41400000,40600000,40300000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1501585/000119312512138529/0001193125-12-138529-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158513000003/0001501585-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158514000005/0001501585-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158515000005/0001501585-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158516000038/0001501585-16-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158517000005/0001501585-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158518000006/0001501585-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158519000005/0001501585-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/0001501585-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000008/0001501585-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000007/0001501585-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,915000000,1057000000,1043000000,990000000,894000000,720000000,701000000,240000000,75000000,512000000,627000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,915000000,1057000000,1043000000,990000000,894000000,720000000,701000000,240000000,75000000,512000000,627000000
34,Net Receivables,728000000,711000000,905000000,1123000000,1038000000,1074000000,1164000000,1188000000,1255000000,1455000000,1617000000,1952000000
35,Inventory,293000000,380000000,288000000,311000000,339000000,285000000,210000000,183000000,128000000,136000000,137000000,161000000
36,Other Current Assets,292000000,262000000,234000000,199000000,179000000,31000000,48000000,123000000,122000000,119000000,178000000,50000000
37,Total Current Assets,1313000000,2268000000,2484000000,2676000000,2546000000,2284000000,2142000000,2195000000,1745000000,1785000000,2444000000,2790000000
38,PP&E,1997000000,2033000000,2034000000,1897000000,1792000000,1827000000,1986000000,2215000000,2517000000,3033000000,3170000000,3348000000
39,Goodwill,1134000000,844000000,881000000,881000000,1026000000,956000000,1234000000,1217000000,1263000000,1373000000,1617000000,2628000000
40,Intangible Assets,587000000,567000000,548000000,528000000,547000000,495000000,548000000,508000000,492000000,492000000,512000000,1159000000
41,Intangible Assets,1721000000,1411000000,1429000000,1409000000,1573000000,1451000000,1782000000,1725000000,1755000000,1865000000,2129000000,3787000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,99000000,128000000,329000000,- -,212000000,336000000,314000000,114000000,163000000,108000000,133000000,- -
44,Other Non-Current Assets,73000000,161000000,116000000,243000000,146000000,126000000,128000000,125000000,203000000,240000000,281000000,702000000
45,Total Non-Current Assets,3890000000,3733000000,3908000000,3549000000,3723000000,3740000000,4210000000,4179000000,4638000000,5246000000,5713000000,7837000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5203000000,6001000000,6392000000,6225000000,6269000000,6024000000,6352000000,6374000000,6383000000,7031000000,8157000000,10627000000
48,Accounts Payable,274000000,380000000,377000000,337000000,269000000,317000000,316000000,375000000,562000000,497000000,460000000,603000000
49,Short-Term Debt,715000000,29000000,51000000,79000000,108000000,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,134000000,115000000,74000000,125000000,166000000,146000000,331000000,373000000,585000000,651000000
52,Other Current Liabilities,1237000000,963000000,822000000,861000000,861000000,832000000,861000000,870000000,936000000,1020000000,1181000000,1173000000
53,Total Current Liabilities,2226000000,1372000000,1384000000,1392000000,1312000000,1274000000,1343000000,1391000000,1829000000,1890000000,2226000000,2427000000
54,Long-Term Debt,105000000,1830000000,1779000000,1700000000,1592000000,1273000000,1278000000,1279000000,1283000000,1286000000,1843000000,3492000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,83000000,- -,- -,- -,- -,- -,- -,- -,313000000
57,Other Non-Current Liabilities,1454000000,1927000000,2562000000,1529000000,2000000000,1987000000,2078000000,1946000000,1755000000,2267000000,2187000000,1587000000
58,Total Non-Current Liabilities,1559000000,3757000000,4341000000,3312000000,3592000000,3260000000,3356000000,3225000000,3038000000,3553000000,4030000000,5392000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,164000000,157000000,194000000
61,Total Liabilities,3785000000,5129000000,5725000000,4704000000,4904000000,4534000000,4699000000,4616000000,4867000000,5443000000,6256000000,7819000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1933000000,- -,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,-141000000,- -,236000000,525000000,848000000,1323000000,1687000000,2609000000,3009000000,3533000000,3891000000
65,Other Comprehensive Income/Loss,-515000000,-849000000,-1226000000,-521000000,-862000000,-845000000,-951000000,-900000000,-1288000000,-1409000000,-1547000000,-923000000
66,Other Total Stockholders Equity,- -,1875000000,1893000000,1805000000,1701000000,1486000000,1280000000,970000000,194000000,-13000000,-86000000,- -
67,Total Stockholders Equity,1418000000,872000000,667000000,1521000000,1365000000,1490000000,1653000000,1758000000,1516000000,1588000000,1901000000,2808000000
68,Total Liabilities And Stockholders Equity,5203000000,6001000000,6392000000,6225000000,6269000000,6024000000,6352000000,6374000000,6383000000,7031000000,8157000000,10627000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5203000000,6001000000,6392000000,6225000000,6269000000,6024000000,6352000000,6374000000,6383000000,7031000000,8157000000,10627000000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1501585/000119312512138529/0001193125-12-138529-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158513000003/0001501585-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158514000005/0001501585-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158515000005/0001501585-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158516000038/0001501585-16-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158517000005/0001501585-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158518000006/0001501585-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158519000005/0001501585-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/0001501585-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000008/0001501585-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000007/0001501585-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,131000000,-94000000,146000000,261000000,338000000,404000000,573000000,479000000,836000000,549000000,696000000,544000000
74,Depreciation and Amortization,183000000,184000000,184000000,226000000,194000000,180000000,186000000,205000000,203000000,227000000,247000000,293000000
75,Deferred Income Tax,-21000000,- -,79000000,-28000000,-22000000,-15000000,85000000,184000000,10000000,97000000,23000000,98000000
76,Stock Based Compensation,- -,42000000,41000000,44000000,34000000,43000000,36000000,34000000,36000000,30000000,23000000,33000000
77,Change in Working Capital,61000000,1809000000,204000000,184000000,-50000000,-224000000,-211000000,5000000,-888000000,-21000000,323000000,-214000000
78,Accounts Receivable,-190000000,17000000,-194000000,-218000000,140000000,-41000000,-22000000,-35000000,195000000,-51000000,-70000000,58000000
79,Inventory,5000000,-87000000,116000000,51000000,53000000,54000000,75000000,18000000,40000000,-11000000,11000000,-25000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-913000000,896000000,1100000000,1284000000,1234000000,1010000000,799000000,804000000,-84000000,-105000000,218000000,-78000000
82,Other Non-Cash Items,5000000,-1413000000,-322000000,-451000000,222000000,440000000,153000000,-93000000,717000000,14000000,-219000000,6000000
83,Cash Provided by Operating Activities,359000000,528000000,332000000,236000000,716000000,828000000,822000000,814000000,914000000,896000000,1093000000,760000000
84,CAPEX,-191000000,-197000000,-162000000,-139000000,-165000000,-188000000,-285000000,-382000000,-463000000,-530000000,-353000000,-331000000
85,Acquisitions Net,- -,- -,- -,- -,-272000000,-6000000,-372000000,3000000,-87000000,-195000000,-417000000,-1665000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,2000000,- -,- -,58000000,- -,53000000,4000000,-352000000,-389000000,-432000000,-342000000,-289000000
