,https://roic.ai/company/AEI,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,10757093,20380940,24257953,16238200,16238200
2,COGS,7527602,15533701,19968757,12085574,12085574
3,Gross Profit,3229491,4847239,4289196,4152626,4152626
4,Gross Profit Ratio,0.3002,0.2378,0.1768,0.2557,0.2557
5,Research and Development Exp.,350462,461752,- -,- -,- -
6,General and Administrative Exp.,7780596,7160473,5860144,5843067,5843067
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7780596,7160473,5860144,5843067,5843067
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,8131058,7622225,5860144,5843067,5843067
11,COGS and Expenses,15658660,23155926,25828901,17928641,17928641
12,Interest Income ,25894,59346,52145,16321,16321
13,Interest Expense (Gain),- -,509208,372902,147640,147640
14,Depreciation and Amortization,58032,41197,97012,357852,166
15,EBITDA,-4839138,-4439465,-4329163,-2002841,-2377613
16,EBITDA ratio,-0.4499,-0.2178,-0.1785,-0.1233,-0.1464
17,Operating Income,-4901567,-4230312,-6943041,-1690441,-1690441
18,Operating Income ratio,-0.4557,-0.2076,-0.2862,-0.1041,-0.1041
19,Total Other Income Expenses (Gains),-2551920,-3163507,-17527,-2282013,-2282013
20,Income Before Tax,-7453487,-7393819,-6960568,-3972454,-3972454
21,Income Before Tax Ratio,-0.6929,-0.3628,-0.2869,-0.2446,-0.2446
22,Income Tax expense (Gain),-588659,- -,431388,8543,-8543
23,Net Income,-4308511,-4989870,-5230465,-2516876,-2516876
24,Net Income ratio,-0.4005,-0.2448,-0.2156,-0.1550,-0.1550
25,EPS,-0.49,-0.57,-0.61,-0.30,-0.30
26,EPS Diluted,-0.49,-0.57,-0.61,-0.30,-0.30
27,Weighted Average Shares Outstanding,8712081,8712081,8560000,8352425,8352425
28,Weighted Average Shares Outstanding Diluted,8712081,8712081,8560000,8352425,8352425
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1750106/000165495421004178/0001654954-21-004178-index.htm,https://www.sec.gov/Archives/edgar/data/1750106/000149315222008442/0001493152-22-008442-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,1241336,1387209,2774587,22124491,56061309
32,Short-Term Investments,4102756,3235946,3215826,49137999,36337023
33,Cash and Short-Term Investments,5344092,4623155,5990413,71262490,92398332
34,Net Receivables,905859,564759,852119,2261402,374410
35,Inventory,63853,198817,116698,90068,47290
36,Other Current Assets,3081634,4299351,4802503,8287232,49911541
37,Total Current Assets,9395438,9686082,11761733,81901192,142731573
38,PP&E,122568,103425,226343,660119,923537
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,50660966,38912949,23884704,20755267,40555033
45,Total Non-Current Assets,50783534,39016374,24111047,21415386,41478570
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,60178972,48702456,35872780,103316578,184210143
48,Accounts Payable,2690849,4394853,3995001,1553132,- -
49,Short-Term Debt,8306897,1470248,625970,2080326,601660
50,Tax Payable,- -,- -,420327,- -,- -
51,Deferred Revenue,1591986,1381060,1148663,4129562,728343
52,Other Current Liabilities,171566,650669,1261884,- -,12207000
53,Total Current Liabilities,12761298,7896830,7031518,7763020,13537003
54,Long-Term Debt,8793237,9021232,5062731,829704,383354
55,Deferred Revenue,3878842,2582780,1555200,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,12672079,11604012,6617931,829704,383354
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,150195,574754,- -
61,Total Liabilities,25433377,19500842,13649449,8592724,13920357
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,10001,10001,10001,8570,87368
64,Retained Earnings,-32235614,-35263650,-40494115,-43010991,-148233473
65,Other Comprehensive Income/Loss,3923236,1582788,1468269,2153318,341646
66,Other Total Stockholders Equity,51324448,53717424,54263717,97950440,296181977
67,Total Stockholders Equity,23022071,20046563,15247872,57101337,148377518
68,Total Liabilities And Stockholders Equity,48455448,39547405,28897321,65694061,162297875
69,Minority Interest,11723524,9155051,6975459,37622517,21912268
70,Total Liabilities & Equity,60178972,48702456,35872780,103316578,184210143
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1750106/000165495421004178/0001654954-21-004178-index.htm,https://www.sec.gov/Archives/edgar/data/1750106/000149315222008442/0001493152-22-008442-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-4308511,-4989870,-7391956,-4398435,-119018
74,Depreciation and Amortization,58032,41197,97012,357852,166
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,1564376,134
77,Change in Working Capital,-2877166,5155112,8751208,2317680,55056398
78,Accounts Receivable,-488009,321325,-294954,-851514,- -
79,Inventory,-63853,-134964,9939835,4190631,35
80,Accounts Payable,131498,2474888,-352868,308730,- -
81,Other Working Capital,-3365860,1789252,-1259977,747005,129194570
82,Other Non-Cash Items,-18590,7819201,4502170,1803225,-54954365
83,Cash Provided by Operating Activities,-7146235,8025640,5958434,1644698,-16684
84,CAPEX,-30538,-30645,-3632,-21674,-228
85,Acquisitions Net,- -,-55000,- -,301976,- -
86,Purchases of Investments,-500000,- -,- -,-201229,-19390
87,Sales/Maturities of Investments,- -,- -,- -,- -,111
88,Other Investing Activites,- -,- -,-127000,-200000,-36537
89,Cash Used for Investing Activites,-530538,-85645,-130632,-120927,-56044
90,Debt Repayment,-6315215,-8258398,-5107187,-5245264,447
91,Common Stock Issued,4528455,- -,1856551,13202123,104566
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-74
94,Other Financing Activites,8008602,1664466,-736221,12142602,-1521
95,Cash Used/Provided by Financing Activities,6221842,-6593932,-3986857,20099461,103417
96,Effect of Forex Changes on Cash,-14045,25094,-18147,48527,-1622
97,Net Change In Cash,-1468976,1371157,1822798,21671759,-28833222
98,Cash at the End of Period,4137041,5508198,7330996,28894024,60802
99,Cash at the Beginning of Period,5606017,4137041,5508198,7222265,28894024
100,Free Cash Flow,-7176773,7994995,5954802,1623024,-16912
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1750106/000165495421004178/0001654954-21-004178-index.htm,https://www.sec.gov/Archives/edgar/data/1750106/000149315222008442/0001493152-22-008442-index.htm
102,false,,,,,
