,https://roic.ai/company/SIGA,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,100000,700000,500000,500000,483120,1159500,344450,731743,1839182,8476741,7257532,6698717,8065618,13811858,19215837,12725792,8970835,5519300,3139835,8175878,14987628,12268960,477053782,26742085,124959304,- -
2,COGS,- -,- -,-200000,-400000,-945401,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18213036,13856500,10830331,13130529,19710673,16679712,108285157,15085987,25736349,- -
3,Gross Profit,100000,- -,700000,900000,1428521,1159500,344450,731743,1839182,8476741,7257532,6698717,8065618,13811858,19215837,12725792,-9242201,-8337200,-7690496,-4954651,-4723045,-4410752,368768625,11656098,99222955,- -
4,Gross Profit Ratio,1.0000,- -,1.4000,1.8000,2.9569,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,-1.0302,-1.5106,-2.4493,-0.6060,-0.3151,-0.3595,0.7730,0.4359,0.7940,- -
5,Research and Development Exp.,700000,900000,2900000,1700000,2608907,1733188,1766368,2942809,4165849,8295262,9149327,9942503,11612892,17423453,22658959,18367348,18213036,13856500,10830331,13130529,19710673,16679712,13016183,- -,9488233,- -
6,General and Administrative Exp.,- -,2000000,2800000,2300000,4957747,2570869,1943170,2947080,4435073,2713818,4918583,4219321,5189637,8267332,9279266,25739881,11410131,13244819,12523676,10582068,13713635,12303050,12879738,13252136,14003184,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",800000,2000000,2800000,2300000,4957747,2570869,1943170,2947080,4435073,2713818,4918583,4219321,5189637,8267332,9279266,25739881,11410131,13244819,12523676,10582068,13713635,12303050,12879738,13252136,14003184,17323429
9,Other Expenses,- -,100000,200000,400000,945401,117264,- -,136750,2118219,- -,- -,- -,- -,- -,- -,- -,-16329631,-12435282,-9842554,-12121476,-18801297,-15769766,-12226694,726105,-8769092,101172
10,Operating Expenses,1500000,3000000,5900000,4400000,8512055,4421321,3709538,6026639,10719141,11009080,14067910,14161824,16802529,25690785,31938225,44107229,13293536,14666037,13511453,11591121,14623011,13212996,13669227,13978241,14722325,- -
11,COGS and Expenses,1500000,3000000,5700000,4000000,7566654,4421321,3709538,6026639,10719141,11009080,14067910,14161824,16802529,25690785,31938225,44107229,31506572,28522537,24341784,24721650,34333684,29892708,121954384,29064228,40458674,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,34061,18256,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,550464,192679,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172993,1207332,455810,266726,14064417,14758140,15478203,15769768,3016817,- -
14,Depreciation and Amortization,- -,100000,200000,400000,945401,556856,317032,739560,1054253,1327371,1555506,1248948,459882,475091,625343,568288,419358,463137,351561,247357,174275,132189,69630,526997,529814,- -
15,EBITDA,-2300000,-2100000,-6400000,-3200000,-6293724,-2980071,-3013995,-4537080,-8319066,-960179,-8343202,-4389609,-8139495,-17142848,-27569996,-21869182,-21779955,-23125303,-211127499,-38475258,-25445384,-23438945,427187389,6118342,77055222,- -
16,EBITDA ratio,-23.0000,-3.0000,-12.8000,-6.4000,-13.0272,-2.5701,-8.7502,-6.2004,-4.5232,-0.1133,-1.1496,-0.6553,-1.0092,-1.2412,-1.4348,-1.7185,-2.4279,-4.1899,-67.2416,-4.7059,-1.6978,-1.9104,0.8955,0.2288,0.6166,- -
