,https://roic.ai/company/MNDO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,8196000,15613000,10469000,10008000,12936000,17806000,15601000,20060000,18447000,19473000,17574000,19886000,18913000,20209000,18480000,25020000,20928000,18052000,18062000,18135000,22664000,23374000,26331000
2,COGS,1122000,2193000,2113000,2479000,3208000,4394000,4015000,5675000,5784000,5783000,6413000,6167000,6476000,7852000,7871000,9950000,8630000,6831000,7033000,6146000,10126000,11153000,12450000
3,Gross Profit,7074000,13420000,8356000,7529000,9728000,13412000,11586000,14385000,12663000,13690000,11161000,13719000,12437000,12357000,10609000,15070000,12298000,11221000,11029000,11989000,12538000,12221000,13881000
4,Gross Profit Ratio,0.8631,0.8595,0.7982,0.7523,0.7520,0.7532,0.7426,0.7171,0.6865,0.7030,0.6351,0.6899,0.6576,0.6115,0.5741,0.6023,0.5876,0.6216,0.6106,0.6611,0.5532,0.5228,0.5272
5,Research and Development Exp.,1918000,3743000,4439000,3723000,3319000,3833000,5086000,6118000,5714000,6185000,4448000,4057000,4673000,4643000,5030000,4539000,2943000,3517000,3417000,3747000,4186000,3963000,4048000
6,General and Administrative Exp.,- -,6764000,9979000,5433000,5214000,6381000,3655000,5763000,5396000,6116000,2324000,1685000,1834000,1818000,1705000,2880000,1498000,1620000,2671000,1609000,2087000,1822000,1602000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2220000,2119000,1995000,1524000,1694000,174000,1173000,1105000,234000,1268000,1225000,973000,1403000
8,"Selling, General and Administrative Exp.",3136000,6764000,9979000,5433000,5214000,6381000,3655000,5763000,5396000,6116000,4544000,3804000,3829000,3342000,3399000,3054000,2671000,2725000,2905000,2877000,3312000,2795000,3005000
9,Other Expenses,196000,- -,- -,- -,- -,- -,- -,- -,295000,3683000,- -,-130000,- -,- -,21000,20000,268000,-227000,21000,15000,- -,- -,- -
10,Operating Expenses,5250000,10507000,14418000,9156000,8533000,10214000,8741000,11881000,11405000,15984000,8992000,7731000,8502000,7985000,8450000,7613000,5882000,6015000,6343000,6639000,7498000,6758000,7053000
11,COGS and Expenses,6372000,12700000,16531000,11635000,11741000,14608000,12756000,17556000,17189000,21767000,15405000,13898000,14978000,15837000,16321000,17563000,14512000,12846000,13376000,12785000,17624000,17911000,19503000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244000,- -,311000,330000,132000,184000,113000,107000,117000,235000,219000,172000,55000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,28000,26000,- -,- -,- -,21000,32000,19000,- -,- -,- -,14000,11000,- -,- -,- -
14,Depreciation and Amortization,196000,379000,805000,944000,806000,680000,987000,1391000,950000,1088000,778000,582000,295000,270000,250000,233000,173000,161000,104000,84000,151000,200000,194000
15,EBITDA,2157000,4372000,-3578000,1395000,4608000,7719000,5092000,3701000,-10871000,-4810000,20762000,5626000,4422000,4972000,2591000,7384000,6475000,5533000,6327000,5667000,5674000,6042000,7077000
16,EBITDA ratio,0.2632,0.2800,-0.3418,0.1394,0.3562,0.4335,0.3264,0.1845,-0.5893,-0.2470,1.1814,0.2829,0.2338,0.2460,0.1402,0.2951,0.3094,0.3065,0.3503,0.3125,0.2504,0.2585,0.2688
17,Operating Income,1824000,2913000,-6062000,-1627000,1195000,3198000,2845000,2504000,1258000,-2294000,2169000,4995000,3935000,4372000,2159000,7457000,6416000,5206000,4686000,5350000,5040000,5463000,6828000
18,Operating Income ratio,0.2225,0.1866,-0.5790,-0.1626,0.0924,0.1796,0.1824,0.1248,0.0682,-0.1178,0.1234,0.2512,0.2081,0.2163,0.1168,0.2980,0.3066,0.2884,0.2594,0.2950,0.2224,0.2337,0.2593
19,Total Other Income Expenses (Gains),137000,1080000,1679000,2078000,2607000,3841000,1260000,-222000,-13105000,-3604000,17815000,49000,171000,298000,163000,-306000,-114000,166000,1523000,222000,483000,379000,55000
20,Income Before Tax,1961000,3993000,-4383000,451000,3802000,7039000,4105000,2282000,-11847000,-5898000,19984000,5044000,4106000,4670000,2322000,7151000,6302000,5372000,6209000,5572000,5523000,5842000,6883000
21,Income Before Tax Ratio,0.2393,0.2557,-0.4187,0.0451,0.2939,0.3953,0.2631,0.1138,-0.6422,-0.3029,1.1371,0.2536,0.2171,0.2311,0.1256,0.2858,0.3011,0.2976,0.3438,0.3073,0.2437,0.2499,0.2614
22,Income Tax expense (Gain),447000,245000,7000,117000,169000,162000,43000,1373000,108000,525000,197000,188000,-185000,392000,137000,1668000,1284000,1169000,597000,438000,458000,459000,936000
23,Net Income,1514000,3748000,-4390000,334000,3633000,6877000,4062000,909000,-11955000,-6423000,19787000,4856000,4291000,4278000,2185000,5483000,5018000,4203000,5612000,5134000,5065000,5383000,5947000
24,Net Income ratio,0.1847,0.2401,-0.4193,0.0334,0.2808,0.3862,0.2604,0.0453,-0.6481,-0.3298,1.1259,0.2442,0.2269,0.2117,0.1182,0.2191,0.2398,0.2328,0.3107,0.2831,0.2235,0.2303,0.2259
25,EPS,0.10,-0.73,-0.21,0.02,0.18,0.33,0.19,0.04,-0.55,-0.30,1.04,0.26,0.23,0.23,0.12,0.29,0.26,0.22,0.29,0.27,0.26,0.27,0.30
26,EPS Diluted,0.10,-0.73,-0.21,0.02,0.17,0.32,0.19,0.04,-0.55,-0.30,1.04,0.26,0.23,0.23,0.12,0.29,0.26,0.22,0.29,0.27,0.25,0.27,0.30
27,Weighted Average Shares Outstanding,14667000,16897000,20654000,20677000,20732000,21089000,21431000,21515000,21586000,21473000,19012000,18467000,18679000,18767000,18869000,18949000,19183000,19234000,19292000,19344000,19746000,19907000,19907000
28,Weighted Average Shares Outstanding Diluted,14984000,16897000,20654000,20761000,21143000,21468000,21619000,21546000,21586000,21473000,19012000,18613000,18803000,18846000,18890000,19032000,19283000,19307000,19559000,19561000,19962000,20138000,19907000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119083/000111908306000012/mind20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000111908306000014/mind20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000111908307000007/mind20f-2006.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420408037969/v118730_20f.htm,- -,https://www.sec.gov/Archives/edgar/data/1119083/000114420410034542/v188762_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420411036451/v226365_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420412023296/v305647_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420413022899/v340719_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420414022276/v374308_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420415023137/v406726_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420416093563/v436066_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000121390017003411/f20f2016_mindctiltd.htm,https://www.sec.gov/Archives/edgar/data/1119083/000121390018004555/f20f2017_mindctiltd.htm,https://www.sec.gov/Archives/edgar/data/1119083/000121390019004589/0001213900-19-004589-index.html,https://www.sec.gov/Archives/edgar/data/1119083/000121390020006721/0001213900-20-006721-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,43373000,39723000,11312000,4391000,18687000,10174000,27571000,12390000,9722000,15995000,20487000,18141000,18877000,16478000,8100000,12973000,14198000,5014000,2739000,6479000,8260000,4182000
32,Short-Term Investments,- -,103000,- -,- -,- -,- -,- -,- -,21000,- -,2183000,2905000,409000,- -,2836000,5038000,5151000,4784000,11980000,13066000,8711000,8756000,14279000
33,Cash and Short-Term Investments,- -,43476000,39723000,11312000,4391000,18687000,10174000,27571000,12411000,9722000,18178000,23392000,18550000,18877000,19314000,13138000,18124000,18982000,16994000,15805000,15190000,17016000,18461000
34,Net Receivables,- -,7049000,3862000,2684000,3045000,4433000,4034000,5616000,5102000,4098000,1447000,1585000,2034000,1009000,1406000,2829000,2456000,1274000,2082000,2690000,3659000,2403000,1948000
35,Inventory,- -,20000,26000,14000,11000,18000,30000,35000,44000,36000,- -,- -,29000,13000,10000,10000,9000,5000,4000,4000,4000,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,94000,154000,297000,204000,266000,-2358000,1299000,803000,540000,5131000,497000,319000,347000,209000,224000,273000,124000
37,Total Current Assets,- -,50545000,43611000,14010000,7447000,23138000,14332000,33376000,17854000,14060000,19891000,22619000,21912000,20702000,21270000,21108000,21086000,20580000,19427000,18708000,19077000,19692000,20533000
38,PP&E,- -,1942000,1990000,1363000,1182000,1790000,1957000,1558000,1616000,1287000,1043000,834000,880000,681000,650000,618000,591000,498000,202000,164000,1457000,1934000,1638000
39,Goodwill,- -,- -,- -,- -,- -,- -,6966000,6966000,10224000,5965000,6029000,5430000,5430000,5430000,5430000,5430000,5430000,5430000,5430000,5430000,7910000,8139000,7929000
40,Intangible Assets,- -,- -,- -,- -,450000,- -,1660000,888000,1951000,917000,655000,- -,- -,- -,- -,- -,- -,- -,- -,- -,761000,702000,522000
41,Intangible Assets,- -,- -,- -,- -,450000,- -,8626000,7854000,12175000,6882000,6684000,5430000,5430000,5430000,5430000,5430000,5430000,5430000,5430000,5430000,8671000,8841000,8451000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1208000,1512000,1686000,1903000,2190000,1574000,1441000,832000,645000,203000,129000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000,15000,40000,20000,54000,95000,32000,34000,36000,127000,184000
44,Other Non-Current Assets,- -,461000,1133000,32594000,40900000,30788000,30480000,11003000,6081000,2134000,125000,66000,28000,- -,44000,1597000,1623000,1565000,1642000,1439000,1725000,1823000,2325000
45,Total Non-Current Assets,- -,2403000,3123000,33957000,42532000,32578000,41063000,20415000,19872000,10303000,9060000,7842000,8109000,8029000,8354000,9239000,9139000,8420000,7951000,7270000,12018000,12725000,12598000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,52948000,46734000,47967000,49979000,55716000,55395000,53791000,37726000,24363000,28951000,30461000,30021000,28731000,29624000,30347000,30225000,29000000,27378000,25978000,31095000,32417000,33131000
