,https://roic.ai/company/GCI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,544738000,514670000,488554000,516500000,652323000,1195815000,1255356000,1342004000,1526024000,1867909000,3405670000,3208083000
2,COGS,296974000,281884000,268222000,- -,- -,- -,- -,742822000,- -,1079593000,2034272000,1901564000
3,Gross Profit,247764000,232786000,220332000,- -,- -,- -,- -,599182000,- -,788316000,1371398000,1306519000
4,Gross Profit Ratio,0.4548,0.4523,0.4510,- -,- -,- -,- -,0.4465,- -,0.4220,0.4027,0.4073
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,165600000,211829000,406282000,415776000,- -,503750000,- -,787770000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1409500000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,165600000,211829000,406282000,415776000,- -,503750000,- -,2197270000,902064000
9,Other Expenses,199596000,188721000,184908000,-522800000,423185000,686108000,779002000,522725000,967021000,718799000,-942161000,224910000
10,Operating Expenses,199596000,188721000,184908000,-357200000,635014000,1092390000,1194778000,522725000,1470771000,718799000,1255109000,1126974000
11,COGS and Expenses,496570000,470605000,453130000,-357300000,635014000,1092390000,1194778000,1265547000,1470771000,1798392000,3289381000,3028538000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),60021000,58309000,57928000,-76000000,16636000,29345000,29635000,30476000,36072000,63660000,228513000,135748000
14,Depreciation and Amortization,46122000,43393000,40627000,40100000,41450000,67752000,67774000,74394000,84791000,111882000,263819000,203958000
15,EBITDA,79944000,78250000,68545000,759000000,57594000,168115000,126731000,104436000,140971000,-30294000,-211597000,252994000
16,EBITDA ratio,0.1468,0.1520,0.1403,1.4695,0.0883,0.1406,0.1010,0.0778,0.0924,-0.0162,-0.0621,0.0789
17,Operating Income,43863000,35608000,29793000,873800000,26356000,103425000,61371000,34613000,58139000,-146977000,-447888000,109077000
18,Operating Income ratio,0.0805,0.0692,0.0610,1.6918,0.0404,0.0865,0.0489,0.0258,0.0381,-0.0787,-0.1315,0.0340
19,Total Other Income Expenses (Gains),-69520000,-58361000,-57463000,-78100000,-26848000,-32407000,-32049000,-35047000,-38120000,-60207000,-257959000,-196998000
20,Income Before Tax,-25657000,-22753000,-27670000,795700000,-492000,71018000,29322000,-434000,20019000,-207184000,-705847000,-87921000
21,Income Before Tax Ratio,-0.0471,-0.0442,-0.0566,1.5406,-0.0008,0.0594,0.0234,-0.0003,0.0131,-0.1109,-0.2073,-0.0274
22,Income Tax expense (Gain),-155000,-1803000,-207000,300000,2713000,3404000,-2319000,481000,1912000,-85994000,-33450000,48250000
23,Net Income,-26044000,-21649000,-29803000,794600000,-3205000,67614000,31641000,-915000,18196000,-119842000,-670479000,-134962000
24,Net Income ratio,-0.0478,-0.0421,-0.0610,1.5384,-0.0049,0.0565,0.0252,-0.0007,0.0119,-0.0642,-0.1969,-0.0421
25,EPS,-0.87,-0.72,-3.26,26.49,-0.10,1.53,0.70,-0.02,0.31,-1.77,-5.09,-1.01
26,EPS Diluted,-0.87,-0.72,-3.26,26.49,-0.10,1.52,0.70,-0.02,0.31,-1.77,-5.09,-0.57
27,Weighted Average Shares Outstanding,30000000,30000000,30000000,30000000,31985469,44233892,45234369,53010421,58013617,128991544,131724754,135002000
28,Weighted Average Shares Outstanding Diluted,30000000,30000000,30000000,30000000,31985469,44382663,45316907,53010421,58398147,128991544,131724754,239453000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1579684/000119312515080982/d869108d10k.htm,https://www.sec.gov/Archives/edgar/data/1579684/000119312516478629/0001193125-16-478629-index.html,https://www.sec.gov/Archives/edgar/data/1579684/000157968417000005/0001579684-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1579684/000157968418000003/0001579684-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1635718/000163571819000008/0001635718-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1579684/000157968420000006/0001579684-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1579684/000157968421000009/0001579684-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1579684/000157968422000010/0001579684-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,19212000,34527000,31800000,123709000,146638000,172246000,43056000,48651000,156042000,170725000,130756000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,19212000,34527000,31800000,123709000,146638000,172246000,43056000,48651000,156042000,170725000,130756000
34,Net Receivables,- -,59236000,54692000,71400000,80151000,136249000,138115000,151692000,174274000,438523000,314305000,328733000
35,Inventory,- -,6017000,6019000,7700000,9824000,15744000,18167000,18654000,25022000,55090000,35075000,37662000
36,Other Current Assets,- -,28997000,20497000,29700000,26228000,33279000,41820000,49795000,49662000,129460000,116581000,80110000
37,Total Current Assets,- -,113462000,115735000,140600000,239912000,331910000,370348000,263197000,297609000,779115000,636686000,577261000
38,PP&E,- -,130937000,116510000,270200000,283786000,384824000,381319000,373123000,339608000,1124919000,879776000,687319000
39,Goodwill,- -,13958000,13742000,125900000,134042000,171119000,227954000,236555000,310737000,914331000,534088000,533709000
40,Intangible Assets,- -,246661000,218981000,145400000,156742000,303575000,351477000,403493000,486054000,1012564000,824650000,713153000
41,Intangible Assets,- -,260619000,232723000,271300000,290784000,474694000,579431000,640048000,796791000,1926895000,1358738000,1246862000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
