,https://roic.ai/company/DNUT,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,795883000,959408000,1122036000,- -
2,COGS,246458000,262013000,310909000,- -
3,Gross Profit,549425000,697395000,811127000,- -
4,Gross Profit Ratio,0.6903,0.7269,0.7229,- -
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,162835000,197315000,227900000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",160932000,190237000,216317000,- -
9,Other Expenses,347316000,461694000,580042000,- -
10,Operating Expenses,508248000,651931000,796359000,- -
11,COGS and Expenses,754706000,913944000,1107268000,- -
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),46783000,60032000,57209000,- -
14,Depreciation and Amortization,49447000,63767000,80398000,- -
15,EBITDA,76840000,98967000,82418000,- -
16,EBITDA ratio,0.0965,0.1032,0.0735,- -
17,Operating Income,34469000,37999000,4280000,- -
18,Operating Income ratio,0.0433,0.0396,0.0038,- -
19,Total Other Income Expenses (Gains),-52226000,-59423000,-56108000,- -
20,Income Before Tax,-17757000,-21424000,-51828000,- -
21,Income Before Tax Ratio,-0.0223,-0.0223,-0.0462,- -
22,Income Tax expense (Gain),-5318000,12577000,9112000,- -
23,Net Income,-14072000,-37409000,-64301000,- -
24,Net Income ratio,-0.0177,-0.0390,-0.0573,- -
25,EPS,-0.09,-0.23,-0.31,- -
26,EPS Diluted,-0.09,-0.23,-0.31,- -
27,Weighted Average Shares Outstanding,159726830,159726830,159726830,- -
28,Weighted Average Shares Outstanding Diluted,159726830,159726830,159726830,- -
29,SEC Link,- -,- -,- -,undefined
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,35373000,37460000,- -
32,Short-Term Investments,- -,2022000,1048000,- -
33,Cash and Short-Term Investments,- -,37395000,38508000,- -
34,Net Receivables,- -,48353000,74351000,- -
35,Inventory,- -,22563000,38519000,- -
36,Other Current Assets,- -,9563000,12715000,- -
37,Total Current Assets,- -,117874000,164093000,- -
38,PP&E,- -,708734000,794943000,- -
39,Goodwill,- -,1049675000,1086546000,- -
40,Intangible Assets,- -,984866000,998014000,- -
41,Intangible Assets,- -,2034541000,2084560000,- -
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,- -,13477000,17399000,- -
45,Total Non-Current Assets,- -,2756752000,2896902000,- -
46,Other Assets,- -,- -,- -,- -
47,Total Assets,- -,2874626000,3060995000,- -
48,Accounts Payable,- -,138751000,148645000,- -
49,Short-Term Debt,- -,93304000,86920000,- -
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -
52,Other Current Liabilities,- -,150445000,262270000,- -
53,Total Current Liabilities,- -,382500000,497835000,- -
54,Long-Term Debt,- -,1408793000,1506490000,- -
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,152710000,144866000,- -
57,Other Non-Current Liabilities,- -,47206000,63445000,- -
58,Total Non-Current Liabilities,- -,1608709000,1714801000,- -
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,401819000,421774000,- -
61,Total Liabilities,- -,1991209000,2212636000,- -
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,1000,1000,- -
64,Retained Earnings,- -,-77880000,-142197000,- -
65,Other Comprehensive Income/Loss,- -,-5551000,-1208000,- -
66,Other Total Stockholders Equity,- -,818250000,828088000,- -
67,Total Stockholders Equity,- -,734820000,684684000,- -
68,Total Liabilities And Stockholders Equity,- -,2726029000,2897320000,- -
69,Minority Interest,- -,148597000,163675000,- -
70,Total Liabilities & Equity,- -,2874626000,3060995000,- -
71,SEC Link,undefined,- -,- -,undefined
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-14072000,-37409000,-64301000,- -
74,Depreciation and Amortization,49447000,63767000,80398000,- -
75,Deferred Income Tax,-17907000,37015000,-36000,- -
76,Stock Based Compensation,9449000,10741000,11601000,- -
77,Change in Working Capital,102604000,- -,-69116000,- -
78,Accounts Receivable,- -,- -,- -,- -
79,Inventory,3877000,-3217000,-15353000,- -
80,Accounts Payable,- -,- -,- -,- -
81,Other Working Capital,-264626000,-264626000,-333742000,- -
82,Other Non-Cash Items,18816000,6698000,70129000,- -
83,Cash Provided by Operating Activities,148337000,80812000,28675000,- -
84,CAPEX,-243680000,-226746000,-172716000,- -
85,Acquisitions Net,-140042000,- -,- -,- -
86,Purchases of Investments,-576000,-776000,-57000,- -
87,Sales/Maturities of Investments,101000,271000,1124000,- -
88,Other Investing Activites,-119930000,-149728000,-71369000,- -
89,Cash Used for Investing Activites,-303283000,-226606000,-168128000,- -
90,Debt Repayment,-150826000,-714617000,-225541000,- -
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,-29839000,-2629000,-42000,- -
94,Other Financing Activites,346860000,846323000,365024000,- -
95,Cash Used/Provided by Financing Activities,166195000,129077000,139441000,- -
96,Effect of Forex Changes on Cash,410000,-941000,2045000,- -
97,Net Change In Cash,11659000,-17658000,2033000,- -
98,Cash at the End of Period,53108000,35450000,37483000,- -
99,Cash at the Beginning of Period,41449000,53108000,35450000,- -
100,Free Cash Flow,-95343000,-145934000,-144041000,- -
101,SEC Link,- -,- -,- -,undefined
102,false,,,,
