,https://roic.ai/company/VIRT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,461211000,615628000,664505000,723053000,796213000,702272000,1027982000,1878718000,1530082000,3239331000,2811485000
2,COGS,264566000,368542000,383384000,431426000,441565000,434067000,657914000,835269000,1035913000,- -,1473408000
3,Gross Profit,196645000,247086000,281121000,291627000,354648000,268205000,370068000,1043449000,494169000,3239331000,1338077000
4,Gross Profit Ratio,0.4264,0.4014,0.4231,0.4033,0.4454,0.3819,0.3600,0.5554,0.3230,1.0000,0.4759
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,7986000,27826000,27215000,24923000,25991000,23039000,90407000,76236000,142349000,97499000,88149000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7986000,27826000,27215000,24923000,25991000,23039000,90407000,76236000,142349000,97499000,88149000
9,Other Expenses,49894000,89629000,24933000,30652000,39280000,29914000,91158000,163942000,238359000,1758995000,137484000
10,Operating Expenses,57880000,117455000,52148000,55575000,65271000,52953000,181565000,240178000,380708000,1856494000,225633000
11,COGS and Expenses,322446000,485997000,435532000,487001000,506836000,487020000,839479000,1075447000,1416621000,1856494000,1699041000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),14608000,26460000,24646000,30894000,29254000,28327000,64107000,71800000,121859000,87735000,79969000
14,Depreciation and Amortization,49894000,89629000,24933000,30652000,33840000,29914000,62774000,87277000,136239000,140995000,137484000
15,EBITDA,165491000,205417000,237179000,255104000,102420000,112472000,224086000,524689000,187226000,1611567000,864001000
16,EBITDA ratio,0.3588,0.3337,0.3569,0.3528,0.1286,0.1602,0.2180,0.2793,0.1224,0.4975,0.3073
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-37776000,-40303000,-41373000,-42494000,-73448000,-35661000,-75339000,-106908000,-229443000,- -,-114697000
