,https://roic.ai/company/EURN,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,845776887,573026208,430615000,572349000,677648000,530937000,856309000,461285000,525075000,394457000,410701000,400901000,474000000,846507000,684265000,513368000,600024000,932377000,1230750000,419770000
2,COGS,730348280,382857071,120870000,190309000,222533000,234794000,243313000,212962000,239527000,232186000,424685000,413748000,242400000,224955000,219759000,212462000,327208000,356476000,663769000,694258000
3,Gross Profit,115428607,190169137,309745000,382040000,455115000,296143000,612996000,248323000,285548000,162271000,-13984000,-12847000,231600000,621552000,464506000,300906000,272816000,575901000,566981000,-274488000
4,Gross Profit Ratio,0.1365,0.3319,0.7193,0.6675,0.6716,0.5578,0.7159,0.5383,0.5438,0.4114,-0.0340,-0.0320,0.4886,0.7343,0.6788,0.5861,0.4547,0.6177,0.4607,-0.6539
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,3720000,27920000,33040000,15544000,17900000,15022000,15844000,36745000,35457000,27536000,76200000,72100000,61764000,78041000,97346000,67494000,62427000,32408000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",41974039,22669169,3720000,27920000,33040000,15544000,17900000,15022000,15844000,36745000,35457000,27536000,39725000,46161000,44654000,42256000,61838000,66025000,62427000,32408000
9,Other Expenses,40924688,162462375,59018000,111622000,129406000,90270000,81200000,201939000,192203000,168523000,-10501000,-11671000,-10571000,-7335000,-7599000,-290000,-381000,-9229000,-7041000,-10255000
10,Operating Expenses,82898727,185131544,62738000,139542000,162446000,105814000,99100000,216961000,208047000,205268000,24956000,15865000,29154000,38826000,37055000,41966000,61457000,56796000,55386000,22153000
11,COGS and Expenses,813247007,567988615,183608000,329851000,384979000,340608000,342413000,429923000,447574000,437454000,449641000,429613000,462500000,494535000,476045000,499962000,651543000,736774000,719155000,716411000
12,Interest Income ,108083151,34003753,- -,3147000,2483000,3519000,1935000,812000,509000,252000,998000,136000,487000,208000,217000,655000,4106000,6529000,6487000,14934000
13,Interest Expense (Gain),52467549,35263151,- -,51566000,70774000,82036000,90329000,49057000,69961000,54983000,61033000,58423000,89826000,42373000,39007000,38391000,67956000,89189000,65637000,95541000
14,Depreciation and Amortization,135366276,60451116,45737000,- -,- -,153698000,144873000,163903000,172147000,168523000,- -,167362000,160954000,210206000,227763000,229872000,270693000,337702000,319751000,344994000
