,https://roic.ai/company/WLDN,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,54485000,58263000,67263000,78339000,78798000,- -,73190000,77896000,107165000,93443000,85510000,- -,108080000,208941000,273352000,272252000,443099000,- -,353755000
2,COGS,19373000,20310000,- -,23209000,27192000,30266000,31937000,- -,32714000,42022000,64727000,58959000,48929000,- -,63818000,143260000,196662000,179281000,308126000,- -,217881000
3,Gross Profit,-19373000,-20310000,- -,35054000,40071000,48073000,46861000,- -,40476000,35874000,42438000,34484000,36581000,- -,44262000,65681000,76690000,92971000,134973000,- -,135874000
4,Gross Profit Ratio,-Infinity,-Infinity,- -,0.6017,0.5957,0.6137,0.5947,- -,0.5530,0.4605,0.3960,0.3690,0.4278,- -,0.4095,0.3144,0.2806,0.3415,0.3046,- -,0.3841
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,41150000,31826000,27670000,27519000,25389000,- -,26032000,36408000,43932000,57110000,86983000,- -,100271000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",23239000,26079000,- -,29901000,36873000,40494000,41543000,- -,41150000,31826000,27670000,27519000,25389000,- -,26032000,36408000,43932000,57110000,86983000,- -,100271000
9,Other Expenses,- -,- -,- -,1056000,3943000,535000,2796000,- -,1978000,974000,11367000,671000,8584000,- -,9921000,17729000,19054000,23090000,38627000,- -,44294000
10,Operating Expenses,23239000,26079000,- -,30957000,40816000,41029000,44339000,- -,43128000,32800000,39037000,28190000,33973000,- -,35953000,54137000,62986000,80200000,125610000,- -,144565000
11,COGS and Expenses,42612000,46389000,- -,54166000,68008000,71295000,76276000,- -,75842000,74822000,103764000,87149000,82902000,- -,99771000,197397000,259648000,259481000,433736000,- -,362446000
12,Interest Income ,- -,- -,- -,- -,- -,- -,499000,- -,313000,12000,5000,6000,10000,- -,8000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,272000,630000,773000,- -,- -,33000,54000,77000,106000,94000,- -,16000,179000,111000,700000,4900000,- -,3869000
14,Depreciation and Amortization,- -,844000,- -,1056000,1274000,1584000,1755000,- -,1978000,1053000,944000,737000,585000,- -,460000,3220000,4082000,6211000,15472000,- -,17146000
15,EBITDA,-42636000,-45545000,2852000,5147000,540000,11098000,5442000,- -,-524000,4171000,4351000,-18540000,3441000,- -,8902000,14766000,17884000,19072000,25028000,- -,8611000
16,EBITDA ratio,-Infinity,-Infinity,0.0523,0.0883,0.0080,0.1417,0.0691,- -,-0.0072,0.0535,0.0406,-0.1984,0.0402,- -,0.0824,0.0707,0.0654,0.0701,0.0565,- -,0.0243
17,Operating Income,2822000,2036000,- -,4097000,-745000,7044000,2522000,- -,-2800000,3074000,3401000,-19255000,2608000,- -,8309000,11544000,13704000,12771000,9363000,- -,-8691000
18,Operating Income ratio,Infinity,Infinity,- -,0.0703,-0.0111,0.0899,0.0320,- -,-0.0383,0.0395,0.0317,-0.2061,0.0305,- -,0.0769,0.0553,0.0501,0.0469,0.0211,- -,-0.0246
19,Total Other Income Expenses (Gains),-750000,-496000,- -,-278000,-619000,1697000,1165000,- -,265000,-10000,-71000,-128000,154000,- -,117000,-177000,-13000,-610000,-4707000,- -,-3713000
20,Income Before Tax,2072000,1540000,- -,3819000,-1364000,8741000,3687000,- -,-2535000,3064000,3330000,-19383000,2762000,- -,8426000,11367000,13691000,12161000,4656000,- -,-12404000
21,Income Before Tax Ratio,Infinity,Infinity,- -,0.0655,-0.0203,0.1116,0.0468,- -,-0.0346,0.0393,0.0311,-0.2074,0.0323,- -,0.0780,0.0544,0.0501,0.0447,0.0105,- -,-0.0351
22,Income Tax expense (Gain),47000,-34000,- -,47000,17000,2452000,1543000,- -,-930000,344000,1500000,-2083000,132000,- -,-990000,3068000,1562000,2131000,-185000,- -,-3987000
23,Net Income,2025000,1506000,2852000,3772000,-1381000,6289000,2144000,- -,-1605000,2720000,1830000,-17300000,2630000,- -,9416000,8299000,12129000,10030000,4841000,- -,-8417000
24,Net Income ratio,Infinity,Infinity,0.0523,0.0647,-0.0205,0.0803,0.0272,- -,-0.0219,0.0349,0.0171,-0.1851,0.0308,- -,0.0871,0.0397,0.0444,0.0368,0.0109,- -,-0.0238
25,EPS,0.56,0.42,0.79,1.03,-0.35,1.28,0.30,- -,-0.22,0.38,0.25,-2.37,0.36,- -,1.26,1.01,1.42,1.08,0.43,- -,-0.71
26,EPS Diluted,0.56,0.42,0.79,1.03,-0.35,1.28,0.30,- -,-0.22,0.37,0.24,-2.37,0.35,- -,1.22,0.97,1.32,1.03,0.41,- -,-0.71
27,Weighted Average Shares Outstanding,3622000,3566000,3633000,3653000,3994000,4900000,7149000,- -,7159000,7233000,7262000,7310000,7355000,- -,7488000,8219000,8541000,9264000,11162000,- -,11793000
28,Weighted Average Shares Outstanding Diluted,3622000,3566000,3633000,3653000,3994000,4900000,7150000,- -,7160000,7311000,7485000,7310000,7495000,- -,7739000,8565000,9155000,9763000,11766000,- -,11793000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1370450/000104746908003535/0001047469-08-003535-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1370450/000104746909003692/0001047469-09-003692-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1370450/000104746913003407/0001047469-13-003407-index.htm,https://www.sec.gov/Archives/edgar/data/1370450/000104746914002940/0001047469-14-002940-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1370450/000104746915003021/0001047469-15-003021-index.htm,https://www.sec.gov/Archives/edgar/data/1370450/000155837017001619/0001558370-17-001619-index.htm,https://www.sec.gov/Archives/edgar/data/1370450/000155837018001811/0001558370-18-001811-index.htm,https://www.sec.gov/Archives/edgar/data/1370450/000155837019001690/0001558370-19-001690-index.htm,https://www.sec.gov/Archives/edgar/data/1370450/000155837020002100/0001558370-20-002100-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1370450/000155837022003337/0001558370-22-003337-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
