,https://roic.ai/company/CYDY,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,362342,- -,424739,164147,468700,328775,480765,530027,619838,3981468,15156365,13731426,20205743,38222580,42490144,52639981,58430000
6,General and Administrative Exp.,- -,- -,1177916,1872207,1062765,1391158,3342610,3214594,6923606,7150895,3779153,4079671,7082109,6758606,7340605,12116743,19972804,34320000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",357246,411170,1177916,1872207,1062765,1391158,3342610,3214594,6923606,7150895,3779153,4079671,7082109,6758606,7340605,12116743,19972804,34320000
9,Other Expenses,204,- -,2101,168184,1836,9392,2077,2880,2013,222684,352429,360582,361610,366385,356128,1245167,2034440,1797000
10,Operating Expenses,357450,773512,1180017,2465130,1228748,1869250,3673462,3698239,7455646,7993417,8113050,19596618,21175145,27330734,45919313,55852054,74647225,94547000
11,COGS and Expenses,357450,775183,1180017,2465130,1228748,1869250,3673462,3698239,7455646,7993417,8113050,19596618,21175145,27330734,45919313,55852054,74647225,94547000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,1167,7767,2199,7918,15167,3620,4306,5318,2000
13,Interest Expense (Gain),- -,- -,- -,- -,78905,40896,63482,21449,18578,1948810,4390396,4551502,4066620,612767,5489314,2853612,17815451,19491000
14,Depreciation and Amortization,204,1671,2101,308204,1836,1896,2077,2880,2013,222684,352429,360582,361610,366385,356128,1245167,2034440,1797000
15,EBITDA,-357246,-773512,-1177916,-2296946,-1226912,-1859858,-3671385,-3695359,-7453633,-7770733,-7760621,-19236036,-20813535,-26964349,-45563185,-54606887,-72511807,-92813000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-357450,-775183,-1180017,-2465130,-1078748,-1869250,-3673462,-3698239,-7455646,-7993417,-8112728,-19596526,-21175511,-27330734,-45919313,-55852054,-74647225,-104596000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-110,-1900,-309683,-144940,-114936,296446,- -,-21449,-18578,-1574884,-4318685,-5491544,-4528101,1566933,-4230368,-3161525,-49756177,-50078000
20,Income Before Tax,-357560,-777083,-1489700,-2610070,-1193684,-1572804,- -,-3719688,-7474224,-9568301,-12431413,-25088070,-25703612,-25763801,-50149681,-59013579,-124403402,-154674000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2826919,- -,- -
23,Net Income,-357560,-777083,-1489700,-2610070,-1193684,-1572804,-3736944,-3719688,-7474224,-9568301,-12431413,-25088070,-25703612,-25763801,-50149681,-56186660,-124403402,-154674000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.05,-0.12,-0.17,-0.24,-0.10,-0.10,-0.51,-0.18,-0.31,-0.32,-0.27,-0.43,-0.27,-0.19,-0.29,-0.21,-0.30,-0.27
26,EPS Diluted,-0.05,-0.12,-0.17,-0.24,-0.10,-0.10,-0.51,-0.18,-0.31,-0.32,-0.27,-0.43,-0.27,-0.19,-0.29,-0.21,-0.30,-0.27
27,Weighted Average Shares Outstanding,6557362,6557362,8639483,10997063,11391844,13807529,18999234,21076430,24618812,29942393,46900643,58375637,95437594,138004461,174885422,272040933,421077605,587590000
28,Weighted Average Shares Outstanding Diluted,6557362,6557362,8639483,10997063,11391844,13807529,18999234,21076430,24618812,29942393,46900643,58375637,95437594,138004461,174885422,272040933,421077605,587590000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1175680/000126967810000122/0001269678-10-000122-index.html,- -,https://www.sec.gov/Archives/edgar/data/1175680/000119312512363776/0001193125-12-363776-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312513351909/0001193125-13-351909-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312514265518/0001193125-14-265518-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312515250418/0001193125-15-250418-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312516651305/0001193125-16-651305-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312517231500/0001193125-17-231500-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312518229738/0001193125-18-229738-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312519221300/0001193125-19-221300-index.htm,https://www.sec.gov/Archives/edgar/data/1175680/000119312520220598/0001193125-20-220598-index.htm,https://www.sec.gov/Archives/edgar/data/1175680/000155837021009730/0001558370-21-009730-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,186964,930,125320,16604,85435,265520,700497,2818,284991,603681,4886122,1050060,9641776,1775583,1231445,2612910,14281830,33943000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,186964,930,125320,16604,85435,265520,700497,2818,284991,603681,4886122,1050060,9641776,1775583,1231445,2612910,14281830,33943000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90824,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19146678,93479000
36,Other Current Assets,16302,41341,303160,93254,51478,7500,19627,1970698,743309,236779,557113,987749,1852566,4345355,2089182,2665686,3398524,2159000
37,Total Current Assets,203266,42271,428480,109858,136913,273020,720124,1973516,1028300,840460,5443235,2037809,11494342,6120938,3320627,5369420,36827032,129581000
38,PP&E,3131,2533,2334,2611,1422,1963,3549,5374,800,- -,16797,24213,24550,17281,11228,29251,231231,846000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,2094,1128,1294,647,161,- -,- -,- -,3317239,2967239,2617239,2267239,1917219,1567143,15475454,13455872,1653000
41,Intangible Assets,- -,2094,1128,1294,647,161,- -,- -,- -,3317239,2967239,2617239,2267239,1917219,1567143,15475454,13455872,1653000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,495,495,495,495,37240,29600,23975,15748,41735,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,3626,5122,3957,4400,39309,31724,27524,21122,42535,3317239,2984036,2641452,2291789,1934500,1578371,15504705,13687103,2499000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,206892,47393,432437,114258,176222,304744,747648,1994638,1070835,4157699,8427271,4679261,13786131,8055438,4898998,20874125,50514135,132080000
48,Accounts Payable,118686,74336,110267,239572,388459,269870,178956,932996,831336,1111285,1286715,5016261,2467973,4281204,15841859,16239434,29479313,65897000
49,Short-Term Debt,- -,632029,417223,595086,- -,67500,153985,148985,74493,837347,- -,1634458,- -,1058611,- -,7786035,6859234,62922000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,88326,100791,214311,203816,119611,154753,40784,5913452,4129440,1279966,879640,4074533,1112708,804190,891378,2900879,8162119,23727000
53,Total Current Liabilities,207012,807156,741801,1038474,508070,492123,373725,6995433,5035269,3228598,2166355,10725252,3580681,6144005,16733237,26926348,44500666,152546000
54,Long-Term Debt,- -,- -,- -,- -,738767,283422,6937,6937,9000,1153017,2338684,2637618,- -,- -,- -,454568,8493947,552000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,150000,254500,229500,229500,- -,- -,- -,- -,2008907,- -,3014667,1323732,2407269,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,150000,993267,512922,236437,6937,9000,1153017,2338684,4646525,- -,3014667,1323732,2861837,8493947,552000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178181,727000
61,Total Liabilities,207012,807156,741801,1188474,1501337,1005045,610162,7002370,5044269,4381615,4505039,15371777,3580681,9158672,18056969,29788185,52994613,153098000
62,Preferred Stock,- -,- -,- -,167500,167500,167500,2009000,1566016,451993,274091,266251,247556,95,92,92,95,108,- -
63,Common Stock,1916334,1916334,- -,- -,4468865,- -,- -,- -,15150261,16362451,30367779,35819240,123336,149468,216881,329555,519262,626000
64,Retained Earnings,-1939956,-2717039,-4206739,-1601912,-6972825,-10147541,-13884485,-15358382,-22832606,-34002819,-46434232,-71522302,-97225914,-122989715,-173139396,-229363407,-354710895,-511294000
65,Other Comprehensive Income/Loss,- -,-1069,-2204,-5885662,-1601912,- -,- -,-1601912,-1601912,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,23502,42011,3899579,529900,2613257,9447240,14021971,10350650,4858830,17142361,19722434,24762990,107307933,121736921,159764452,220119697,351711047,489650000
67,Total Stockholders Equity,-120,-759763,-309364,-1074216,-1325115,-700301,137486,-5007732,-3973434,-223916,3922232,-10692516,10205450,-1103234,-13157971,-8914060,-2480478,-21018000
68,Total Liabilities And Stockholders Equity,206892,47393,432437,114258,176222,304744,747648,1994638,1070835,4157699,8427271,4679261,13786131,8055438,4898998,20874125,50514135,132080000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,206892,47393,432437,114258,176222,304744,747648,1994638,1070835,4157699,8427271,4679261,13786131,8055438,4898998,20874125,50514135,132080000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1175680/000126967810000122/0001269678-10-000122-index.html,- -,https://www.sec.gov/Archives/edgar/data/1175680/000119312512363776/0001193125-12-363776-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312513351909/0001193125-13-351909-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312514265518/0001193125-14-265518-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312515250418/0001193125-15-250418-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312516651305/0001193125-16-651305-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312517231500/0001193125-17-231500-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312518229738/0001193125-18-229738-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312519221300/0001193125-19-221300-index.htm,https://www.sec.gov/Archives/edgar/data/1175680/000119312520220598/0001193125-20-220598-index.htm,https://www.sec.gov/Archives/edgar/data/1175680/000155837021009730/0001558370-21-009730-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-357560,-777083,-1489700,-2610070,-1193684,-1572804,-3736944,-3719688,-7474224,-9568301,-12431413,-25088070,-25703612,-25763801,-50149681,-56186660,-124403402,-154674000
74,Depreciation and Amortization,204,1671,2101,308204,1836,1896,2077,2880,2013,222684,352429,360582,361610,366385,356128,1245167,2034440,1797000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2826919,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,468123,628064,1740121,1186104,2857859,3590011,928413,631302,2353194,1204791,1290777,3388095,6547803,10429000
77,Change in Working Capital,-2777,-761139,451564,-615295,557459,152054,565502,-5368316,1014948,1618831,5665018,-11964323,16601104,-7936728,-13389543,-8144318,13883294,-15291366
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19146678,-74332000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,924490,- -,- -,- -,- -,- -,- -,- -,- -
