,https://roic.ai/company/CNNE,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,1414700000,1178400000,1169500000,1205400000,1070000000,585700000,742200000
2,COGS,1280600000,1052400000,1094200000,1161600000,1003100000,619100000,697500000
3,Gross Profit,134100000,126000000,75300000,43800000,66900000,-33400000,44700000
4,Gross Profit Ratio,0.0948,0.1069,0.0644,0.0363,0.0625,-0.0570,0.0602
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,85400000,- -,103200000,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",85400000,- -,103200000,- -,- -,- -,- -
9,Other Expenses,60800000,128200000,50500000,166900000,174100000,147300000,178200000
10,Operating Expenses,146200000,128200000,153700000,166900000,174100000,147300000,178200000
11,COGS and Expenses,1426800000,1180600000,1247900000,1328500000,1177200000,766400000,875700000
12,Interest Income ,2000000,3300000,5300000,6300000,15600000,17200000,21100000
13,Interest Expense (Gain),5500000,5200000,7000000,4700000,17800000,9000000,9800000
14,Depreciation and Amortization,65500000,62900000,58100000,61300000,93300000,55800000,49000000
15,EBITDA,28400000,45300000,157300000,106700000,212600000,2332200000,-302200000
16,EBITDA ratio,0.0201,0.0384,0.1345,0.0885,0.1987,3.9819,-0.4072
17,Operating Income,-12100000,-2200000,-78400000,-149800000,-117600000,-188500000,-133500000
18,Operating Income ratio,-0.0086,-0.0019,-0.0670,-0.1243,-0.1099,-0.3218,-0.1799
19,Total Other Income Expenses (Gains),8300000,7400000,3200000,168400000,355500000,2370400000,-299500000
20,Income Before Tax,-3800000,5200000,-75200000,18600000,237900000,2181900000,-433000000
21,Income Before Tax Ratio,-0.0027,0.0044,-0.0643,0.0154,0.2223,3.7253,-0.5834
22,Income Tax expense (Gain),-19700000,-10400000,-16600000,13100000,24200000,481200000,-74000000
23,Net Income,-22900000,-12400000,108800000,27600000,77300000,1786200000,-287000000
24,Net Income ratio,-0.0162,-0.0105,0.0930,0.0229,0.0722,3.0497,-0.3867
25,EPS,-0.32,-0.17,1.54,0.39,1.07,20.84,-4.04
26,EPS Diluted,-0.32,-0.17,1.54,0.39,1.07,20.79,-4.04
27,Weighted Average Shares Outstanding,70858143,70858143,70600000,71200000,72200000,85700000,88800000
28,Weighted Average Shares Outstanding Diluted,70858143,70858143,70600000,71300000,72400000,85900000,88900000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1704720/000170472018000022/0001704720-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1704720/000170472019000012/0001704720-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1704720/000170472020000017/0001704720-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1704720/000170472021000024/0001704720-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1704720/000170472022000020/0001704720-22-000020-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,141700000,245600000,323000000,533700000,724700000,85800000
32,Short-Term Investments,- -,51800000,17700000,31400000,500000,35200000,- -
33,Cash and Short-Term Investments,- -,193500000,263300000,354400000,534200000,759900000,85800000
34,Net Receivables,- -,24700000,35800000,49800000,16000000,- -,- -
35,Inventory,- -,23900000,29700000,22300000,16300000,- -,- -
36,Other Current Assets,- -,30500000,21400000,25200000,64400000,84300000,35800000
37,Total Current Assets,- -,272600000,350200000,451700000,630900000,844200000,121600000
