,https://roic.ai/company/BIGC,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,91867000,112103000,152368000,219855000
2,COGS,21937000,27023000,34126000,48479000
3,Gross Profit,69930000,85080000,118242000,171376000
4,Gross Profit Ratio,0.7612,0.7589,0.7760,0.7795
5,Research and Development Exp.,42485000,43123000,48332000,64547000
6,General and Administrative Exp.,19497000,22204000,36137000,56839000
7,Selling and Marketing Exp.,45928000,60740000,72470000,99350000
8,"Selling, General and Administrative Exp.",65425000,82944000,108607000,156189000
9,Other Expenses,- -,- -,- -,26583000
10,Operating Expenses,107910000,126067000,156939000,247319000
11,COGS and Expenses,129847000,153090000,191065000,295798000
12,Interest Income ,653000,245000,31000,130000
13,Interest Expense (Gain),1489000,1612000,3103000,-828000
14,Depreciation and Amortization,1844000,2569000,3084000,6151000
15,EBITDA,-35535000,-38381000,-31348000,-71388000
16,EBITDA ratio,-0.3868,-0.3424,-0.2057,-0.3247
17,Operating Income,-37980000,-40987000,-38697000,-75943000
18,Operating Income ratio,-0.4134,-0.3656,-0.2540,-0.3454
19,Total Other Income Expenses (Gains),-888000,-1575000,1162000,-768000
20,Income Before Tax,-38868000,-42562000,-37535000,-76711000
21,Income Before Tax Ratio,-0.4231,-0.3797,-0.2463,-0.3489
22,Income Tax expense (Gain),10000,28000,25000,-34000
23,Net Income,-38878000,-42590000,-37560000,-76677000
24,Net Income ratio,-0.4232,-0.3799,-0.2465,-0.3488
25,EPS,-0.77,-0.76,-0.99,-1.96
26,EPS Diluted,-0.77,-0.76,-0.99,-1.96
27,Weighted Average Shares Outstanding,56902000,54926000,39092000,39092000
28,Weighted Average Shares Outstanding Diluted,56902000,54926000,39092000,39092000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1626450/000156459021009501/0001564590-21-009501-index.htm,https://www.sec.gov/Archives/edgar/data/1626450/000156459022008093/0001564590-22-008093-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,12793000,7795000,219447000,297561000
32,Short-Term Investments,23367000,- -,- -,102315000
33,Cash and Short-Term Investments,36160000,7795000,219447000,399876000
34,Net Receivables,10238000,15548000,22894000,39806000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,6722000,8328000,11731000,14866000
37,Total Current Assets,53120000,31671000,254072000,454548000
38,PP&E,5231000,22306000,18964000,16944000
