,https://roic.ai/company/LOVE,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , 
1,Revenue,74145370,76343441,101810413,165881300,233377380,320737750,100000
2,COGS,33635047,34646212,44593261,75000480,116687060,145965935,45000
3,Gross Profit,40510323,41697229,57217152,90880820,116690320,174771815,55000
4,Gross Profit Ratio,0.5464,0.5462,0.5620,0.5479,0.5000,0.5449,0.5500
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,47174365,47868120,62254985,94790380,127340810,111354236,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,41924487,13000
8,"Selling, General and Administrative Exp.",47174365,47868120,62254985,94790380,127340810,153278723,32000
9,Other Expenses,- -,- -,- -,3133750,5158060,6612872,- -
10,Operating Expenses,47174365,47868120,62254985,97924130,132498870,159891595,32000
11,COGS and Expenses,80809412,82514332,106848246,172924610,249185930,305857530,77000
12,Interest Income ,- -,- -,- -,355364,646844,- -,- -
13,Interest Expense (Gain),1686686,565557,437965,355364,- -,- -,- -
14,Depreciation and Amortization,2382969,2110112,2214499,3133751,5158062,6612872,7859000
15,EBITDA,-4924568,-4060779,-2823334,-3198838,-10003648,21425708,7869000
16,EBITDA ratio,-0.0664,-0.0532,-0.0277,-0.0193,-0.0429,0.0668,78.6900
17,Operating Income,-6664042,-6170891,-5037833,-7043313,-15808551,14880220,8000
18,Operating Income ratio,-0.0899,-0.0808,-0.0495,-0.0425,-0.0677,0.0464,0.0800
19,Total Other Income Expenses (Gains),-2330181,-565557,-437965,355363,646841,-67384,- -
20,Income Before Tax,-8994223,-6736448,-5475798,-6687950,-15161710,14812836,8000
21,Income Before Tax Ratio,-0.1213,-0.0882,-0.0538,-0.0403,-0.0650,0.0462,0.0800
22,Income Tax expense (Gain),- -,138000,26000,16407,43310,85689,1000
23,Net Income,-8994223,-6874448,-5501798,-6704360,-15205020,14727147,9000
24,Net Income ratio,-0.1213,-0.0900,-0.0540,-0.0404,-0.0652,0.0459,0.0900
25,EPS,-0.70,-0.53,-0.52,-3.28,-1.07,1.01,0.00
26,EPS Diluted,-0.70,-0.53,-0.52,-3.28,-1.07,0.96,0.00
27,Weighted Average Shares Outstanding,12926921,12926921,12926921,10536721,14260395,14610617,14610617
28,Weighted Average Shares Outstanding Diluted,12926921,12926921,12926921,10536721,14260395,15332998,15332998
