,https://roic.ai/company/S&SPOWER.NS,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,896191000,900826000,1142759000,1132301599,1030175000,1041319000,916926000,1315664000
2,COGS,623727000,536703000,722941000,720886263,662341000,652458000,582651000,901447000
3,Gross Profit,272464000,364123000,419818000,411415336,367834000,388861000,334275000,414217000
4,Gross Profit Ratio,0.3040,0.4042,0.3674,0.3633,0.3571,0.3734,0.3646,0.3148
5,Research and Development Exp.,- -,- -,- -,- -,2202000,262000,- -,- -
6,General and Administrative Exp.,- -,- -,13194332,16890019,23729000,24387000,30072000,24745000
7,Selling and Marketing Exp.,- -,- -,8353873,14072141,2460000,7539000,4810000,5927000
8,"Selling, General and Administrative Exp.",- -,- -,21548205,30962160,26189000,31926000,34882000,30672000
9,Other Expenses,254068000,372298000,339025795,345606924,304048000,381849000,365680000,359904000
10,Operating Expenses,254068000,372298000,360574000,376569084,332439000,414037000,400562000,390576000
11,COGS and Expenses,877795000,909001000,1083515000,1097455347,994780000,1066495000,983213000,1292023000
12,Interest Income ,- -,- -,232422,1430525,11803000,2206000,7034000,7833000
13,Interest Expense (Gain),13771000,20086000,20264000,28183026,27278000,24974000,37268000,38603000
14,Depreciation and Amortization,10213000,11668000,11902713,9479647,6352000,8925000,18846000,19034000
15,EBITDA,47730000,41799000,92557713,6644134,68997000,12481000,-90279000,39995000
16,EBITDA ratio,0.0533,0.0464,0.0810,0.0059,0.0670,0.0120,-0.0985,0.0304
17,Operating Income,18396000,-8175000,59244000,34846252,35395000,-25176000,-66287000,23641000
18,Operating Income ratio,0.0205,-0.0091,0.0518,0.0308,0.0344,-0.0242,-0.0723,0.0180
19,Total Other Income Expenses (Gains),5350000,18220000,1146000,-73997777,10930000,-12218000,-90806000,-40778000
20,Income Before Tax,23746000,10045000,60390000,-39151525,46325000,-37394000,-157093000,-17137000
21,Income Before Tax Ratio,0.0265,0.0112,0.0528,-0.0346,0.0450,-0.0359,-0.1713,-0.0130
22,Income Tax expense (Gain),-556000,1297000,2020000,276738,5301000,-788000,-3401000,-1767000
23,Net Income,24302000,8748000,58371000,-31295277,30066000,-20630000,-142992000,-15875000
24,Net Income ratio,0.0271,0.0097,0.0511,-0.0276,0.0292,-0.0198,-0.1559,-0.0121
25,EPS,3.92,1.41,9.41,-5.05,4.85,-3.33,-23.06,-2.56
26,EPS Diluted,3.92,1.41,9.41,-5.05,4.85,-3.33,-23.06,-2.56
