,https://roic.ai/company/ACRS,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,1683000,10091000,4227000,6482000,6761000
2,COGS,- -,- -,- -,- -,1207000,6850000,4055000,5133000,4713000
3,Gross Profit,- -,- -,- -,- -,476000,3241000,172000,1349000,2048000
4,Gross Profit Ratio,- -,- -,- -,- -,0.2828,0.3212,0.0407,0.2081,0.3029
5,Research and Development Exp.,3488000,6507000,15339000,33476000,39790000,63009000,64899000,31731000,43813000
6,General and Administrative Exp.,1769000,2026000,5328000,15091000,33109000,26149000,27156000,20530000,23619000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,47997000,671000,- -,- -
8,"Selling, General and Administrative Exp.",1769000,2026000,5328000,15091000,33109000,74146000,27827000,20530000,23619000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,5257000,8533000,20667000,48567000,72899000,137155000,92726000,52261000,67432000
11,COGS and Expenses,5257000,8533000,20667000,48567000,74106000,144005000,96781000,57394000,72145000
12,Interest Income ,21000,16000,104000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,11000,12000,90000,120000,402000,1879000,6409000,1324000,923000
15,EBITDA,-5246000,-8521000,-20577000,-48447000,-69951000,-130859000,-154945000,-49873000,-89942000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-41.5633,-12.9679,-36.6560,-7.6941,-13.3031
17,Operating Income,-5257000,-8533000,-20667000,-48567000,-72423000,-135414000,-111058000,-50912000,-89723000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-43.0321,-13.4193,-26.2735,-7.8544,-13.2707
19,Total Other Income Expenses (Gains),21000,16000,104000,488000,2070000,2676000,-2484000,-424000,-1142000
20,Income Before Tax,-5236000,-8517000,-20563000,-48079000,-70353000,-132738000,-113542000,-51336000,-90865000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-41.8021,-13.1541,-26.8611,-7.9198,-13.4396
22,Income Tax expense (Gain),- -,- -,- -,- -,-1830000,- -,- -,-182000,- -
23,Net Income,-5236000,-8517000,-20563000,-48079000,-68523000,-132738000,-161354000,-51015000,-90865000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-40.7148,-13.1541,-38.1722,-7.8703,-13.4396
25,EPS,-0.65,-0.92,-3.79,-2.25,-2.44,-4.03,-3.90,-1.20,-2.14
26,EPS Diluted,-0.65,-0.92,-3.79,-2.25,-2.44,-4.03,-3.90,-1.20,-2.14
27,Weighted Average Shares Outstanding,10655346,9261917,6107042,21415733,28102386,32909762,41323921,42539293,42539293
28,Weighted Average Shares Outstanding Diluted,10655346,9261917,6107042,21415733,28102386,32909762,41323921,42539293,42539293
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1557746/000155837016004311/0001558370-16-004311-index.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837017001802/0001558370-17-001802-index.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837018001866/0001558370-18-001866-index.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837019002211/0001558370-19-002211-index.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837020001325/0001558370-20-001325-index.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837021001717/0001558370-21-001717-index.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837022001838/0001558370-22-001838-index.htm
