,https://roic.ai/company/JAMF,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,146562000,204027000,269451000,366388000
2,COGS,49303000,56029000,60788000,90357000
3,Gross Profit,97259000,147998000,208663000,276031000
4,Gross Profit Ratio,0.6636,0.7254,0.7744,0.7534
5,Research and Development Exp.,31515000,42829000,52431000,82541000
6,General and Administrative Exp.,22270000,32003000,51904000,96206000
7,Selling and Marketing Exp.,51976000,71006000,96251000,148192000
8,"Selling, General and Administrative Exp.",74246000,103009000,148155000,244398000
9,Other Expenses,21491000,22416000,22575000,25294000
10,Operating Expenses,127252000,168254000,223161000,352233000
11,COGS and Expenses,176555000,224283000,283949000,442590000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),18203000,21423000,10741000,-2478000
14,Depreciation and Amortization,33914000,36807000,38168000,47069000
15,EBITDA,3724000,15519000,17826000,-25809000
16,EBITDA ratio,0.0254,0.0761,0.0662,-0.0704
17,Operating Income,-29993000,-20256000,-14498000,-76202000
18,Operating Income ratio,-0.2046,-0.0993,-0.0538,-0.2080
19,Total Other Income Expenses (Gains),-18400000,-22455000,-16585000,-3776000
20,Income Before Tax,-48393000,-42711000,-31083000,-79978000
21,Income Before Tax Ratio,-0.3302,-0.2093,-0.1154,-0.2183
22,Income Tax expense (Gain),-12137000,-10111000,-8312000,4789000
23,Net Income,-36256000,-32600000,-22771000,-75189000
24,Net Income ratio,-0.2474,-0.1598,-0.0845,-0.2052
25,EPS,-0.33,-0.17,-0.22,-0.64
26,EPS Diluted,-0.33,-0.17,-0.22,-0.64
27,Weighted Average Shares Outstanding,110745161,110636708,108908597,118276462
28,Weighted Average Shares Outstanding Diluted,110745161,110636708,108908597,118276462
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1721947/000155837021002391/0001558370-21-002391-index.htm,https://www.sec.gov/Archives/edgar/data/1721947/000162828022004530/0001628280-22-004530-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,39240000,32433000,194868000,177150000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,39240000,32433000,194868000,177150000
34,Net Receivables,33445000,52080000,69688000,79143000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,7604000,14068000,24355000,35305000
37,Total Current Assets,80289000,98581000,288911000,291598000
38,PP&E,- -,- -,12755000,- -
39,Goodwill,501145000,539818000,541480000,845734000
40,Intangible Assets,252171000,235099000,202878000,264593000
41,Intangible Assets,753316000,774917000,744358000,1110327000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,19779000,31310000,32129000,78495000
45,Total Non-Current Assets,773095000,806227000,789242000,1188822000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,853384000,904808000,1078153000,1480420000
48,Accounts Payable,2343000,3684000,6967000,9306000
49,Short-Term Debt,- -,- -,- -,- -
50,Tax Payable,147000,819000,713000,608000
51,Deferred Revenue,86220000,120089000,160443000,223031000
52,Other Current Liabilities,18956000,27746000,32287000,54189000
53,Total Current Liabilities,107519000,151519000,199697000,286526000
54,Long-Term Debt,171749000,201319000,- -,362031000
55,Deferred Revenue,14442000,20621000,45507000,59097000
56,Deferred Tax Liabilities,26384000,18133000,6422000,8700000
57,Other Non-Current Liabilities,196000,9338000,11046000,25640000
58,Total Non-Current Liabilities,212771000,249411000,62975000,455468000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -
61,Total Liabilities,320290000,400930000,262672000,741994000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,103000,103000,117000,119000
64,Retained Earnings,-32381000,-64981000,-87752000,-167408000
65,Other Comprehensive Income/Loss,-2999000,-6823000,- -,-7866000
66,Other Total Stockholders Equity,568371000,575579000,903116000,913581000
67,Total Stockholders Equity,533094000,503878000,815481000,738426000
68,Total Liabilities And Stockholders Equity,853384000,904808000,1078153000,1480420000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,853384000,904808000,1078153000,1480420000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1721947/000155837021002391/0001558370-21-002391-index.htm,https://www.sec.gov/Archives/edgar/data/1721947/000162828022004530/0001628280-22-004530-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-36256000,-32600000,-22771000,-75189000
74,Depreciation and Amortization,33914000,36807000,38168000,47069000
75,Deferred Income Tax,-12550000,-11247000,-8530000,-5644000
76,Stock Based Compensation,2315000,2461000,6743000,35805000
77,Change in Working Capital,17982000,-25708000,142152000,-84142000
78,Accounts Receivable,-3316000,-14462000,-23170000,-6521000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,-313000,1295000,3888000,2069000
81,Other Working Capital,-27230000,-52938000,89214000,5072000
82,Other Non-Cash Items,3955000,41470000,-103019000,147266000
83,Cash Provided by Operating Activities,9360000,11183000,52743000,65165000
84,CAPEX,-2909000,-7190000,-4368000,- -
85,Acquisitions Net,-2893000,-40173000,-2512000,-352711000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,4000,-34707000
89,Cash Used for Investing Activites,-5802000,-47363000,-6876000,-387418000
90,Debt Repayment,- -,- -,-205000000,-250000000
91,Common Stock Issued,- -,- -,328549000,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,1770000,29373000,-7585000,555528000
95,Cash Used/Provided by Financing Activities,1770000,29373000,115964000,305528000
96,Effect of Forex Changes on Cash,- -,- -,604000,-993000
97,Net Change In Cash,5328000,-6807000,162435000,-17718000
98,Cash at the End of Period,39240000,32433000,194868000,177150000
99,Cash at the Beginning of Period,33912000,39240000,32433000,194868000
100,Free Cash Flow,6451000,3993000,48375000,65165000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1721947/000155837021002391/0001558370-21-002391-index.htm,https://www.sec.gov/Archives/edgar/data/1721947/000162828022004530/0001628280-22-004530-index.htm
102,false,,,,
