,https://roic.ai/company/CHCT,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,8632000,25197000,37343000,48630000,60849000,75684000,90579000
2,COGS,- -,2012000,4744000,8682000,9944000,12235000,13614000,15158000
3,Gross Profit,- -,6620000,20453000,28661000,38686000,48614000,62070000,75421000
4,Gross Profit Ratio,- -,0.7669,0.8117,0.7675,0.7955,0.7989,0.8201,0.8327
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,2472000,3228000,3475000,5707000,7719000,8768000,12113000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,2472000,3228000,3475000,5707000,7719000,8768000,12113000
9,Other Expenses,- -,5275000,13356000,17799000,19539000,22225000,25378000,30401000
10,Operating Expenses,- -,7747000,16584000,21274000,25246000,29944000,34146000,42514000
11,COGS and Expenses,- -,9759000,21328000,29956000,35190000,42179000,47760000,57672000
12,Interest Income ,- -,35000,30000,71000,420000,437000,166000,57000
13,Interest Expense (Gain),- -,364000,1178000,3948000,6299000,9301000,8620000,10542000
14,Depreciation and Amortization,- -,5320000,13383000,18153000,20168000,22752000,25514000,31225000
15,EBITDA,- -,4228000,17282000,25611000,29323000,41859000,53291000,64426000
16,EBITDA ratio,- -,0.4898,0.6859,0.6858,0.6030,0.6879,0.7041,0.7113
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,-329000,-1148000,-3877000,-10584000,-8864000,-8767000,167000
20,Income Before Tax,- -,-1456000,2721000,3510000,2856000,9806000,19157000,22659000
21,Income Before Tax Ratio,- -,-0.1687,0.1080,0.0940,0.0587,0.1612,0.2531,0.2502
22,Income Tax expense (Gain),- -,- -,- -,- -,-1547000,1430000,80000,167000
23,Net Income,- -,-1456000,2721000,3510000,4403000,8376000,19077000,22492000
24,Net Income ratio,- -,-0.1687,0.1080,0.0940,0.0905,0.1377,0.2521,0.2483
25,EPS,- -,-0.31,0.24,0.19,0.19,0.37,0.80,0.87
26,EPS Diluted,- -,-0.31,0.24,0.19,0.19,0.37,0.80,0.87
27,Weighted Average Shares Outstanding,- -,4726925,11238437,14815258,17668696,18685000,21576038,23263000
28,Weighted Average Shares Outstanding Diluted,- -,4726925,11319505,14815258,17668696,18685000,21576038,23263000
