,https://roic.ai/company/HYBT,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,90000,170000,310000,4950000,3100000,2570000,2240000,3620000,5260000,4300000,10710000,9220000,29820000,8570000,1700000,1080000,1664100,6578310,- -,- -,- -,- -,163680,222701
2,COGS,160000,310000,40000,810000,540000,430000,540000,1070000,1770000,510000,360000,230000,300000,350000,170000,220000,- -,4856720,- -,- -,- -,- -,83580,118525
3,Gross Profit,-70000,-140000,270000,4140000,2560000,2140000,1700000,2550000,3490000,3790000,10350000,8990000,29520000,8220000,1530000,860000,- -,1721590,- -,- -,- -,- -,80100,104176
4,Gross Profit Ratio,-0.7778,-0.8235,0.8710,0.8364,0.8258,0.8327,0.7589,0.7044,0.6635,0.8814,0.9664,0.9751,0.9899,0.9592,0.9000,0.7963,- -,0.2617,- -,- -,- -,- -,0.4894,0.4678
5,Research and Development Exp.,- -,- -,320000,1050000,450000,310000,170000,240000,270000,250000,310000,300000,420000,390000,240000,230000,- -,225010,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,2440000,7210000,2400000,1690000,1800000,2750000,3550000,3590000,9870000,8310000,25360000,7290000,2150000,1740000,- -,2000900,- -,- -,- -,247780,594440,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23790,6864
8,"Selling, General and Administrative Exp.",- -,80996,817312,7177649,2396810,1576859,1766733,2744891,4204956,4331853,9870249,8311305,25363270,7287737,2944386,1741746,1418956,2000896,- -,- -,54113,- -,618230,6864
9,Other Expenses,- -,42129,407396,-13430889,4590714,259059,113428,51749,24624,29628,28148,37571,40565,33785,33408,37578,254297,5065,5000000,- -,- -,247777,-5,376095
10,Operating Expenses,- -,123125,1544708,-5203240,7437524,2145918,2050161,3036640,4499580,4611481,10208397,8648876,25823835,7711522,3217794,2009324,1673253,2230971,5000000,- -,54113,247777,618225,382959
11,COGS and Expenses,160000,310000,2830000,10160000,7980000,2580000,2590000,4110000,5620000,5380000,10570000,8880000,26570000,8060000,3390000,2230000,2754140,7087690,- -,476112,54110,247780,701800,501484
12,Interest Income ,- -,- -,- -,13989,8042,8310,7924,3054,11817,30862,18608,7192,5,- -,- -,114590,88750,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,10761,- -,70440,119627,13858,- -,- -,- -,8000,15534,- -,- -,64822,23179,- -,34450,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,10000,13151,30572,1095261,1540941,149505,90285,49736,29795,29404,30657,34069,37736,38698,38060,36303,18034,5064,- -,- -,- -,- -,- -,- -
15,EBITDA,-60000,-126088,-2539428,-4094299,-3389432,1083363,20285,-440264,-270205,-992596,326191,524069,3697736,563520,-1628761,-1353697,-3488946,- -,-3540000,-158989,-54110,-250340,-488390,-753141
16,EBITDA ratio,-0.6667,-0.7417,-8.1917,-0.8271,-1.0934,0.4215,0.0091,-0.1216,-0.0514,-0.2308,0.0305,0.0568,0.1240,0.0658,-0.9581,-1.2534,-2.0966,- -,-Infinity,-Infinity,-Infinity,-Infinity,-2.9838,-3.3818
17,Operating Income,-70000,-139704,-1281954,9346118,-4881966,-5182,-353990,-490395,-356960,-80850,138891,341086,3690780,504605,-1686704,-1149698,-737040,-509379,- -,- -,-54113,-247780,-538124,-278783
18,Operating Income ratio,-0.7778,-0.8218,-4.1353,1.8881,-1.5748,-0.0020,-0.1580,-0.1355,-0.0679,-0.0188,0.0130,0.0370,0.1238,0.0589,-0.9922,-1.0645,-0.4429,-0.0774,- -,- -,-Infinity,-Infinity,-3.2877,-1.2518
19,Total Other Income Expenses (Gains),- -,-10296,-1288046,-14606118,-168034,35182,3990,395,56960,-949150,121109,38914,-30780,-44605,-3296,-240302,-2804390,- -,- -,- -,3,-2560,-1886,-474358
20,Income Before Tax,-70000,-150000,-2570000,-5260000,-5050000,30000,-350000,-490000,-300000,-1030000,260000,380000,3660000,460000,-1690000,-1390000,-3541430,- -,-3540000,-160000,-54110,-250340,-540010,-753141
21,Income Before Tax Ratio,-0.7778,-0.8824,-8.2903,-1.0626,-1.6290,0.0117,-0.1563,-0.1354,-0.0570,-0.2395,0.0243,0.0412,0.1227,0.0537,-0.9941,-1.2870,-2.1281,- -,-Infinity,-Infinity,-Infinity,-Infinity,-3.2992,-3.3818
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,- -,-1160000,410000,-690000,-580000,- -,- -,- -,- -,- -,- -,- -,-204745
