,https://roic.ai/company/HON,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,9115000000,11794000000,11116000000,11909000000,11942000000,12343000000,11831000000,12042000000,11827000000,12817000000,14346000000,13971000000,14472000000,15128000000,23735000000,25023000000,23652000000,22274000000,23103000000,25601000000,27653000000,31367000000,34589000000,36556000000,30908000000,33370000000,36529000000,37665000000,39055000000,40306000000,38581000000,39302000000,40534000000,41802000000,36709000000,32637000000,34392000000
2,COGS,6718000000,8743000000,8562000000,9190000000,9239000000,9766000000,9408000000,9394000000,9004000000,10299000000,11539000000,11606000000,11481000000,11476000000,18495000000,19090000000,20429000000,17615000000,18235000000,20585000000,21465000000,24096000000,26300000000,27994000000,23185000000,25519000000,28556000000,28291000000,28364000000,28957000000,26747000000,27150000000,27575000000,29046000000,24339000000,22169000000,23394000000
3,Gross Profit,2397000000,3051000000,2554000000,2719000000,2703000000,2577000000,2423000000,2648000000,2823000000,2518000000,2807000000,2365000000,2991000000,3652000000,5240000000,5933000000,3223000000,4659000000,4868000000,5016000000,6188000000,7271000000,8289000000,8562000000,7723000000,7851000000,7973000000,9374000000,10691000000,11349000000,11834000000,12152000000,12959000000,12756000000,12370000000,10468000000,10998000000
4,Gross Profit Ratio,0.2630,0.2587,0.2298,0.2283,0.2263,0.2088,0.2048,0.2199,0.2387,0.1965,0.1957,0.1693,0.2067,0.2414,0.2208,0.2371,0.1363,0.2092,0.2107,0.1959,0.2238,0.2318,0.2396,0.2342,0.2499,0.2353,0.2183,0.2489,0.2737,0.2816,0.3067,0.3092,0.3197,0.3052,0.3370,0.3207,0.3198
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1140000000,1631000000,1457000000,1600000000,1333000000,1387000000,2210000000,1704000000,1338000000,1366000000,1503000000,1511000000,1581000000,1690000000,3216000000,3134000000,3064000000,2757000000,2950000000,3316000000,3707000000,4210000000,4565000000,5033000000,4341000000,4717000000,5399000000,5218000000,5190000000,5518000000,5006000000,5469000000,5808000000,6051000000,5519000000,4772000000,4798000000
9,Other Expenses,362000000,368000000,347000000,416000000,424000000,460000000,504000000,529000000,547000000,- -,44000000,-655000000,-226000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1502000000,1999000000,1804000000,2016000000,1757000000,1847000000,2714000000,2233000000,1885000000,1366000000,1547000000,856000000,1355000000,1690000000,3216000000,3134000000,3064000000,2757000000,2950000000,3316000000,3707000000,4210000000,4565000000,5033000000,4341000000,4717000000,5399000000,5218000000,5190000000,5518000000,5006000000,5469000000,5808000000,6051000000,5519000000,4772000000,4798000000
11,COGS and Expenses,8220000000,10742000000,10366000000,11206000000,10996000000,11613000000,12122000000,11627000000,10889000000,11665000000,13086000000,12462000000,12836000000,13166000000,21711000000,22224000000,23493000000,20372000000,21185000000,23901000000,25172000000,28306000000,30865000000,33027000000,27526000000,30236000000,33955000000,33509000000,33554000000,34475000000,31753000000,32619000000,33383000000,35097000000,29858000000,26941000000,28192000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000000,- -,58000000,58000000,69000000,102000000,104000000,106000000,151000000,217000000,255000000,107000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,459000000,386000000,376000000,351000000,327000000,318000000,310000000,338000000,316000000,367000000,357000000,359000000,343000000
14,Depreciation and Amortization,362000000,368000000,347000000,416000000,424000000,460000000,504000000,529000000,547000000,560000000,612000000,602000000,609000000,609000000,881000000,995000000,926000000,671000000,595000000,650000000,697000000,794000000,837000000,903000000,957000000,987000000,957000000,926000000,989000000,924000000,883000000,1030000000,1115000000,1116000000,1088000000,1002000000,1223000000
