,https://roic.ai/company/RYES,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,364000,- -,4035,- -,375980,1770,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,-364000,- -,-4035,- -,-375980,-1770,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,-Infinity,- -,-Infinity,- -,-Infinity,-Infinity,- -,- -,- -
5,Research and Development Exp.,10000,- -,- -,- -,- -,- -,- -,- -,- -,7968,55253,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,16000,92626,250270,143604,183431,486720,2118264,1641837,1100709,1421145,2213146
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,42131,76201,639,2496,15465,983851,340537,417013,176652,175567
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,16000,134757,326471,144243,185927,502186,3102115,1982374,1517722,1597797,2388713
9,Other Expenses,- -,23857,16552,29411,- -,- -,- -,50038,- -,5456,- -,1579423,2867696,1741309,897168
10,Operating Expenses,10000,23857,16552,29411,16000,134757,326471,194281,185927,515609,3157368,3561797,4385418,3339106,3285881
11,COGS and Expenses,10000,23857,16552,29411,16000,134757,690471,194281,189962,515609,3533348,3563567,4385418,3339106,3285881
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1997,21315,101014,119523
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1770,18851,22986,25579
15,EBITDA,-10000,-23857,-16552,-29411,-16000,-134757,-701153,-230832,-268013,-546250,-2875741,-3561797,-4366568,-3127901,-3255414
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-10000,-23857,-16552,-29411,-16000,-134757,-690471,-194281,-189962,-515609,-3533348,-3563567,-4385418,-3339106,-3285881
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,10682,36551,78051,30641,-657607,37773,-4612,-2132429,1682003
20,Income Before Tax,-10000,- -,- -,- -,- -,- -,-679789,-157730,-111911,-484969,-4190955,-3525794,-4390031,-5471535,-1603878
21,Income Before Tax Ratio,-Infinity,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-10000,-23857,-11552,-16911,-16000,-134757,-679789,-157730,-111911,-484969,-4190955,-3525794,-4390031,-5471535,-1603878
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.09,-0.17,-0.07,-0.13,-0.11,-1.77,-8.00,-1.99,-0.10,-0.15,-0.80,-0.38,-0.30,-0.25,-0.06
26,EPS Diluted,-0.09,-0.17,-0.07,-0.13,-0.11,-1.77,-8.00,-1.99,-0.10,-0.15,-0.80,-0.38,-0.30,-0.25,-0.06
27,Weighted Average Shares Outstanding,110000,141000,141000,141000,141000,76146,77497,79250,1550658,3155620,4951665,8717144,14795515,21835235,26721896
28,Weighted Average Shares Outstanding Diluted,110000,141000,141000,141000,141000,76146,77497,79250,1550658,3155620,4951665,8717144,14795515,21835235,26721896
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1424864/000117625608001179/0001176256-08-001179-index.html,https://www.sec.gov/Archives/edgar/data/1424864/000127351109000211/0001273511-09-000211-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1424864/000127351113000092/0001273511-13-000092-index.html,https://www.sec.gov/Archives/edgar/data/1424864/000127351114000119/0001273511-14-000119-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1424864/000127351116000242/0001273511-16-000242-index.html,https://www.sec.gov/Archives/edgar/data/1424864/000127351117000076/0001273511-17-000076-index.html,https://www.sec.gov/Archives/edgar/data/1424864/000127351118000061/0001273511-18-000061-index.html,https://www.sec.gov/Archives/edgar/data/1424864/000127351119000092/0001273511-19-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1424864/000127351120000243/0001273511-20-000243-index.htm,https://www.sec.gov/Archives/edgar/data/1424864/000106299321009984/0001062993-21-009984-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,20000,4664,1539,2435,1471,1930,10146,72,13865,106432,337099,53430,214139,3378826,773279
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,20000,4664,1539,2435,1471,1930,10146,72,13865,106432,337099,53430,214139,3378826,773279
34,Net Receivables,- -,- -,- -,- -,- -,10228,17113,766,4050,15328,18083,13093,12373,20043,44113
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,19393,- -,8314,40017,7324,165118,408609,190020,363646,339034
37,Total Current Assets,20000,4664,1539,2435,1471,31551,27259,9152,57932,129083,520300,475132,416531,3762515,1156426
38,PP&E,- -,- -,- -,- -,- -,20000,- -,- -,16276,431045,3789854,4727069,4760680,4750413,4724834
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,20000,- -,- -,16276,431045,3789854,4727069,4760680,4750413,4724834
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20000,4664,1539,2435,1471,51551,27259,9152,74208,560128,4310154,5202201,5177211,8512928,5881260
48,Accounts Payable,- -,7880,11216,13114,5150,147387,518884,658507,146648,140864,296792,347323,468558,415292,165892
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,272355,223554,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,500,5591,21500,44500,67100,67100,67100,67100,33084,38079,52590,230955,79479,34010
53,Total Current Liabilities,- -,8380,16807,34614,49650,214487,585984,725607,213748,173947,334871,672268,923067,494771,199902
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225611,- -,742157,976587
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2218107,441766
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225611,- -,2960264,1418353
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,8380,16807,34614,49650,214487,585984,725607,213748,173947,334871,897879,923067,3455035,1618255
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,4700,4700,4700,4700,61800,63400,63400,752226,25162,66708,89111,132809,26437,26770
64,Retained Earnings,-10000,-32916,-44468,-61379,-77379,-212136,-891925,-1049655,-1161566,-1406346,-6027924,-8152232,-12467927,-17940599,-19544477
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-127594,-166663,-127914,-126748,-104084,-104084
66,Other Total Stockholders Equity,20000,24500,24500,24500,24500,- -,269800,269800,269800,1894958,10103162,12495357,16716009,23076139,23884796
67,Total Stockholders Equity,20000,-3716,-15268,-32179,-48179,-162936,-558725,-716455,-139540,386181,3975283,4304323,4254144,5057893,4263005
68,Total Liabilities And Stockholders Equity,20000,4664,1539,2435,1471,51551,27259,9152,74208,560128,4310154,5202201,5177211,8512928,5881260
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,0,- -,0,-0,- -,- -
70,Total Liabilities & Equity,20000,4664,1539,2435,1471,51551,27259,9152,74208,560128,4310154,5202201,5177211,8512928,5881260
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1424864/000117625608001179/0001176256-08-001179-index.html,https://www.sec.gov/Archives/edgar/data/1424864/000127351109000211/0001273511-09-000211-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1424864/000127351113000092/0001273511-13-000092-index.html,https://www.sec.gov/Archives/edgar/data/1424864/000127351114000119/0001273511-14-000119-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1424864/000127351116000242/0001273511-16-000242-index.html,https://www.sec.gov/Archives/edgar/data/1424864/000127351117000076/0001273511-17-000076-index.html,https://www.sec.gov/Archives/edgar/data/1424864/000127351118000061/0001273511-18-000061-index.html,https://www.sec.gov/Archives/edgar/data/1424864/000127351119000092/0001273511-19-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1424864/000127351120000243/0001273511-20-000243-index.htm,https://www.sec.gov/Archives/edgar/data/1424864/000106299321009984/0001062993-21-009984-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-10000,-23857,-11552,-16911,-16000,-134757,-679789,-157730,-111911,-484969,-4190955,-3525794,-4390031,-5471535,-1603878
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1770,18851,22986,25579
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,282503,1070064,516804,132146,357271,560792
77,Change in Working Capital,- -,-23716,-11552,-16911,-16000,-134757,-375789,-157730,560639,110952,230293,-382565,-309400,3774280,-2311220
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57348,-53309,-249400
81,Other Working Capital,20000,-3716,-15268,-32179,-48179,-182936,-558725,-716455,-155816,-44864,185429,-197136,-506536,3267744,956524
82,Other Non-Cash Items,- -,30596,14888,18809,8036,247373,1123794,305386,-556057,-120015,186357,399966,804697,-1749691,474982
83,Cash Provided by Operating Activities,-10000,-16977,-8216,-15013,-23964,-22141,68216,-10074,-107329,-211529,-2704241,-2989818,-3743737,-3066689,-2853745
84,CAPEX,- -,- -,- -,- -,- -,- -,-60000,- -,-16276,-61246,-3605854,-1340849,-95565,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-6106,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-60000,- -,-22382,-61246,-3605854,-1340849,-95565,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19029,-303710,-203650,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,172872,463176,6662907,4267474,3332156,5499131,250000
92,Common Stock Repurchased,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,5091,15909,23000,22600,- -,- -,-29368,-97749,-154734,-123070,972052,935876,-1802
95,Cash Used/Provided by Financing Activities,30000,- -,5091,15909,23000,22600,- -,- -,143504,365426,6508173,4125374,4000497,6231357,248198
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,20000,-16977,-3125,896,-964,459,8216,-10074,13793,92651,198078,-205293,161195,3164668,-2605547
98,Cash at the End of Period,20000,4664,1539,2435,1471,1930,10146,72,13865,106432,337099,53430,214139,3378826,773279
99,Cash at the Beginning of Period,- -,21641,4664,1539,2435,1471,1930,10146,72,13780,139021,258724,52943,214158,3378826
100,Free Cash Flow,-10000,-16977,-8216,-15013,-23964,-22141,8216,-10074,-123605,-272775,-6310095,-4330668,-3839301,-3066689,-2853745
