,https://roic.ai/company/FCIC,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,589000,761000,815000,865000,765000,984000,1248000,- -,- -,- -,80000,70000,30000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000,70000,30000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,185000,197000,233000,274000,- -,- -,- -,100000,80000,80000,80000,70000,60000,40000,40000,72000,44000,49000,71000,57000,54000,60000
7,Selling and Marketing Exp.,- -,- -,- -,- -,4000,7000,7000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,185000,201000,240000,281000,75000,- -,84000,86000,78000,81000,77000,74000,63000,38000,43000,72000,44000,49000,71000,57000,54000,60000
9,Other Expenses,- -,- -,- -,9000,-547000,-607000,- -,- -,147000,12000,12000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,194000,-346000,-367000,- -,75000,147000,96000,98000,78000,81000,77000,74000,63000,38000,43000,72000,44000,49000,71000,57000,54000,60000
11,COGS and Expenses,- -,- -,- -,194000,-346000,-367000,-479000,75000,95000,84000,100000,80000,80000,80000,70000,60000,40000,40000,72000,44000,49000,71000,57000,54000,60000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000,10000,4000,3000,1000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000
14,Depreciation and Amortization,15000,10000,-2000,9000,6000,5000,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-210000,303000,388000,10000,218000,365000,488000,-70000,119000,-39000,-29996,- -,-50003,-60000,-70000,-60000,-40000,-40000,-72000,-44000,-49000,-71000,-57000,-54000,-60000
16,EBITDA ratio,-0.3565,0.3982,0.4761,0.0116,0.2850,0.3709,0.3910,-Infinity,Infinity,-Infinity,-0.3750,- -,-1.6668,-6.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-814000,-468000,-425000,-670000,-899000,-991000,-1244000,9000,7000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000
20,Income Before Tax,-225000,293000,390000,1000,212000,360000,483000,-61000,126000,-39000,-20000,-10000,-50000,-70000,-70000,-60000,-40000,-40000,-72000,-44000,-49000,-71000,-57000,-54000,-62000
21,Income Before Tax Ratio,-0.3820,0.3850,0.4785,0.0012,0.2771,0.3659,0.3870,-Infinity,Infinity,-Infinity,-0.2500,-0.1429,-1.6667,-7.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),5000,5000,-418000,-133000,5000,315000,225000,9000,7000,6000,4,10000,-3,10000,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-230000,288000,808000,134000,207000,45000,258000,-199000,119000,-45000,-30000,-10000,-50000,-70000,-70000,-60000,-40000,-40000,-72000,-44000,-49000,-71000,-57000,-54000,-62000
24,Net Income ratio,-0.3905,0.3784,0.9914,0.1549,0.2706,0.0457,0.2067,-Infinity,Infinity,-Infinity,-0.3750,-0.1429,-1.6667,-7.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.20,0.25,0.69,0.11,0.18,0.04,0.22,-0.15,0.08,-0.03,-0.02,-0.01,-0.03,-0.05,-0.05,-0.04,-0.02,-0.02,-0.03,-0.01,-0.01,-0.02,-0.02,-0.02,-0.02
26,EPS Diluted,-0.20,0.25,0.69,0.11,0.18,0.04,0.22,-0.15,0.07,-0.03,-0.02,-0.01,-0.03,-0.05,-0.05,-0.04,-0.02,-0.02,-0.03,-0.01,-0.01,-0.02,-0.02,-0.02,-0.02
27,Weighted Average Shares Outstanding,1173382,1173382,1173382,1173382,1173382,1173382,1173382,1361224,1423382,1423382,1423382,1437574,1549381,1561022,1561022,1561022,1561022,1561022,2930063,3461022,3461022,3461022,3461022,3461022,3461022
28,Weighted Average Shares Outstanding Diluted,1173382,1173382,1173382,1173382,1173382,1186630,1192167,1474713,1644578,1575337,1565099,1437574,1549381,1561022,1561022,1561022,1561022,1561022,2930063,3461022,3461022,3461022,3461022,3461022,3611309
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730669/000124013904000019/0001240139-04-000019-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000129627705000013/0001296277-05-000013-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000102660806000069/0001026608-06-000069-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000102660807000092/0001026608-07-000092-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000102660808000145/0001026608-08-000145-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000102660809000094/0001026608-09-000094-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000102660810000064/0001026608-10-000064-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000102660811000062/0001026608-11-000062-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793212001929/0001477932-12-001929-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793213002906/0001477932-13-002906-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793214003353/0001477932-14-003353-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793215004170/0001477932-15-004170-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793216010913/0001477932-16-010913-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793217002884/0001477932-17-002884-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793218003024/0001477932-18-003024-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793219003748/0001477932-19-003748-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793220003523/0001477932-20-003523-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793221004548/0001477932-21-004548-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,30000,1560000,1685000,1628000,1605000,1622000,1572000,250000,179000,117000,79000,42000,337000,293000,243000,188000,120000,63000,66000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,30000,1560000,1685000,1628000,1605000,1622000,1572000,250000,179000,117000,79000,42000,337000,293000,243000,188000,120000,63000,66000
34,Net Receivables,- -,- -,- -,- -,- -,- -,120000,- -,9000,11000,6000,- -,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,3000,3000,3000,4000,4000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,1560000,1694000,1639000,1611000,1622000,1574000,250000,179000,117000,79000,42000,337000,295000,246000,191000,123000,67000,70000
38,PP&E,- -,- -,- -,- -,- -,- -,12000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,52000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,52000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,72000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,4002000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,4002000,1561000,1695000,1640000,1612000,1623000,1575000,251000,180000,118000,80000,43000,337000,295000,246000,191000,123000,67000,70000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,154000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,9000,24000,14000,11000,11000,14000,12000,12000,10000,9000,15000,1000,3000,3000,19000,8000,6000,4000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,9000,24000,14000,11000,11000,14000,12000,12000,10000,9000,15000,1000,3000,3000,19000,8000,6000,4000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,1487000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,1487000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,3228000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,1741000,9000,24000,14000,11000,11000,14000,12000,12000,10000,9000,15000,1000,3000,3000,19000,8000,6000,71000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,587000,712000,712000,712000,712000,726000,- -,- -,- -,781000,- -,- -,- -,- -,- -,800000,800000,800000,800000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-7579000,-8490000,-8371000,-8416000,-8441000,-8453000,-8504000,-8577000,-8648000,-8708000,-8745000,-8788000,-8860000,-8904000,-8953000,-9024000,-9081000,-9135000,-9197000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
