,https://roic.ai/company/OLLI,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,540718000,637975000,762370000,890315000,1077032000,1241377000,1408199000,1808821000,1752995000
2,COGS,323908000,384465000,459506000,529904000,645385000,743726000,852610000,1085455000,1071749000
3,Gross Profit,216810000,253510000,302864000,360411000,431647000,497651000,555589000,723366000,681246000
4,Gross Profit Ratio,0.4010,0.3974,0.3973,0.4048,0.4008,0.4009,0.3945,0.3999,0.3886
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,216120000,249774000,286074000,323933000,369152000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,216120000,249774000,286074000,323933000,369152000,- -,447615000
9,Other Expenses,166651000,190729000,13882000,8443000,10615000,11814000,14582000,445866000,- -
10,Operating Expenses,166651000,190729000,230002000,258217000,296689000,335747000,383734000,445866000,447615000
11,COGS and Expenses,490559000,575194000,689508000,788121000,942074000,1079473000,1236344000,1531321000,1519364000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,209000
14,Depreciation and Amortization,9491000,8785000,9341000,10668000,12261000,14343000,17543000,22465000,24894000
15,EBITDA,40309000,52463000,66787000,106927000,142748000,174986000,190276000,300243000,229486000
16,EBITDA ratio,0.0745,0.0822,0.0876,0.1201,0.1325,0.1410,0.1351,0.1660,0.1309
17,Operating Income,50159000,62781000,79572000,102194000,135756000,162054000,171855000,277500000,204592000
18,Operating Income ratio,0.0928,0.0984,0.1044,0.1148,0.1260,0.1305,0.1220,0.1534,0.1167
19,Total Other Income Expenses (Gains),-19341000,-19103000,-22126000,-5935000,-5269000,-1411000,878000,278000,-209000
20,Income Before Tax,30818000,43678000,57446000,96259000,130487000,160643000,172733000,277778000,204383000
21,Income Before Tax Ratio,0.0570,0.0685,0.0754,0.1081,0.1212,0.1294,0.1227,0.1536,0.1166
22,Income Tax expense (Gain),11277000,16763000,21607000,36495000,2893000,25630000,31603000,35082000,46928000
23,Net Income,19541000,26915000,35839000,59764000,127594000,135013000,141130000,242696000,157455000
24,Net Income ratio,0.0361,0.0422,0.0470,0.0671,0.1185,0.1088,0.1002,0.1342,0.0898
25,EPS,0.37,0.51,0.67,0.99,2.08,2.16,2.23,3.75,2.44
26,EPS Diluted,0.36,0.50,0.64,0.96,1.96,2.05,2.14,3.68,2.43
27,Weighted Average Shares Outstanding,53217850,53223830,53835000,60160000,61353000,62568000,63214000,64748000,64447000
28,Weighted Average Shares Outstanding Diluted,54566455,53630700,55796000,62415000,64950000,65905000,65874000,65873000,64878000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1639300/000119312516536766/0001193125-16-536766-index.html,https://www.sec.gov/Archives/edgar/data/1639300/000156761917000543/0001567619-17-000543-index.html,https://www.sec.gov/Archives/edgar/data/1639300/000114036118017136/0001140361-18-017136-index.html,https://www.sec.gov/Archives/edgar/data/1639300/000114036119006044/0001140361-19-006044-index.html,https://www.sec.gov/Archives/edgar/data/1639300/000114036120006788/0001140361-20-006788-index.html,https://www.sec.gov/Archives/edgar/data/1639300/000114036121009817/0001140361-21-009817-index.htm,https://www.sec.gov/Archives/edgar/data/1639300/000114036122011225/0001140361-22-011225-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,12166000,21952000,30259000,98683000,39234000,51941000,89950000,447126000,246977000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,12166000,21952000,30259000,98683000,39234000,51941000,89950000,447126000,246977000
34,Net Receivables,339000,318000,183000,301000,1271000,570000,2840000,621000,1372000
35,Inventory,146218000,169872000,190608000,210107000,255185000,296407000,335181000,353704000,467306000
36,Other Current Assets,6409000,6135000,2756000,3739000,7986000,9579000,5567000,7316000,11173000
37,Total Current Assets,165132000,198277000,223806000,312830000,303676000,358497000,433538000,808767000,726828000
38,PP&E,27935000,33926000,39292000,46333000,54888000,119052000,484768000,519258000,567732000
39,Goodwill,444850000,444850000,444850000,444850000,444850000,444850000,444850000,444850000,444850000
40,Intangible Assets,234359000,233625000,233354000,232977000,232639000,232304000,230559000,230559000,- -
41,Intangible Assets,679209000,678475000,678204000,677827000,677489000,677154000,675409000,675409000,444850000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,87171000,89224000,59073000,55616000,59401000,- -,66179000
44,Other Non-Current Assets,7002000,6453000,-84651000,-86839000,-56927000,-51316000,-56869000,2421000,166583000
45,Total Non-Current Assets,714146000,718854000,720016000,726545000,734523000,800506000,1162709000,1197088000,1245344000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,879278000,917131000,943822000,1039375000,1038199000,1159003000,1596247000,2005855000,1972172000
48,Accounts Payable,37364000,50498000,52075000,50448000,74206000,77431000,63223000,117217000,106599000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,65060000,75867000
50,Tax Payable,- -,- -,4102000,4548000,6035000,7393000,3906000,17447000,2556000
51,Deferred Revenue,- -,- -,87171000,89224000,59073000,10503000,9933000,10015000,- -
52,Other Current Liabilities,39521000,40136000,-42478000,-34851000,3447000,63062000,104529000,91504000,80802000
53,Total Current Liabilities,76885000,90634000,96768000,104821000,136726000,150996000,177685000,283796000,263268000
54,Long-Term Debt,261467000,313493000,193433000,188923000,38835000,441000,527000,322110000,355012000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,66179000
56,Deferred Tax Liabilities,94434000,93256000,87171000,89224000,59073000,55616000,59401000,65064000,66179000
57,Other Non-Current Liabilities,2353000,2913000,4501000,5146000,7103000,9298000,299749000,4000,-66176000
58,Total Non-Current Liabilities,358254000,409662000,285105000,283293000,105011000,65355000,359677000,387178000,421194000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,679000,354094000,387170000,- -
61,Total Liabilities,435139000,500296000,381873000,388114000,241737000,216351000,537362000,670974000,684462000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,48000,48000,59000,61000,62000,63000,64000,66000,67000
64,Retained Earnings,20423000,23738000,25661000,85425000,213019000,342441000,483571000,726267000,883722000
65,Other Comprehensive Income/Loss,-11447000,-19403000,-28270000,-38393000,-50076000,-60433000,-77286000,- -,- -
66,Other Total Stockholders Equity,435115000,412452000,564499000,604168000,633457000,660581000,652536000,608548000,403921000
67,Total Stockholders Equity,444139000,416835000,561949000,651261000,796462000,942652000,1058885000,1334881000,1287710000
68,Total Liabilities And Stockholders Equity,879278000,917131000,943822000,1039375000,1038199000,1159003000,1596247000,2005855000,1972172000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,879278000,917131000,943822000,1039375000,1038199000,1159003000,1596247000,2005855000,1972172000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1639300/000119312516536766/0001193125-16-536766-index.html,https://www.sec.gov/Archives/edgar/data/1639300/000156761917000543/0001567619-17-000543-index.html,https://www.sec.gov/Archives/edgar/data/1639300/000114036118017136/0001140361-18-017136-index.html,https://www.sec.gov/Archives/edgar/data/1639300/000114036119006044/0001140361-19-006044-index.html,https://www.sec.gov/Archives/edgar/data/1639300/000114036120006788/0001140361-20-006788-index.html,https://www.sec.gov/Archives/edgar/data/1639300/000114036121009817/0001140361-21-009817-index.htm,https://www.sec.gov/Archives/edgar/data/1639300/000114036122011225/0001140361-22-011225-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,19541000,26915000,35839000,59764000,127594000,135013000,141130000,242696000,157455000
74,Depreciation and Amortization,9491000,8785000,9341000,10668000,12261000,14343000,17543000,22465000,24894000
75,Deferred Income Tax,-3213000,-3419000,-1731000,1867000,-30323000,-1568000,3785000,5663000,1115000
76,Stock Based Compensation,3440000,3761000,5035000,6685000,7413000,7291000,7302000,6501000,8042000
77,Change in Working Capital,-14680000,19396000,19395000,80971000,-41059000,40551000,48352000,269118000,-61411000
78,Accounts Receivable,-62000,21000,135000,-118000,-970000,701000,-2270000,2219000,-751000
79,Inventory,-20598000,-23654000,-20736000,-19499000,-45078000,-41222000,-38774000,-18523000,-113602000
80,Accounts Payable,321000,13113000,1543000,-1822000,22955000,3564000,-15513000,55574000,-11116000
81,Other Working Capital,88247000,107643000,127038000,208009000,166950000,207501000,255853000,524971000,463560000
82,Other Non-Cash Items,5134000,-23596000,-22031000,-92867000,20050000,-69551000,-112768000,-185189000,-85062000
83,Cash Provided by Operating Activities,19713000,31842000,45848000,67088000,95936000,126079000,105344000,361254000,45033000
84,CAPEX,-9597000,-14110000,-14360000,-16438000,-19285000,-74178000,-76979000,-30570000,-34989000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,43000,103000,-134000,15000,128000,330000,42855000,77000,3159000
89,Cash Used for Investing Activites,-9554000,-14007000,-14337000,-16423000,-19157000,-73848000,-34124000,-30448000,-31830000
90,Debt Repayment,-474641000,-682069000,-1182129000,-951787000,-1289310000,-1370344000,-460000,-429000,-684000
91,Common Stock Issued,- -,- -,149806000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-46198000,-29000,-57000,- -,- -,- -,-40014000,-301000,- -
93,Dividends Paid,- -,-57951000,-48848000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,518246000,732000000,1058024000,969546000,1153082000,1330820000,7263000,27100000,-212668000
95,Cash Used/Provided by Financing Activities,-2593000,-8049000,-23204000,17759000,-136228000,-39524000,-33211000,26370000,-213352000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,7566000,9786000,8307000,68424000,-59449000,12707000,38009000,357176000,-200149000
98,Cash at the End of Period,12166000,21952000,30259000,98683000,39234000,51941000,89950000,447126000,246977000
99,Cash at the Beginning of Period,4600000,12166000,21952000,30259000,98683000,39234000,51941000,89950000,447126000
100,Free Cash Flow,10116000,17732000,31488000,50650000,76651000,51901000,28365000,330684000,10044000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1639300/000119312516536766/0001193125-16-536766-index.html,https://www.sec.gov/Archives/edgar/data/1639300/000156761917000543/0001567619-17-000543-index.html,https://www.sec.gov/Archives/edgar/data/1639300/000114036118017136/0001140361-18-017136-index.html,https://www.sec.gov/Archives/edgar/data/1639300/000114036119006044/0001140361-19-006044-index.html,https://www.sec.gov/Archives/edgar/data/1639300/000114036120006788/0001140361-20-006788-index.html,https://www.sec.gov/Archives/edgar/data/1639300/000114036121009817/0001140361-21-009817-index.htm,https://www.sec.gov/Archives/edgar/data/1639300/000114036122011225/0001140361-22-011225-index.htm
102,false,,,,,,,,,
