,https://roic.ai/company/ESSI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,3674,569,- -,- -,- -,- -,- -,- -,- -,59729
2,COGS,- -,1207,221,- -,- -,- -,- -,- -,- -,- -,36329
3,Gross Profit,- -,2467,348,- -,- -,- -,- -,- -,- -,- -,23400
4,Gross Profit Ratio,- -,0.6715,0.6116,- -,- -,- -,- -,- -,- -,- -,0.3918
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,305092,670480,657948,157837
6,General and Administrative Exp.,- -,- -,- -,309247,88753,- -,- -,22421498,2103696,2240841,1309876
7,Selling and Marketing Exp.,- -,- -,- -,22352,- -,- -,- -,2118037,1497715,942021,49099
8,"Selling, General and Administrative Exp.",- -,- -,- -,331599,88753,- -,- -,24539535,3601411,3182862,1358975
9,Other Expenses,- -,48903,29250,- -,- -,126782,159068,628,3627,367391,4423
10,Operating Expenses,- -,48903,29250,331599,88753,126782,159068,24845255,4275518,4208201,1521235
11,COGS and Expenses,- -,50110,29471,331599,88753,126782,159068,24845255,4275518,4208201,1557564
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,4300,12000,9000
13,Interest Expense (Gain),- -,- -,- -,15401,15265,18554,28388,35433,206560,586702,249962
14,Depreciation and Amortization,- -,814,1303,2525,- -,- -,- -,628,3627,367391,4423
15,EBITDA,- -,-45622,-25142,-329074,-88753,-126782,-159068,-24844627,-4271891,-3840810,-1612245
16,EBITDA ratio,- -,-12.4175,-44.1863,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-26.9927
17,Operating Income,- -,- -,-28902,-331599,-88753,-126782,-652818,-24845255,-22675518,-4208201,-1491835
18,Operating Income ratio,- -,- -,-50.7944,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-24.9767
19,Total Other Income Expenses (Gains),- -,- -,2457,-240009,-7363649,-963554,-181888,-8782923,-202260,-574702,-374795
20,Income Before Tax,- -,- -,- -,-571608,-7452402,-1090336,-834706,-33628178,-22877778,-4782903,-1866630
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-31.2517
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-46436,-26445,-571608,-7836907,-1090336,-834706,-33628178,-22877778,-4782903,-1866630
24,Net Income ratio,- -,-12.6391,-46.4763,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-31.2517
25,EPS,-0.02,-0.11,-0.06,-2.00,-17.70,-0.04,-0.03,-1.08,-0.46,-0.10,-0.04
26,EPS Diluted,-0.02,-0.11,-0.06,-2.00,-17.70,-0.04,-0.03,-1.08,-0.46,-0.10,-0.04
27,Weighted Average Shares Outstanding,250000,418000,418000,250213,443001,24461220,28226349,31239274,49718607,47310997,47557572
28,Weighted Average Shares Outstanding Diluted,250000,418000,418000,250213,443001,24461220,28226349,31239274,49718607,47310997,47557572
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1490873/000129460612000155/0001294606-12-000155-index.html,https://www.sec.gov/Archives/edgar/data/1490873/000149087313000032/0001490873-13-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1490873/000149087314000030/0001490873-14-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1490873/000149087315000006/0001490873-15-000006-index.html,https://www.sec.gov/Archives/edgar/data/1490873/000159406216000518/0001594062-16-000518-index.htm,https://www.sec.gov/Archives/edgar/data/1490873/000159406217000096/0001594062-17-000096-index.html,https://www.sec.gov/Archives/edgar/data/1490873/000159406218000193/0001594062-18-000193-index.htm,https://www.sec.gov/Archives/edgar/data/1490873/000159406219000057/0001594062-19-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1490873/000159406220000061/0001594062-20-000061-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,50000,1543,201,287421,5684,13322,6706,244124,2102,1609,2877
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,50000,1543,201,287421,5684,13322,6706,244124,2102,1609,2877
34,Net Receivables,- -,2985,- -,- -,- -,- -,- -,- -,106833,118833,23441
35,Inventory,- -,1050,6480,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,5000,- -,- -,- -,817,38397,28127,32992
37,Total Current Assets,50000,5578,6681,292421,5684,13322,6706,244941,147332,148569,59310
38,PP&E,- -,7002,5699,1668,- -,- -,- -,1634,11273,6164,1741
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
