,https://roic.ai/company/SNES,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,199000,241000,318000,52000,297000,143000,258000,600000
2,COGS,- -,- -,- -,45000,241000,101000,281000,356000
3,Gross Profit,- -,- -,- -,7000,56000,42000,-23000,244000
4,Gross Profit Ratio,- -,- -,- -,0.1346,0.1886,0.2937,-0.0891,0.4067
5,Research and Development Exp.,3196000,7221000,2705000,3191000,2404000,1908000,1494000,1954000
6,General and Administrative Exp.,2700000,8665000,8129000,9132000,9532000,8421000,6440000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2700000,8665000,8129000,9132000,9532000,8421000,6440000,7224000
9,Other Expenses,- -,- -,- -,- -,- -,- -,-24000,- -
10,Operating Expenses,5896000,15886000,10834000,12323000,11936000,10329000,7910000,9178000
11,COGS and Expenses,5896000,15886000,10834000,12368000,12177000,10430000,8191000,9534000
12,Interest Income ,- -,- -,- -,29000,25000,45000,3000,4000
13,Interest Expense (Gain),632000,855000,87000,86000,74000,42000,28000,11000
14,Depreciation and Amortization,125000,182000,196000,391000,447000,413000,288000,303000
15,EBITDA,-6443000,-17136000,-10512000,-11809000,-11387000,-9563000,-7621000,-7954000
16,EBITDA ratio,-32.3769,-71.1037,-33.0566,-227.0962,-38.3401,-66.8741,-29.5388,-13.2567
17,Operating Income,-5697000,-15645000,-10516000,-12316000,-11880000,-10287000,-7933000,-8934000
18,Operating Income ratio,-28.6281,-64.9170,-33.0692,-236.8462,-40.0000,-71.9371,-30.7481,-14.8900
19,Total Other Income Expenses (Gains),-1503000,-2528000,-279000,30000,-28000,269000,-4000,666000
20,Income Before Tax,-7200000,-18173000,-10795000,-12286000,-11908000,-10018000,-7937000,-8268000
21,Income Before Tax Ratio,-36.1809,-75.4066,-33.9465,-236.2692,-40.0943,-70.0559,-30.7636,-13.7800
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-7200000,-18173000,-10795000,-12286000,-11908000,-10018000,-7937000,-8268000
24,Net Income ratio,-36.1809,-75.4066,-33.9465,-236.2692,-40.0943,-70.0559,-30.7636,-13.7800
25,EPS,-20.20,-44.20,-34.20,-22.40,-12.60,-7.69,-2.78,-2.75
26,EPS Diluted,-20.20,-44.20,-34.20,-22.40,-12.60,-7.69,-2.78,-2.75
27,Weighted Average Shares Outstanding,356517,356517,320896,546045,970104,1304045,3006475,3006475
28,Weighted Average Shares Outstanding Diluted,356517,356517,320896,546045,970104,1304045,3006475,3006475
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1680378/000161577418002215/0001615774-18-002215-index.htm,https://www.sec.gov/Archives/edgar/data/1680378/000161577419004827/0001615774-19-004827-index.htm,https://www.sec.gov/Archives/edgar/data/1680378/000121390020006565/0001213900-20-006565-index.htm,https://www.sec.gov/Archives/edgar/data/1680378/000121390021018287/0001213900-21-018287-index.htm,https://www.sec.gov/Archives/edgar/data/1680378/000121390022015848/0001213900-22-015848-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,821000,141000,11826000,2101000,4920000,1936000,3643000,9326000
32,Short-Term Investments,- -,- -,- -,5023000,- -,- -,- -,- -
33,Cash and Short-Term Investments,821000,141000,11826000,7124000,4920000,1936000,3643000,9326000
34,Net Receivables,31000,13000,10000,16000,139000,149000,25000,77000
35,Inventory,- -,- -,57000,540000,1261000,1180000,945000,1001000
36,Other Current Assets,33000,36000,337000,189000,351000,277000,206000,252000
37,Total Current Assets,885000,190000,12230000,7869000,6671000,3542000,4819000,10656000
38,PP&E,635000,613000,631000,1454000,1083000,1437000,1203000,845000
