,https://roic.ai/company/EKSO,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,5327000,8661000,14221000,7353000,11332000,13917000,8882000,11246000
2,COGS,- -,- -,- -,3768000,7482000,11274000,5284000,7023000,7153000,3812000,4497000
3,Gross Profit,- -,- -,- -,1559000,1179000,2947000,2069000,4309000,6764000,5070000,6749000
4,Gross Profit Ratio,- -,- -,- -,0.2927,0.1361,0.2072,0.2814,0.3803,0.4860,0.5708,0.6001
5,Research and Development Exp.,- -,- -,- -,3868000,6480000,8879000,9483000,5847000,4596000,2474000,2748000
6,General and Administrative Exp.,- -,- -,30000,7400000,7002000,10853000,10715000,11700000,7409000,7702000,10524000
7,Selling and Marketing Exp.,- -,- -,- -,7085000,9258000,10997000,13156000,13827000,11398000,7752000,7305000
8,"Selling, General and Administrative Exp.",- -,- -,30000,14485000,16260000,21850000,23871000,25527000,18807000,15454000,17829000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,30000,18353000,22740000,30729000,33354000,31374000,23403000,17928000,20577000
11,COGS and Expenses,- -,- -,30000,22121000,30222000,42003000,38638000,38397000,30556000,21740000,25074000
12,Interest Income ,- -,- -,- -,6000,11000,12000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,435000,13000,16000,648000,600000,384000,139000,113000
14,Depreciation and Amortization,- -,- -,- -,745000,933000,1855000,1732000,1515000,690000,620000,561000
15,EBITDA,- -,- -,-30000,-32589000,-18644000,-21599000,-26742000,-24877000,-11058000,-15066000,-9090000
16,EBITDA ratio,- -,- -,-Infinity,-6.1177,-2.1526,-1.5188,-3.6369,-2.1953,-0.7946,-1.6962,-0.8083
17,Operating Income,- -,- -,-30000,-16794000,-21561000,-27586000,-31612000,-27030000,-16639000,-13291000,-13828000
18,Operating Income ratio,- -,- -,-Infinity,-3.1526,-2.4894,-1.9398,-4.2992,-2.3853,-1.1956,-1.4964,-1.2296
19,Total Other Income Expenses (Gains),- -,- -,- -,-16975000,1971000,4116000,2490000,38000,4507000,-2534000,4064000
20,Income Before Tax,- -,- -,-30000,-33769000,-19590000,-23470000,-29122000,-26992000,-12132000,-15825000,-9764000
21,Income Before Tax Ratio,- -,- -,-Infinity,-6.3392,-2.2619,-1.6504,-3.9606,-2.3819,-0.8717,-1.7817,-0.8682
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,-30000,-33769000,-19590000,-23470000,-29122000,-26992000,-12132000,-15825000,-9764000
24,Net Income ratio,- -,- -,-Infinity,-6.3392,-2.2619,-1.6504,-3.9606,-2.3819,-0.8717,-1.7817,-0.8682
25,EPS,- -,-4.05,-0.01,-34.84,-19.45,-28.05,-12.30,-6.60,-2.55,-2.21,-0.80
