,https://roic.ai/company/LAIX,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , 
1,Revenue,12332000,165561286,637224000,1023213000,972628000
2,COGS,27503000,57690704,174731000,273515000,277240000
3,Gross Profit,-15171000,107870582,462493000,749698000,695388000
4,Gross Profit Ratio,-1.2302,0.6515,0.7258,0.7327,0.7150
5,Research and Development Exp.,30013000,53161512,155154000,213866000,190711000
6,General and Administrative Exp.,8754000,19807191,65423000,153507000,111004000
7,Selling and Marketing Exp.,28534000,283054938,705414000,969401000,801362000
8,"Selling, General and Administrative Exp.",37288000,302862129,770837000,1122908000,912366000
9,Other Expenses,- -,- -,- -,-2390000,-43000
10,Operating Expenses,67301000,356023641,925991000,1334384000,1103034000
11,COGS and Expenses,94804000,413714345,1100722000,1607899000,1380274000
12,Interest Income ,2671000,933854,2732000,11283000,904000
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,550000,1026728,5911000,53888000,58480000
15,EBITDA,-88619000,-236127053,-457995000,-518993000,-334445000
16,EBITDA ratio,-7.1861,-1.4262,-0.7187,-0.5072,-0.3439
17,Operating Income,-82472000,-248153059,-463498000,-584686000,-407646000
18,Operating Income ratio,-6.6876,-1.4989,-0.7274,-0.5714,-0.4191
19,Total Other Income Expenses (Gains),-6697000,10999278,-408000,11805000,14721000
20,Income Before Tax,-89169000,-237153781,-463906000,-572881000,-392925000
21,Income Before Tax Ratio,-7.2307,-1.4324,-0.7280,-0.5599,-0.4040
22,Income Tax expense (Gain),- -,5605847,24160000,1900000,1902000
23,Net Income,-89169000,-242759628,-488066000,-574781000,-394827000
24,Net Income ratio,-7.2307,-1.4663,-0.7659,-0.5617,-0.4059
25,EPS,-2.47,-6.10,-19.17,-11.64,-7.99
26,EPS Diluted,-2.47,-6.10,-19.17,-11.64,-7.99
27,Weighted Average Shares Outstanding,42202231,39801853,26921735,49364429,49430696
28,Weighted Average Shares Outstanding Diluted,42202231,39801853,26921735,49364429,49430696
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,41300884,416483038,344722000,281166000,137996000
32,Short-Term Investments,121336156,35421663,403107000,269643000,91049000
33,Cash and Short-Term Investments,162637040,451904701,747829000,550809000,229045000
34,Net Receivables,1065725,20968606,93100000,56134000,27430000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,1893214,8174404,30855000,39829000,37245000
37,Total Current Assets,165595979,481047711,871784000,646772000,293720000
38,PP&E,1617725,11778589,47247000,227162000,112562000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,15541000,15564000
41,Intangible Assets,- -,- -,1289000,15541000,15564000
42,Investments,- -,- -,5753000,5919000,5711000
43,Tax Assets,- -,- -,16940000,15336000,13547000
44,Other Non-Current Assets,- -,1498394,7370000,8447000,4643000
45,Total Non-Current Assets,1617725,13276983,78599000,272405000,152027000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,167213704,494324694,950383000,919177000,445747000
48,Accounts Payable,11300478,65235616,69558000,137684000,83576000
49,Short-Term Debt,- -,- -,7187000,37009000,31845000
50,Tax Payable,3040921,15762887,58881000,74340000,77327000
51,Deferred Revenue,12768171,115536846,478595000,702041000,694775000
52,Other Current Liabilities,20738179,107726517,175117000,237683000,223692000
