,https://roic.ai/company/WHLRP,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,4504270,4716917,4908797,2433979,8707492,17159252,27734205,44160408,58535000,65709000,63162000,61003000,61310000
2,COGS,1182055,1242849,1515795,- -,- -,- -,- -,- -,- -,- -,19127000,18886000,19618000
3,Gross Profit,3322215,3474068,3393002,2433979,8707492,17159252,27734205,44160408,58535000,65709000,44035000,42117000,41692000
4,Gross Profit Ratio,0.7376,0.7365,0.6912,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6972,0.6904,0.6800
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,321178,1307151,5297166,5373934,9325554,7515813,6863000,7530000,6150000,5714000,6583000
7,Selling and Marketing Exp.,30055,33407,51673,- -,- -,- -,- -,- -,- -,- -,276000,117000,119000
8,"Selling, General and Administrative Exp.",30055,33407,372851,1307151,5297166,5373934,9325554,7515813,6863000,7530000,6426000,5831000,6702000
9,Other Expenses,1527870,1579645,1687436,847152,3573785,8615201,17165960,21452483,29379000,28251000,21525000,17291000,14797000
10,Operating Expenses,1557925,1613052,2060287,2154303,8870951,13989135,26491514,28968296,36242000,35781000,27951000,23122000,21499000
11,COGS and Expenses,2739980,2855901,3576082,2673523,10584908,22091641,40067741,44451544,57993000,61779000,47078000,42008000,41117000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,691937,1443000,4000,2000,- -,34000
13,Interest Expense (Gain),1585282,1762858,1876173,966113,2497810,6813426,9043761,13356111,17165000,20228000,18985000,17092000,33028000
14,Depreciation and Amortization,1380882,1473488,1503978,833713,3466957,8220490,17502786,20666311,26684000,26399000,21319000,17291000,14797000
15,EBITDA,3145173,3334503,2836693,638049,2304513,4483661,9025868,22927316,31892000,30167000,32280000,34628000,38384000
16,EBITDA ratio,0.6983,0.7069,0.5779,0.2621,0.2647,0.2613,0.3254,0.5192,0.5448,0.4591,0.5111,0.5676,0.6261
17,Operating Income,1764290,1861015,1332715,-239544,-1877416,-4932389,-12333536,-291136,542000,6393000,10854000,18418000,19510000
