,https://roic.ai/company/LBTYA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,125246000,139535000,100300000,2355670000,2644284000,5151332000,6487500000,9003300000,10561100000,11080200000,9016900000,9510800000,10310800000,14474200000,18248300000,17062700000,17285000000,15048900000,11957900000,11541500000,11980100000,10311300000
2,COGS,- -,- -,- -,1634293000,1068292000,2185515000,2781900000,3740500000,4112400000,4202100000,3347000000,3379400000,3617500000,5417700000,6810400000,6228700000,3929000000,3449400000,3246100000,3238700000,3437000000,3017600000
3,Gross Profit,- -,- -,- -,721377000,1575992000,2965817000,3705600000,5262800000,6448700000,6878100000,5669900000,6131400000,6693300000,9056500000,11437900000,10834000000,13356000000,11599500000,8711800000,8302800000,8543100000,7293700000
4,Gross Profit Ratio,- -,- -,- -,0.3062,0.5960,0.5757,0.5712,0.5845,0.6106,0.6208,0.6288,0.6447,0.6492,0.6257,0.6268,0.6350,0.7727,0.7708,0.7285,0.7194,0.7131,0.7074
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,8392000000,- -,- -,1936100000,2616500000,3172800000,2973500000,3027700000,2476000000,2049100000,2107800000,1801600000,1751700000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1956000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,424300000,416100000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,10348000000,- -,- -,1936100000,2616500000,3172800000,2973500000,3027700000,2476000000,2049100000,2107800000,2225900000,2167800000
9,Other Expenses,121418000,262158000,- -,2059493000,1860847000,2717386000,3339600000,4596000000,4926800000,-5245500000,4052700000,4237400000,2691100000,9548100000,12310500000,11833800000,7651400000,7068800000,5575400000,5293500000,4100900000,3824600000
10,Operating Expenses,121418000,262158000,- -,2059493000,1860847000,2717386000,3339600000,4596000000,4926800000,5102500000,4052700000,4237400000,4627200000,12164600000,15483300000,14807300000,10679100000,9544800000,7624500000,7401300000,6326800000,5992400000
11,COGS and Expenses,121418000,262158000,- -,3693786000,2929139000,4902901000,6121500000,8336500000,9039200000,9304600000,7399700000,7616800000,8244700000,12164600000,15483300000,14807300000,14608100000,12994200000,10870600000,10640000000,9763800000,9010000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,91800000,50000000,38900000,73200000,42300000,113100000,31700000,33500000,- -,- -,- -,- -,- -,13900000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,1147400000,945700000,1343900000,1455200000,1677400000,2286900000,2544700000,2284100000,2324400000,1889600000,1478700000,1385900000,1188500000,882100000
14,Depreciation and Amortization,- -,- -,- -,1055023000,982623000,1558663000,1966900000,2567400000,2857700000,3046100000,2368600000,2457000000,2691100000,4276400000,5500100000,5609400000,5213800000,4857000000,3858200000,3652200000,2331300000,2353700000
15,EBITDA,-129694000,-820355000,100300000,228283000,933416000,1508415000,2665200000,2377900000,3651000000,3346000000,3875800000,3371200000,4780300000,5954900000,7274800000,7021400000,8152000000,4278000000,7635500000,16812500000,1634900000,17135900000
16,EBITDA ratio,-1.0355,-5.8792,1.0000,0.0969,0.3530,0.2928,0.4108,0.2641,0.3457,0.3020,0.4298,0.3545,0.4636,0.4114,0.3987,0.4115,0.4716,0.2843,0.6385,1.4567,0.1365,1.6619
17,Operating Income,3828000,-122623000,-39100000,-1338116000,-313873000,251184000,352300000,666800000,1363400000,1637000000,1495200000,1818400000,1983100000,2012100000,2228200000,2101100000,2482200000,1947500000,839100000,745500000,2117700000,1320300000
18,Operating Income ratio,0.0306,-0.8788,-0.3898,-0.5680,-0.1187,0.0488,0.0543,0.0741,0.1291,0.1477,0.1658,0.1912,0.1923,0.1390,0.1221,0.1231,0.1436,0.1294,0.0702,0.0646,0.1768,0.1280
19,Total Other Income Expenses (Gains),- -,- -,- -,1097705000,84989000,-200391000,-522500000,-617100000,-1530400000,-1885800000,-2596100000,-2394200000,-2466400000,-2538600000,-3284100000,-2878000000,-1834700000,-3503500000,-677300000,-1901500000,-3841300000,12680500000
20,Income Before Tax,- -,- -,- -,-240411000,-228884000,50793000,-170200000,49700000,-167000000,-248800000,-1100900000,-575800000,-483300000,-526500000,-1055900000,-776900000,647500000,-1556000000,161800000,-1156000000,-1723600000,14000800000
21,Income Before Tax Ratio,- -,- -,- -,-0.1021,-0.0866,0.0099,-0.0262,0.0055,-0.0158,-0.0225,-0.1221,-0.0605,-0.0469,-0.0364,-0.0579,-0.0455,0.0375,-0.1034,0.0135,-0.1002,-0.1439,1.3578
22,Income Tax expense (Gain),- -,- -,- -,101731000,-17449000,29849000,-7900000,233100000,434800000,-233700000,-224900000,231700000,89000000,355500000,-75000000,324300000,-1347000000,309500000,1573300000,253000000,-256900000,473300000
23,Net Income,-129694000,-820355000,- -,-928471000,-31758000,-80097000,706200000,-422600000,-788900000,-412100000,388200000,-772700000,322800000,-963900000,-695000000,-1196400000,1960800000,-2778100000,725300000,11521400000,-1628000000,13426800000
24,Net Income ratio,-1.0355,-5.8792,- -,-0.3941,-0.0120,-0.0155,0.1089,-0.0469,-0.0747,-0.0372,0.0431,-0.0812,0.0313,-0.0666,-0.0381,-0.0701,0.1134,-0.1846,0.0607,0.9983,-0.1359,1.3021
25,EPS,-0.38,-2.39,- -,-5.66,-0.09,-0.17,1.43,-0.99,-0.12,19.22,1.37,-2.60,1.08,-2.55,-0.77,-1.26,2.18,-7.15,-1.97,-2.16,-2.70,-1.94
26,EPS Diluted,-0.38,-2.39,- -,-5.66,-0.09,-0.17,1.43,-0.99,-0.12,19.22,1.37,-2.60,1.08,-2.55,-0.77,-1.26,2.16,-7.15,-1.97,-2.16,-2.70,-1.90
27,Weighted Average Shares Outstanding,343365390,343365390,164182871,164182871,357204139,474161172,493361409,427663442,364371520,304163604,284219003,296649164,300674058,378118397,898543942,952998064,889790968,847894601,778675957,705794546,602083910,551973418
28,Weighted Average Shares Outstanding Diluted,343365390,343365390,164182871,164182871,357204139,474161172,580121242,427663442,364371520,304163604,284219003,296649164,300674058,378118397,898543942,952998064,899969654,847894601,778675957,705794546,602083910,565044476
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1570585/000157058514000029/lgi201310-k.htm,https://www.sec.gov/Archives/edgar/data/1570585/000157058515000014/lg201410-k.htm,https://www.sec.gov/Archives/edgar/data/1570585/000157058516000395/0001570585-16-000395-index.html,https://www.sec.gov/Archives/edgar/data/1570585/000157058517000034/0001570585-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/1570585/000157058518000065/0001570585-18-000065-index.html,https://www.sec.gov/Archives/edgar/data/1570585/000157058519000039/0001570585-19-000039-index.html,https://www.sec.gov/Archives/edgar/data/1570585/000157058520000023/0001570585-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1570585/000157058521000073/0001570585-21-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1570585/000157058522000038/0001570585-22-000038-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,1002623000,2531486000,1202200000,1880500000,2035500000,1374000000,3269600000,3847500000,1651200000,2038900000,2701900000,1158500000,707600000,1076600000,1672400000,1480500000,8142400000,1327200000,910600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,71969000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4782000000,1600200000,2269600000
33,Cash and Short-Term Investments,- -,- -,- -,1002623000,2531486000,1202200000,1880500000,2035500000,1374000000,75238600000,3847500000,1651200000,2038900000,2701900000,1158500000,707600000,1076600000,1672400000,1480500000,12924400000,2927400000,3180200000
34,Net Receivables,- -,- -,- -,444906000,367150000,646780000,836800000,1099400000,1054600000,1016700000,922300000,910500000,1031000000,1588700000,1499500000,1376200000,3721500000,1540400000,1342100000,1404800000,1090700000,907300000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,4100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,1740552000,293947000,413405000,845200000,789700000,801000000,-70977100000,662900000,1213400000,655900000,1192000000,1262500000,843600000,765900000,1118800000,1318800000,-3755900000,831000000,1853000000
37,Total Current Assets,- -,- -,- -,3188081000,3192583000,2262385000,3562500000,3924600000,3233700000,5278200000,5432700000,3775100000,3725800000,5482600000,3920500000,2927400000,5564000000,4331600000,4141400000,10573300000,4849100000,5940500000
38,PP&E,- -,- -,89200000,4118963000,4303099000,7991292000,8136900000,10608500000,12035400000,12010700000,11112300000,12868400000,13437600000,23974900000,23840600000,20840500000,17249300000,19535400000,13878900000,13843400000,8054100000,6981500000
39,Goodwill,- -,- -,- -,- -,- -,- -,9942600000,12626800000,13144700000,13353800000,11734700000,13289300000,13877600000,23748800000,29001600000,26244800000,17063700000,18547400000,13715800000,14052100000,10466700000,9523400000
40,Intangible Assets,- -,- -,- -,2678030000,3280552000,10839879000,1578300000,2688600000,2405000000,2130000000,2095500000,2812500000,2581300000,5795400000,9189800000,6975100000,2423200000,1935400000,1031200000,572100000,2886000000,2342500000
41,Intangible Assets,- -,- -,- -,2678030000,3280552000,10839879000,11520900000,15315400000,15549700000,15483800000,13830200000,16101800000,16458900000,29544200000,38191400000,33219900000,19486900000,20482800000,14747000000,14624200000,13352700000,11865900000
42,Investments,- -,- -,1145400000,- -,- -,- -,- -,- -,979800000,1008600000,1073600000,975200000,950100000,3491200000,1808200000,2839600000,6388700000,6671400000,5121800000,4782000000,5354500000,19703000000
43,Tax Assets,- -,- -,- -,- -,77313000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3157200000,2488200000,2457400000,565100000,- -
44,Other Non-Current Assets,- -,- -,- -,1643774000,2848816000,2284973000,2349000000,2770100000,2187500000,6118600000,1880000000,2688700000,3735300000,5221400000,5081200000,4782900000,5829000000,3418400000,12776300000,2766000000,26917200000,2426100000
45,Total Non-Current Assets,- -,- -,- -,8440767000,10509780000,21116144000,22006800000,28694000000,30752400000,34621700000,27896100000,32634100000,34581900000,62231700000,68921400000,61682900000,48953900000,53265200000,49012200000,38473000000,54243600000,40976500000
46,Other Assets,- -,- -,2800900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
