,https://roic.ai/company/GLNG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,78254000,81792000,113009000,114223000,130600000,132800000,163400000,171000000,239700000,224700000,228800000,216500000,244000000,299800000,410300000,99800000,106155000,102674000,80257000,143537000,430604000,448750000,438637000,451765000
2,COGS,19969000,18249000,20973000,24537000,28100000,32300000,38300000,41800000,54100000,63700000,95000000,100200000,85200000,68900000,96500000,58000000,76910000,125389000,100726000,117238000,202686000,160131000,229483000,237051000
3,Gross Profit,58285000,63543000,92036000,89686000,102500000,100500000,125100000,129200000,185600000,161000000,133800000,116300000,158800000,230900000,313800000,41800000,29245000,-22715000,-20469000,26299000,227918000,288619000,209154000,214714000
4,Gross Profit Ratio,0.7448,0.7769,0.8144,0.7852,0.7848,0.7568,0.7656,0.7556,0.7743,0.7165,0.5848,0.5372,0.6508,0.7702,0.7648,0.4188,0.2755,-0.2212,-0.2550,0.1832,0.5293,0.6432,0.4768,0.4753
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21690000,4990000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,6100000,7100000,8500000,12200000,13700000,18600000,17800000,20000000,22800000,33700000,25000000,23000000,19267000,33526000,45960000,50334000,51542000,52171000,44202000,37808000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,6100000,7100000,8500000,12200000,13700000,18600000,17800000,20000000,22800000,33700000,25000000,23000000,19267000,33526000,45960000,50334000,51542000,52171000,44202000,37808000
9,Other Expenses,39722000,37399000,44203000,39846000,31327000,31185000,40473000,51010000,56779000,60208000,61590000,63440000,65108000,70265000,40000,-48000,5070000,- -,-16000,- -,-36722000,-10333000,-3262000,-5020000
10,Operating Expenses,39722000,37399000,44203000,39846000,37427000,38285000,48973000,63210000,70479000,78808000,79390000,83440000,87908000,103965000,25040000,22952000,24337000,33526000,45944000,50334000,36510000,46828000,40940000,32788000
11,COGS and Expenses,59691000,55648000,65176000,64383000,65500000,70600000,87300000,106400000,124600000,103800000,98300000,185100000,191600000,178800000,203500000,36100000,108271000,154064000,228975000,228994000,316118000,388091000,270423000,269839000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45828000,56182000,4290000,1757000,2819000,3549000,716000,6896000,2969000,7438000,10994000,11721000,5683000,139000
13,Interest Expense (Gain),- -,- -,- -,- -,-22700000,-19900000,-35500000,-51000000,-56600000,-10700000,96489,57874,32654000,25773000,31924000,48500000,14474000,62911000,-61140000,59305000,101908000,103124000,69354000,56329000
14,Depreciation and Amortization,29715000,29464000,37847000,33777000,32272000,32721000,41772000,54026000,56822000,61235000,62005000,63483000,65076000,70286000,85524000,36871000,49811000,73732000,72972000,76522000,93689000,113033000,107923000,105952000
15,EBITDA,16923000,27607000,37421000,38499000,36772000,52821000,62472000,38326000,73222000,159135000,52601489,79840874,99530000,141059000,1091548000,191571000,15154000,-37556000,-175288000,-42371000,-34564000,5225000,-93969000,576706000
16,EBITDA ratio,0.2163,0.3375,0.3311,0.3371,0.2816,0.3977,0.3823,0.2241,0.3055,0.7082,0.2299,0.3688,0.4079,0.4705,2.6604,1.9195,0.1428,-0.3658,-2.1841,-0.2952,-0.0803,0.0116,-0.2142,1.2766
