,https://roic.ai/company/SOTK,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1140000,1160000,2340000,2620000,1690000,2320000,2510000,2940000,2550000,2750000,3110000,3570000,2900000,4797611,4306895,3469409,3157756,3501594,5803586,6871069,6886453,5698602,6408796,7242324,9914312,12052893,9542354,10278938,10849475,11833730,9724553,11008444,11609599,15354619,14832877
2,COGS,300000,380000,580000,610000,590000,830000,1220000,1360000,1480000,1210000,1520000,1740000,1620000,2470615,1750318,1294889,1382676,1505010,2640373,3442501,3424183,3034693,3558356,3568174,5142229,5886667,5010093,5545471,5634365,6195953,5230559,5711951,6361353,8041378,7835837
3,Gross Profit,840000,780000,1760000,2010000,1100000,1490000,1290000,1580000,1070000,1540000,1590000,1830000,1280000,2326996,2556577,2174520,1775080,1996584,3163213,3428568,3462270,2663909,2850440,3674150,4772083,6166226,4532261,4733467,5215110,5637777,4493994,5296493,5248246,7313241,6997040
4,Gross Profit Ratio,0.7368,0.6724,0.7521,0.7672,0.6509,0.6422,0.5139,0.5374,0.4196,0.5600,0.5113,0.5126,0.4414,0.4850,0.5936,0.6268,0.5621,0.5702,0.5450,0.4990,0.5028,0.4675,0.4448,0.5073,0.4813,0.5116,0.4750,0.4605,0.4807,0.4764,0.4621,0.4811,0.4521,0.4763,0.4717
5,Research and Development Exp.,160000,190000,110000,120000,290000,360000,360000,260000,330000,380000,370000,410000,490000,647619,298467,321060,361783,365577,517526,647681,857718,795551,804405,717816,823089,1128729,894481,885101,1015614,1268010,1249591,1280308,1324766,1427543,1644598
6,General and Administrative Exp.,950000,1190000,1080000,1490000,1650000,1520000,1480000,1260000,1180000,990000,1010000,1120000,1210000,2004688,662999,1240298,- -,- -,- -,- -,- -,- -,1122964,1071636,1166690,1377791,1272421,1171835,1195895,1258412,1194679,1118107,1154611,1367073,1222101
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,858323,- -,- -,- -,- -,- -,- -,- -,1840872,1801941,2180268,2398367,2214750,1957960,2153407,2371064,2197991,2516461,2686382,3403133,2789880
8,"Selling, General and Administrative Exp.",950000,1190000,1080000,1490000,1650000,1520000,1480000,1260000,1180000,990000,1010000,1120000,1210000,2004688,1521322,1240298,- -,- -,- -,- -,- -,- -,2963836,2873577,3346958,3776158,3487171,3129795,3349302,3629476,3392670,3634568,3840993,4770206,4011981
9,Other Expenses,- -,- -,- -,10000,-10000,- -,10000,100000,0,- -,- -,- -,350000,121049,- -,- -,1171996,1271503,1810014,1904958,2130791,1970754,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
