,https://roic.ai/company/DBRM,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,629346,366850,201912,471442,1079496,1314124,974680,1802791,3083797,1253686,482656,628652,742857,663512,404901
2,COGS,- -,- -,- -,1570406,981614,158413,269820,172250,220008,133278,216771,329917,268448,163654,253673,211578,236425,247921
3,Gross Profit,- -,- -,- -,-941060,-614764,43499,201622,907246,1094116,841402,1586020,2753880,985238,319002,374979,531279,427087,156980
4,Gross Profit Ratio,- -,- -,- -,-1.4953,-1.6758,0.2154,0.4277,0.8404,0.8326,0.8633,0.8798,0.8930,0.7859,0.6609,0.5965,0.7152,0.6437,0.3877
5,Research and Development Exp.,- -,- -,327469,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,3936868,1729156,2483681,1606874,1494969,1406046,1203310,1264272,1103042,1172206,1068212,981290,875832,703032,505704
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,3936868,1729156,2483681,1606874,1494969,1406046,1203310,1264272,1103042,1172206,1068212,981290,875832,703032,505704
9,Other Expenses,- -,- -,- -,2398048,2333571,1861545,966195,479026,483940,540851,559640,613107,593923,119582,107884,8412,123,83
10,Operating Expenses,- -,- -,- -,6334916,4062727,4345226,2573069,1973995,1889986,1744161,1823912,1716149,1766129,1187794,1089174,884244,703155,505787
11,COGS and Expenses,12821,42059,1996161,7905322,5044341,4503639,2842889,2146245,2109994,1877439,2040683,2046066,2034577,1351448,1342847,1095822,939580,753708
12,Interest Income ,55,- -,- -,- -,- -,7671,13487,2126,652,418,318695,1081214,1039951,81,54,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,2577,9504,162140,637366,551449,1439709,2795369,3355776,2994466,1740773,1846086,478576,237813
14,Depreciation and Amortization,- -,- -,- -,2398048,2333571,624575,550755,307023,- -,- -,- -,- -,- -,- -,- -,- -,- -,60063
15,EBITDA,-16346,-54537,-1996161,-5993982,-1932602,496655,-1699606,-746584,-795218,-1683279,41357,2062426,-849623,-474088,-714141,12018481,-276068,-214389
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-9.5241,-5.2681,2.4598,-3.6051,-0.6916,-0.6051,-1.7270,0.0229,0.6688,-0.6777,-0.9822,-1.1360,16.1787,-0.4161,-0.5295
17,Operating Income,-12821,-42329,-1996161,-7275976,-4677491,-4301727,-2371447,-1066749,-795870,-902759,-277338,1037731,-1889574,-868792,-714195,-352965,-276068,-348807
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-11.5612,-12.7504,-21.3050,-5.0302,-0.9882,-0.6056,-0.9262,-0.1538,0.3365,-1.5072,-1.8000,-1.1361,-0.4751,-0.4161,-0.8615
19,Total Other Income Expenses (Gains),3525,12478,- -,5547,142822,30256,- -,- -,- -,-1331969,-1121014,-1770674,-2315825,-2994385,-1740719,10525360,-478576,-163458
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2234728,-1398352,-732943,-4205399,-3863177,-2454914,10172395,-754644,-512265
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2.2928,-0.7757,-0.2377,-3.3544,-8.0040,-3.9050,13.6936,-1.1373,-1.2652
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-9241,-29271,-2025282,-8392030,-4266173,-130497,-2259865,-1215747,-1432584,-2234728,-1398352,-732943,-4205399,-3468554,-2454914,10172395,-754644,-512265
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-13.3345,-11.6292,-0.6463,-4.7935,-1.1262,-1.0901,-2.2928,-0.7757,-0.2377,-3.3544,-7.1864,-3.9050,13.6936,-1.1373,-1.2652
25,EPS,-0.00,-0.00,-0.09,-0.34,-0.11,-0.01,-0.05,-0.03,-0.03,-0.05,-0.03,-0.02,-0.08,-0.07,-0.05,0.19,-0.02,-0.01
26,EPS Diluted,-0.00,-0.00,-0.09,-0.34,-0.11,-0.01,-0.05,-0.03,-0.03,-0.05,-0.03,-0.02,-0.08,-0.07,-0.05,0.19,-0.02,-0.01
27,Weighted Average Shares Outstanding,17586405,18199419,22709564,37045509,41292659,44731420,47207830,48300733,48789641,48801920,52044497,54126721,51484673,51487373,51523816,51532364,53192364,57916382
28,Weighted Average Shares Outstanding Diluted,17586405,18199419,22709564,37045509,41292659,44731420,47207830,48300733,48789641,48801920,52044497,54126721,51484673,51487373,51523816,53661068,53192364,57916382
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1164256/000120095209000029/0001200952-09-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1164256/000120095209000220/0001200952-09-000220-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000117120010000539/0001171200-10-000539-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000117120011000469/0001171200-11-000469-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597112000171/0001515971-12-000171-index.htm,https://www.sec.gov/Archives/edgar/data/1164256/000151597113000242/0001515971-13-000242-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597114000245/0001515971-14-000245-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597115000192/0001515971-15-000192-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597116000523/0001515971-16-000523-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597117000089/0001515971-17-000089-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597118000074/0001515971-18-000074-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597119000085/0001515971-19-000085-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597120000072/0001515971-20-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1164256/000151597121000051/0001515971-21-000051-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,20141,91,806027,377957,59133,2282810,247951,57380,73392,79996,500431,496772,6995,42003,48535,30078,94043,33528
32,Short-Term Investments,- -,- -,- -,2356213,155445,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,20141,91,806027,2734170,214578,2282810,247951,57380,73392,79996,500431,496772,6995,42003,48535,30078,94043,33528
34,Net Receivables,930,- -,- -,1726569,813697,498513,800855,466019,508609,267825,1613059,1856054,713024,143048,163292,130293,95276,188404
