,https://roic.ai/company/NPTN,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,133989000,155062000,184139000,201029000,245423000,282242000,306177000,339439000,411423000,292894000,322540000,356804000,371163000,290289000
2,COGS,- -,109439000,114572000,128147000,150944000,184163000,217069000,235059000,240358000,294290000,231415000,256367000,267991000,268081000,222701000
3,Gross Profit,- -,24550000,40490000,55992000,50085000,61260000,65173000,71118000,99081000,117133000,61479000,66173000,88813000,103082000,67588000
4,Gross Profit Ratio,- -,0.1832,0.2611,0.3041,0.2491,0.2496,0.2309,0.2323,0.2919,0.2847,0.2099,0.2052,0.2489,0.2777,0.2328
5,Research and Development Exp.,- -,21480000,17266000,21549000,30855000,38288000,45853000,45959000,44533000,57376000,58287000,53818000,57634000,56100000,56486000
6,General and Administrative Exp.,- -,14581000,15448000,16985000,21900000,25808000,30012000,31570000,31635000,34409000,34453000,30403000,29759000,30569000,30464000
7,Selling and Marketing Exp.,- -,10435000,9587000,10176000,11686000,13241000,14242000,13725000,15823000,18595000,17760000,16728000,16088000,15629000,14539000
8,"Selling, General and Administrative Exp.",- -,25016000,25035000,27161000,33586000,39049000,44254000,45295000,47458000,53004000,52213000,47131000,45847000,46198000,45003000
9,Other Expenses,- -,1665000,1136000,1144000,-293000,1316000,1532000,-3411000,1791000,1609000,472000,475000,119000,- -,- -
10,Operating Expenses,- -,48161000,43437000,49854000,64148000,78653000,91639000,87843000,93782000,111989000,110972000,101424000,103600000,102298000,101489000
11,COGS and Expenses,- -,157600000,158009000,178001000,215092000,262816000,308708000,322902000,334140000,406279000,342387000,357791000,371591000,370379000,324190000
12,Interest Income ,- -,448000,345000,207000,407000,592000,348000,189000,121000,303000,198000,397000,376000,182000,409000
13,Interest Expense (Gain),- -,1692000,1046000,724000,422000,568000,996000,1269000,1243000,402000,1362000,2493000,1919000,1182000,969000
14,Depreciation and Amortization,- -,13543000,13574000,12122000,12931000,18716000,20381000,23403000,22875000,22400000,28350000,31105000,32562000,32560000,25629000
15,EBITDA,- -,-14631000,9559000,18319000,-246000,3118000,-11758000,7472000,30890000,26194000,-22712000,-8710000,19038000,30578000,-12413000
16,EBITDA ratio,- -,-0.1092,0.0616,0.0995,-0.0012,0.0127,-0.0417,0.0244,0.0910,0.0637,-0.0775,-0.0270,0.0534,0.0824,-0.0428
17,Operating Income,- -,-29041000,-4180000,6138000,-28466000,-16907000,-33673000,-19132000,3953000,3019000,-51364000,-41658000,-14542000,3566000,-37830000
18,Operating Income ratio,- -,-0.2167,-0.0270,0.0333,-0.1416,-0.0689,-0.1193,-0.0625,0.0116,0.0073,-0.1754,-0.1292,-0.0408,0.0096,-0.1303
19,Total Other Income Expenses (Gains),- -,-812000,-765000,-585000,14231000,599000,538000,1932000,2819000,373000,-1060000,-650000,-901000,-6730000,-1181000
20,Income Before Tax,- -,-29853000,-4945000,5553000,-14235000,-16308000,-33135000,-17200000,6772000,3392000,-52424000,-42308000,-15443000,-3164000,-39011000
21,Income Before Tax Ratio,- -,-0.2228,-0.0319,0.0302,-0.0708,-0.0664,-0.1174,-0.0562,0.0200,0.0082,-0.1790,-0.1312,-0.0433,-0.0085,-0.1344
22,Income Tax expense (Gain),- -,-1812000,1902000,2282000,1155000,1364000,1204000,2519000,3104000,3597000,909000,1329000,1633000,1202000,1708000
23,Net Income,- -,-28054000,-6963000,3191000,-14754000,-17530000,-34339000,-19719000,3668000,-205000,-53333000,-43637000,-17076000,-4366000,-40719000
24,Net Income ratio,- -,-0.2094,-0.0449,0.0173,-0.0734,-0.0714,-0.1217,-0.0644,0.0108,-0.0005,-0.1821,-0.1353,-0.0479,-0.0118,-0.1403
25,EPS,- -,-14.64,-0.51,1.64,-1.42,-0.62,-1.11,-0.61,0.10,-0.00,-1.23,-0.97,-0.36,-0.09,-0.78
26,EPS Diluted,- -,-14.64,-0.51,1.05,-1.42,-0.62,-1.11,-0.61,0.09,-0.00,-1.23,-0.97,-0.36,-0.09,-0.78
27,Weighted Average Shares Outstanding,- -,1945111,13599967,1945111,22359802,28529849,31000325,32109000,37421000,41798000,43431000,45144000,47304000,49474000,52427000
28,Weighted Average Shares Outstanding Diluted,- -,3035786,13599967,3035786,22359802,28529849,31000325,32109000,38686000,41798000,43431000,45144000,47304000,49474000,52427000
