,https://roic.ai/company/DOGZ,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,16094892,21172091,30135295,26216515,19171358,24320121
2,COGS,10536158,12837219,18000708,16786510,16779988,15164908
3,Gross Profit,5558734,8334872,12134587,9430005,2391370,9155213
4,Gross Profit Ratio,0.3454,0.3937,0.4027,0.3597,0.1247,0.3764
5,Research and Development Exp.,193786,208447,580379,673131,1528062,540613
6,General and Administrative Exp.,1088731,1527563,3958355,6015901,5746812,4941036
7,Selling and Marketing Exp.,632859,789444,1654629,2101403,2336229,1815771
8,"Selling, General and Administrative Exp.",1721590,2317007,5612984,8117304,8083041,6756807
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1915376,2525454,6193363,8790435,9611103,7297420
11,COGS and Expenses,12451534,15362673,24194071,25576945,26391091,22462328
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),355252,332249,- -,- -,- -,- -
14,Depreciation and Amortization,837649,830328,1219892,1466522,2642392,3505985
15,EBITDA,5283152,7051538,6748972,3268599,-5634630,5659809
16,EBITDA ratio,0.3283,0.3331,0.2240,0.1247,-0.2939,0.2327
17,Operating Income,3643358,5809418,5941224,639570,-8715467,1857793
18,Operating Income ratio,0.2264,0.2744,0.1972,0.0244,-0.4546,0.0764
19,Total Other Income Expenses (Gains),446893,79543,-412144,1143904,343079,82695
20,Income Before Tax,4090251,5888961,5529080,1783474,-8372388,1940488
21,Income Before Tax Ratio,0.2541,0.2781,0.1835,0.0680,-0.4367,0.0798
22,Income Tax expense (Gain),606810,943197,925372,380296,164537,641460
23,Net Income,3483441,4945764,4603708,1421781,-8441559,1512364
24,Net Income ratio,0.2164,0.2336,0.1528,0.0542,-0.4403,0.0622
25,EPS,0.13,0.19,0.22,0.05,-0.33,0.06
26,EPS Diluted,0.13,0.19,0.22,0.05,-0.33,0.06
27,Weighted Average Shares Outstanding,26000000,26000000,20800670,25913631,25913631,25913631
28,Weighted Average Shares Outstanding Diluted,26000000,26000000,20809950,25941606,25913631,25913631
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1707303/000149315219016141/form20f.htm,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,1384235,1504596,7085235,2550152,1226873,4912442
32,Short-Term Investments,- -,- -,28233035,11073200,3551968,549895
33,Cash and Short-Term Investments,1384235,1504596,35318270,13623352,4778841,5462337
34,Net Receivables,3331160,4001156,5641501,5409144,2476305,2915047
35,Inventory,2057885,2856578,4153583,5362731,2860700,4203163
36,Other Current Assets,217413,307133,1105783,1527397,1511612,1685584
37,Total Current Assets,6990693,8669463,46219137,25922624,11627458,14266131
38,PP&E,6092256,8753040,20950685,35516368,48657410,75046434
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,109304,86014,2390571,6334348,2104803,2223285
41,Intangible Assets,109304,86014,2390571,6334348,2104803,2223285
42,Investments,- -,- -,- -,995131,1046360,1703900
43,Tax Assets,64488,9543,22297,255456,115230,605658
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,6266048,8848597,23363553,43101303,51923803,79579277
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,13256741,17518060,69582690,69023927,63551261,93845408
48,Accounts Payable,1195368,1977994,351375,543158,1010438,1197350
49,Short-Term Debt,6021013,5871973,4835200,2914000,5314716,1672665
