,https://roic.ai/company/APRE,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,13392631,14194732,20950672,37879325,23895875000
6,General and Administrative Exp.,2459744,2294671,8593626,14931887,13550478000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2459744,2294671,8593626,14931887,13550478000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,15852375,16489403,29544298,52811212,37446353000
11,COGS and Expenses,15852375,16489403,29544298,52811212,- -
12,Interest Income ,- -,- -,- -,- -,1648000
13,Interest Expense (Gain),15,182,- -,- -,- -
14,Depreciation and Amortization,7932,8316,170254,229610,- -
15,EBITDA,-16506583,-16481087,-29374044,-51691350,-37127303000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),662125,961134,1484491,-667600,- -
20,Income Before Tax,-15190250,-15528269,-28059807,-53478812,-37127303000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-15190250,-15528269,-28059807,-53478812,-37127303000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-1.08,-1.65,-4.67,-2.53,-1756.79
26,EPS Diluted,-1.08,-1.65,-4.67,-2.53,-1756.79
27,Weighted Average Shares Outstanding,14075669,9428873,6002486,21133651,21133651
28,Weighted Average Shares Outstanding Diluted,14075669,9428873,6002486,21133651,21133651
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1781983/000155837020003257/0001558370-20-003257-index.htm,https://www.sec.gov/Archives/edgar/data/1781983/000155837021003083/0001558370-21-003083-index.htm,https://www.sec.gov/Archives/edgar/data/1781983/000155837022003671/0001558370-22-003671-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,24401488,65675931,130088869,89017686,53076052
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,24401488,65675931,130088869,89017686,53076052
34,Net Receivables,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,329859,322146,2955878,3399019,3508358
37,Total Current Assets,24731347,65998077,133044747,92416705,56584410
38,PP&E,30336,24450,563031,359131,209681
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,121,111,107,29383,29372
45,Total Non-Current Assets,30457,24561,563138,388514,239053
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,24761804,66022638,133607885,92805219,56823463
48,Accounts Payable,1661813,1739337,2176852,4503619,1773032
49,Short-Term Debt,- -,- -,242329,256309,190471
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,2639200,3128772,6642553,10571237,5352996
53,Total Current Liabilities,4301013,4868109,9061734,15331165,7316499
54,Long-Term Debt,- -,- -,- -,78847,- -
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,56225986,112590631,302621,- -,- -
58,Total Non-Current Liabilities,56225986,112590631,302621,78847,- -
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,544950,335156,- -
61,Total Liabilities,60526999,117458740,9364355,15410012,7316499
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,126838,127091,21023,21187,21859
64,Retained Earnings,-46940187,-62468456,-90528263,-144007075,-181134378
65,Other Comprehensive Income/Loss,-8287406,-8761325,-11533778,-10037261,-10358956
66,Other Total Stockholders Equity,19335560,19666588,226284548,231418356,240978439
67,Total Stockholders Equity,-35765195,-51436102,124243530,77395207,49506964
68,Total Liabilities And Stockholders Equity,24761804,66022638,133607885,92805219,56823463
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,24761804,66022638,133607885,92805219,56823463
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1781983/000155837020003257/0001558370-20-003257-index.htm,https://www.sec.gov/Archives/edgar/data/1781983/000155837021003083/0001558370-21-003083-index.htm,https://www.sec.gov/Archives/edgar/data/1781983/000155837022003671/0001558370-22-003671-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-15190250,-15528269,-28059807,-53478812,-37127303000
74,Depreciation and Amortization,7932,8316,170254,229610,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,395440,329184,1345722,4983023,- -
77,Change in Working Capital,1446900,40699634,62853045,-46897473,-27817629
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,327054,214380,437515,2326767,- -
81,Other Working Capital,20430334,61129968,123983013,77085540,49267911
82,Other Non-Cash Items,-662140,-40759099,-63017921,53360980,37155120629
83,Cash Provided by Operating Activities,-14002118,-15250234,-26708707,-41802672,- -
84,CAPEX,- -,-3702,-30901,-25709,- -
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-3702,-30901,-25709,- -
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,86906179,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,23343863,56366742,5669359,150949,- -
95,Cash Used/Provided by Financing Activities,23343863,56366742,92575538,150949,- -
96,Effect of Forex Changes on Cash,1394568,161637,-1422992,606249,- -
97,Net Change In Cash,10736313,41274443,64412938,-41071183,- -
98,Cash at the End of Period,24401488,65675931,130088869,89017686,- -
99,Cash at the Beginning of Period,13665175,24401488,65675931,130088869,89017686
100,Free Cash Flow,-14002118,-15253936,-26739608,-41828381,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1781983/000155837020003257/0001558370-20-003257-index.htm,https://www.sec.gov/Archives/edgar/data/1781983/000155837021003083/0001558370-21-003083-index.htm,https://www.sec.gov/Archives/edgar/data/1781983/000155837022003671/0001558370-22-003671-index.htm
102,false,,,,,
