,https://roic.ai/company/TOUR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,765542735,1112880580,1949687414,3534939179,7645260000,10548273000,2192100000,2240149000,2280987000,450259000
2,COGS,741715590,1073731629,1829665386,3308800795,7274675000,9921304000,1024206000,1065022000,1200012000,237065000
3,Gross Profit,23827145,39148951,120022028,226138384,370585000,626969000,1167894000,1175127000,1080975000,213194000
4,Gross Profit Ratio,0.0311,0.0352,0.0616,0.0640,0.0485,0.0594,0.5328,0.5246,0.4739,0.4735
5,Research and Development Exp.,21386118,33369749,38994362,104881535,298199000,601402000,541126000,315222000,303561000,100514000
6,General and Administrative Exp.,53877340,62005515,69678933,166987647,385442000,658790000,637795000,487372000,749404000,1109340000
7,Selling and Marketing Exp.,50588880,57993819,110070612,434191090,1154155000,1908424000,894148000,778126000,923273000,371984000
8,"Selling, General and Administrative Exp.",104466220,119999334,179749545,601178737,1539597000,2567214000,1531943000,1265498000,1672677000,1481324000
9,Other Expenses,-1651063,-773727,-1688560,-6901814,-12175000,-22323000,-21749000,-56599000,-24419000,-27849000
10,Operating Expenses,124201275,152595356,217055347,699158458,1825621000,3146293000,2051320000,1524121000,1951819000,1553989000
11,COGS and Expenses,865916865,1226326985,2046720733,4007959253,9100296000,13067597000,3075526000,2589143000,3151831000,1791054000
12,Interest Income ,2287309,7431724,16163339,31283593,76516000,87305000,130250000,152929000,156862000,3526000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,34052000,32266000
14,Depreciation and Amortization,6742807,10721378,9246061,11852763,85851000,211573000,215796000,220161000,322572000,223385000
15,EBITDA,-85207057,-96390655,-70386018,-436005088,-1374117000,-2217335000,-541608000,32380000,-341626000,-1058946000
16,EBITDA ratio,-0.1113,-0.0866,-0.0361,-0.1233,-0.1797,-0.2102,-0.2471,0.0145,-0.1498,-2.3519
17,Operating Income,-100374130,-113446405,-97033319,-473020074,-1455036000,-2519324000,-883426000,-348994000,-870844000,-1340795000
18,Operating Income ratio,-0.1311,-0.1019,-0.0498,-0.1338,-0.1903,-0.2388,-0.4030,-0.1558,-0.3818,-2.9778
19,Total Other Income Expenses (Gains),8424266,6334372,17401240,25162223,-7938000,75018000,127735000,149776000,140188000,-10273000
20,Income Before Tax,-91949864,-107112033,-79632079,-447857851,-1462974000,-2444306000,-755691000,-199218000,-730656000,-1351068000
21,Income Before Tax Ratio,-0.1201,-0.0962,-0.0408,-0.1267,-0.1914,-0.2317,-0.3447,-0.0889,-0.3203,-3.0006
22,Income Tax expense (Gain),- -,77890,- -,- -,-589000,-1711000,15625000,153000,949000,-6641000
23,Net Income,-91949864,-107189923,-79632079,-447857851,-1459379000,-2427197000,-773029000,-187934000,-699199000,-1307956000
24,Net Income ratio,-0.1201,-0.0963,-0.0408,-0.1267,-0.1909,-0.2301,-0.3526,-0.0839,-0.3065,-2.9049
25,EPS,-3.79,-3.31,-4.71,-13.14,-17.64,-19.50,-6.12,-1.50,-5.67,-10.59
26,EPS Diluted,-3.79,-3.31,-4.71,-13.14,-17.64,-19.50,-6.12,-1.50,-5.67,-10.59
27,Weighted Average Shares Outstanding,32430432,32430432,32430432,35248771,82787612,124449285,126076680,125914794,123157627,123413347
28,Weighted Average Shares Outstanding Diluted,32430432,32430432,32430432,35248771,82787612,124449285,126076680,125914794,123157627,123413347
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1597095/000114420416096767/v436298_20f.htm,https://www.sec.gov/Archives/edgar/data/1597095/000114420417020584/v462092_20f.htm,https://www.sec.gov/Archives/edgar/data/1597095/000114420418022518/tv488625_20f.htm,https://www.sec.gov/Archives/edgar/data/1597095/000114420419018111/tv516353_20f.htm,https://www.sec.gov/Archives/edgar/data/1597095/000110465920065425/tm206460d1_20f.htm,- -
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,332100808,299237536,419402835,1457722376,2101217000,1085236000,484101000,560356000,295463000,213538000
32,Short-Term Investments,- -,30000000,327000000,468570000,1226415000,4053025000,3115971000,859211000,1305386000,1353670000
