,https://roic.ai/company/PM,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,45288000000,48260000000,22798000000,25705000000,25035000000,27208000000,31097000000,31377000000,31217000000,29767000000,26794000000,26685000000,28748000000,29625000000,29805000000,28694000000,31405000000
2,COGS,- -,32920000000,35619000000,8720000000,9328000000,9022000000,9713000000,10678000000,10373000000,10410000000,10436000000,9365000000,9391000000,10432000000,10758000000,10513000000,9569000000,10030000000
3,Gross Profit,- -,12368000000,12641000000,14078000000,16377000000,16013000000,17495000000,20419000000,21004000000,20807000000,19331000000,17429000000,17294000000,18316000000,18867000000,19292000000,19125000000,21375000000
4,Gross Profit Ratio,- -,0.2731,0.2619,0.6175,0.6371,0.6396,0.6430,0.6566,0.6694,0.6665,0.6494,0.6505,0.6481,0.6371,0.6369,0.6473,0.6665,0.6806
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,6978000000,6890000000,7001000000,6656000000,6405000000,6725000000,7449000000,8784000000,97000000,115000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7384000000,8304000000
8,"Selling, General and Administrative Exp.",- -,4543000000,4574000000,5021000000,6001000000,5870000000,6160000000,6880000000,6978000000,6890000000,7001000000,6656000000,6405000000,6725000000,7449000000,8784000000,7481000000,8419000000
9,Other Expenses,- -,90000000,-301000000,28000000,44000000,74000000,88000000,98000000,97000000,93000000,93000000,82000000,74000000,88000000,82000000,66000000,73000000,96000000
10,Operating Expenses,- -,4633000000,4273000000,5049000000,6045000000,5944000000,6248000000,6978000000,7075000000,6983000000,7094000000,6738000000,6479000000,6813000000,7531000000,8850000000,7554000000,8515000000
11,COGS and Expenses,- -,37553000000,39892000000,13769000000,15373000000,14966000000,15961000000,17656000000,17448000000,17393000000,17530000000,16103000000,15870000000,17245000000,18289000000,19363000000,17123000000,18545000000
12,Interest Income ,- -,- -,- -,- -,217000000,- -,98000000,134000000,148000000,131000000,118000000,124000000,178000000,182000000,190000000,226000000,110000000,109000000
13,Interest Expense (Gain),- -,- -,- -,- -,528000000,797000000,974000000,934000000,1007000000,1104000000,1170000000,1132000000,1069000000,1096000000,855000000,796000000,728000000,737000000
14,Depreciation and Amortization,- -,527000000,658000000,748000000,842000000,853000000,932000000,993000000,898000000,882000000,889000000,754000000,743000000,875000000,989000000,964000000,981000000,998000000
15,EBITDA,- -,7982000000,8633000000,9338000000,11047000000,10683000000,11991000000,14171000000,14538000000,14232000000,12649000000,11447000000,11547000000,12313000000,12200000000,11238000000,12142000000,13515000000
16,EBITDA ratio,- -,0.1762,0.1789,0.4096,0.4298,0.4267,0.4407,0.4557,0.4633,0.4559,0.4249,0.4272,0.4327,0.4283,0.4118,0.3771,0.4232,0.4303
17,Operating Income,- -,7735000000,8368000000,8873000000,10248000000,10040000000,11200000000,13332000000,13846000000,13515000000,11702000000,10623000000,10815000000,11503000000,11377000000,10531000000,11668000000,12975000000
18,Operating Income ratio,- -,0.1708,0.1734,0.3892,0.3987,0.4010,0.4116,0.4287,0.4413,0.4329,0.3931,0.3965,0.4053,0.4001,0.3840,0.3533,0.4066,0.4132
19,Total Other Income Expenses (Gains),- -,-94000000,-142000000,-10000000,-311000000,-797000000,-876000000,-800000000,-859000000,-973000000,-1052000000,-1008000000,-891000000,-914000000,-706000000,-659000000,-715000000,-743000000
