,https://roic.ai/company/VET,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2100000,9300000,53700000,55700000,108400000,234653000,274899000,287540000,315572000,354525000,529938000,618072000,707334000,1001905000,639751000,727805000,1031570000,1083103000,1273835000,1419628000,939586000,882791000,1098838000,1678117000,1911137000,1247398000,2226852000
2,COGS,500000,1500000,14100000,19300000,20000000,25201000,33213000,42976000,53493000,65782000,169993000,199208000,239961000,274366000,256177000,254802000,242158000,348027000,390322000,533694000,524678000,582286000,566159000,761223000,1060117000,814868000,904901000
3,Gross Profit,1600000,7800000,39600000,36400000,88400000,209452000,241686000,244564000,262079000,288743000,359945000,418864000,467373000,727539000,383574000,473003000,789412000,735076000,883513000,885934000,414908000,300505000,532679000,916894000,851020000,432530000,1321951000
4,Gross Profit Ratio,0.7619,0.8387,0.7374,0.6535,0.8155,0.8926,0.8792,0.8505,0.8305,0.8145,0.6792,0.6777,0.6608,0.7262,0.5996,0.6499,0.7653,0.6787,0.6936,0.6241,0.4416,0.3404,0.4848,0.5464,0.4453,0.3467,0.5936
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49388000,71012000,83250000,114990000,139679000,171890000,170476000,161575000,159400000,164562000,195655000,171457000,171603000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49388000,71012000,83250000,114990000,139679000,171890000,170476000,161575000,159400000,164562000,195655000,171457000,171603000
9,Other Expenses,900000,2500000,10700000,18000000,25400000,38414000,61079000,104980000,108090000,108689000,149339000,202476000,244108000,322243000,196285000,271556000,258597000,201482000,219608000,256220000,249849000,246968000,269238000,388233000,472745000,452569000,456565000
10,Operating Expenses,900000,2500000,10700000,18000000,25400000,38414000,61079000,104980000,108090000,108689000,149339000,202476000,244108000,322243000,245673000,342568000,341847000,316472000,359287000,428110000,420325000,408543000,428638000,552795000,668400000,624026000,628168000
11,COGS and Expenses,1400000,4000000,24800000,37300000,45400000,63615000,94292000,147956000,161583000,174471000,319332000,401684000,484069000,596609000,501850000,597370000,584005000,664499000,749609000,961804000,945003000,990829000,994797000,1314018000,1728517000,1438894000,1533069000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13268000,13370000,24967000,27586000,38183000,49655000,59852000,56957000,57313000,72759000,81377000,75077000,73075000
14,Depreciation and Amortization,600000,1800000,7400000,13500000,20300000,31797000,53932000,95450000,95988000,104988000,126816000,162254000,211397000,255473000,248726000,271556000,236708000,295943000,322386000,425694000,458758000,528002000,491683000,609056000,675177000,580461000,571688000
15,EBITDA,1100000,5200000,26700000,18700000,53900000,139503000,163812000,168019000,134297000,214763000,298244000,335704000,400391000,572469000,445958000,413507000,577380000,676773000,941746000,928421000,304695000,361731000,673478000,1036513000,897679000,-1221861000,2026656000
16,EBITDA ratio,0.5238,0.5591,0.4972,0.3357,0.4972,0.5945,0.5959,0.5843,0.4256,0.6058,0.5628,0.5431,0.5661,0.5714,0.6971,0.5682,0.5597,0.6248,0.7393,0.6540,0.3243,0.4098,0.6129,0.6177,0.4697,-0.9795,0.9101
17,Operating Income,- -,- -,- -,- -,- -,171038000,- -,- -,153989000,- -,210606000,216388000,- -,- -,- -,- -,- -,- -,548791000,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,0.7289,- -,- -,0.4880,- -,0.3974,0.3501,- -,- -,- -,- -,- -,- -,0.4308,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-200000,-1900000,-9600000,-13200000,-29400000,-63332000,-70264000,-67015000,-115680000,-132980000,-26201000,-28081000,-16704000,-66225000,-13268000,6387000,-131860000,-65360000,32386000,-4752000,-208498000,-115190000,20441000,-9401000,-41495000,-1685903000,688110000
20,Income Before Tax,500000,3400000,19300000,5200000,33600000,107706000,110343000,72569000,38309000,47074000,184405000,188307000,206561000,339071000,124633000,136822000,315705000,353244000,581177000,453072000,-213915000,-223228000,124482000,354698000,141125000,-1877399000,1381893000
21,Income Before Tax Ratio,0.2381,0.3656,0.3594,0.0934,0.3100,0.4590,0.4014,0.2524,0.1214,0.1328,0.3480,0.3047,0.2920,0.3384,0.1948,0.1880,0.3060,0.3261,0.4562,0.3191,-0.2277,-0.2529,0.1133,0.2114,0.0738,-1.5051,0.6206
22,Income Tax expense (Gain),300000,1500000,7900000,1800000,13600000,46257000,44137000,31247000,-18433000,-3925000,12957000,26527000,24708000,87807000,-1534000,17318000,172884000,162622000,253536000,183746000,3387000,-63177000,62224000,83048000,108326000,-359972000,233197000
23,Net Income,200000,1900000,11400000,3400000,20000000,61449000,65743000,41322000,56742000,113700000,158471000,146923000,164286000,229189000,185498000,111263000,142821000,190622000,327641000,269326000,-217302000,-160051000,62258000,271650000,32799000,-1517427000,1148696000
24,Net Income ratio,0.0952,0.2043,0.2123,0.0610,0.1845,0.2619,0.2392,0.1437,0.1798,0.3207,0.2990,0.2377,0.2323,0.2288,0.2900,0.1529,0.1385,0.1760,0.2572,0.1897,-0.2313,-0.1813,0.0567,0.1619,0.0172,-1.2165,0.5158
25,EPS,0.02,0.09,0.30,0.07,0.40,1.17,1.21,0.74,0.97,1.81,2.57,2.30,2.48,3.30,2.56,1.34,1.57,1.94,3.24,2.55,-1.98,-1.38,0.52,1.93,0.21,-9.61,7.27
