,https://roic.ai/company/REI,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,8269,2624,1757444,10315701,38089443,31013892,30850248,66699700,120065361,195702831,113025138,196305966
2,COGS,- -,- -,- -,- -,- -,- -,9892,600,1375740,3968584,18561166,26602244,22855734,39648704,72457968,114756090,86403995,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,-1623,2024,381704,6347117,19528277,4411648,7994514,27050996,47607393,80946741,26621143,196305966
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,-0.1963,0.7713,0.2172,0.6153,0.5127,0.1422,0.2591,0.4056,0.3965,0.4136,0.2355,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,109177,123760,117958,54424,323008,2392645,6682760,6803029,7995395,8027077,10515887,12867686,19866706,16874050,16068105
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,109177,123760,117958,54424,323008,2392645,6682760,6803029,7995395,8027077,10515887,12867686,19866706,16874050,16068105
9,Other Expenses,- -,- -,- -,5953,- -,5039,2925,5470,20906,53681,154973,418384,487182,567968,606459,943707,906616,84481013
10,Operating Expenses,- -,- -,- -,115130,123760,122997,57349,328478,2413551,6736441,6958002,8413779,8514259,11083855,13474145,20810413,17780666,100549118
11,COGS and Expenses,- -,- -,28094,115130,123760,- -,67241,329078,3789291,10705025,25519168,35016023,31369993,50732559,85932113,135566503,104184661,100549118
12,Interest Income ,- -,- -,- -,- -,484,30802,3208,6206,4309,24706,85964,6984,56498,291083,97855,13511,8,1
13,Interest Expense (Gain),- -,- -,173,4034,1455,- -,- -,- -,218805,9890,- -,749134,649009,- -,427898,13865556,17617614,-14490474
14,Depreciation and Amortization,- -,- -,- -,- -,- -,1099,1199,1199,- -,- -,- -,- -,- -,- -,- -,- -,43010660,37167967
15,EBITDA,- -,- -,-28094,-107213,-124413,-91096,-77220,-319049,-1750802,-364618,12656239,-13307350,-56976263,12170040,12873379,57149761,-198784730,26090727
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-9.3385,-121.5888,-0.9962,-0.0353,0.3323,-0.4291,-1.8469,0.1825,0.1072,0.2920,-1.7588,0.1329
17,Operating Income,- -,- -,-28094,-115130,-123760,-122997,-58972,-326454,-2031847,-389324,12570275,-13314334,-57032761,15967141,19960939,60136328,-268661466,95756848
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-7.1317,-124.4108,-1.1561,-0.0377,0.3300,-0.4293,-1.8487,0.2394,0.1663,0.3073,-2.3770,0.4878
19,Total Other Income Expenses (Gains),- -,- -,- -,-7917,653,-211058,-19447,- -,62240,14816,85964,-742150,-592511,-3797101,-7515458,-16852123,9248462,-92343614
20,Income Before Tax,- -,- -,- -,- -,- -,-334055,-78419,- -,-1969607,-374508,12656239,-14056484,-57625272,12170040,12445481,43284205,-259413004,3413234
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-Infinity,-9.4835,- -,-1.1207,-0.0363,0.3323,-0.4532,-1.8679,0.1825,0.1037,0.2212,-2.2952,0.0174
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-300324,77701,4235739,-5003713,-19987585,10416171,3445721,13787654,-6001176,90342
23,Net Income,- -,- -,-28267,-127081,-124078,-334055,-78419,-320248,-1669283,-452209,8420500,-9052771,-37637687,1753869,8999760,29496551,-253411828,3322892
24,Net Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-9.4835,-122.0457,-0.9498,-0.0438,0.2211,-0.2919,-1.2200,0.0263,0.0750,0.1507,-2.2421,0.0169
25,EPS,- -,- -,-0.01,-0.04,-0.04,-0.09,-0.02,-0.09,-0.21,-0.03,0.34,-0.32,-0.97,0.03,0.15,0.44,-3.48,0.03
26,EPS Diluted,- -,- -,-0.01,-0.04,-0.04,-0.09,-0.02,-0.09,-0.21,-0.03,0.33,-0.32,-0.97,0.03,0.15,0.44,-3.48,0.03
27,Weighted Average Shares Outstanding,- -,- -,2104721,3041250,3224310,3547664,3548200,3576988,8073176,16376911,24739795,28176924,38710626,51383008,59531200,66571738,72891310,99387028
28,Weighted Average Shares Outstanding Diluted,- -,- -,2104721,3041250,3224310,3547664,3548200,3576988,8073176,16376911,25890285,28176924,38710626,52806712,60848177,66757028,72891310,121193175
