,https://roic.ai/company/DORM,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86000,-356000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-99000000,-13000000
91,Common Stock Issued,- -,- -,11500000,- -,11900000,100000,200000,300000,300000,200000,400000,332000,394000,73000,491000,76000,93000,159000,123000,129000,- -,- -,953000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-829000,-1079000,-1178000,-872000,-1290000,-1586000,-1943000,-3489000,-43521000,-37324000,-24678000,-76129000,-45352000,-41339000,-38676000,-62649000
93,Dividends Paid,- -,- -,-3700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54716000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-4000000,-4700000,300000,-1000000,-200000,41400000,10200000,-11400000,27000000,14100000,-29423000,-5883000,-11483000,-9725000,-9071000,1029000,-6567000,-11516000,-2111000,-14384000,2095000,629000,3269000,1378000,806000,88000,-145000,-1142000,-1586000,488000,103191000,243884000
95,Cash Used/Provided by Financing Activities,- -,-4000000,3100000,300000,10900000,-100000,41600000,10500000,-11100000,27200000,14500000,-29091000,-5489000,-11410000,-9234000,-8995000,1122000,-7237000,-12472000,-3160000,-15342000,449000,-4000,-53390000,-2111000,-42715000,-37236000,-24823000,-77271000,-46938000,-40851000,-34485000,168235000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1268000,391000,125000,-224000,69000,- -,- -,- -,- -,37000,-261000,- -,- -,-44000
97,Net Change In Cash,- -,-4000000,3100000,300000,10900000,-100000,41600000,10500000,-11100000,27200000,600000,6086000,14136000,-16520000,10008000,-8025000,-4208000,2136000,1838000,-1094000,4802000,19837000,19733000,-22488000,32885000,-12937000,31003000,70462000,-77430000,-28233000,24895000,87223000,-96794000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,7553000,21689000,5169000,15177000,7152000,2944000,5080000,6918000,5824000,10626000,30463000,50196000,27708000,60593000,47656000,78659000,149121000,71691000,43458000,68353000,155576000,58782000
99,Cash at the Beginning of Period,- -,- -,- -,700000,- -,4100000,400000,1200000,900000,1600000,900000,1467000,7553000,21689000,5169000,15177000,7152000,2944000,5080000,6918000,5824000,10626000,30463000,50196000,27708000,60593000,47656000,78659000,149121000,71691000,43458000,68353000,155576000
100,Free Cash Flow,- -,4000000,-2500000,-1000000,-5100000,-4400000,400000,-5700000,11800000,-32200000,-13900000,35177000,19625000,1518000,15145000,-8935000,-3650000,9373000,17702000,2415000,19753000,19263000,19961000,30833000,36893000,29778000,70372000,101480000,69791000,52006000,65746000,136516000,80498000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/868780/000114036108006048/form10k.htm,https://www.sec.gov/Archives/edgar/data/868780/000114036109006256/0001140361-09-006256-index.html,https://www.sec.gov/Archives/edgar/data/868780/000114036110010284/0001140361-10-010284-index.html,https://www.sec.gov/Archives/edgar/data/868780/000119312511054883/d10k.htm,https://www.sec.gov/Archives/edgar/data/868780/000119312512093860/0001193125-12-093860-index.html,https://www.sec.gov/Archives/edgar/data/868780/000119312513086770/0001193125-13-086770-index.html,https://www.sec.gov/Archives/edgar/data/868780/000119312514066393/d650337d10k.htm,https://www.sec.gov/Archives/edgar/data/868780/000119312515061893/d845977d10k.htm,https://www.sec.gov/Archives/edgar/data/868780/000119312516473016/0001193125-16-473016-index.html,https://www.sec.gov/Archives/edgar/data/868780/000119312517058492/0001193125-17-058492-index.html,https://www.sec.gov/Archives/edgar/data/868780/000156459018003466/0001564590-18-003466-index.html,https://www.sec.gov/Archives/edgar/data/868780/000156459019004498/0001564590-19-004498-index.html,https://www.sec.gov/Archives/edgar/data/868780/000156459020006734/0001564590-20-006734-index.html,https://www.sec.gov/Archives/edgar/data/868780/000156459021007175/0001564590-21-007175-index.htm,https://www.sec.gov/Archives/edgar/data/868780/000156459022005966/0001564590-22-005966-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
