,https://roic.ai/company/HCMC,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,11920578,14275416,11421114,9458640,- -,- -,- -,- -,- -,7957247,10917101,15982097,21352691,25990228,15279859,10750033,10565163,12961095,14647040,15114006,13920745,13319854
2,COGS,10890435,13644509,10993806,8880368,- -,- -,- -,- -,- -,3039301,6058297,6732335,13225008,16300333,14497254,8014643,5331810,6682314,7482153,8629762,8143524,8027300
3,Gross Profit,1030143,630907,427308,578272,- -,- -,- -,- -,- -,4917946,4858804,9249762,8127683,9689895,782605,2735390,5233353,6278781,7164887,6484244,5777221,5292554
4,Gross Profit Ratio,0.0864,0.0442,0.0374,0.0611,- -,- -,- -,- -,- -,0.6180,0.4451,0.5788,0.3806,0.3728,0.0512,0.2545,0.4953,0.4844,0.4892,0.4290,0.4150,0.3973
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,81279,- -,- -,4157638,6865633,6464969,11126759,15744130,10048135,16444944,9952858,10250784,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3961946,3559616,2264807,2374329,336342,92124,110694,193955,166430,- -,- -
8,"Selling, General and Administrative Exp.",891629,890546,725123,763763,84978,142709,166871,412885,81279,4381215,4958492,8119584,10425249,8729776,13501088,16080472,10140259,16555638,10146813,10417214,8844947,10033048
9,Other Expenses,96939,- -,- -,- -,- -,1200,1200,136200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,988568,890546,725123,763763,84978,143909,168071,549085,81279,4381215,4958492,8119584,10425249,8729776,13501088,16080472,10140259,16555638,10146813,10417214,8844947,10033048
11,COGS and Expenses,11879003,14535055,11718929,9644131,84978,143909,168071,549085,81279,7420516,11016789,14851919,23650257,25030109,27998342,24095115,15472069,23237952,17628966,19046976,16988471,18060348
12,Interest Income ,- -,70694,62564,54869,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19323,45723,33774,108067,108374,- -,- -
13,Interest Expense (Gain),- -,175116,160016,176626,- -,19636,19650,19650,19650,- -,- -,- -,89347,383981,348975,188901,15386,3722,8915,171225,272651,65281
14,Depreciation and Amortization,96939,96558,94594,94431,- -,- -,- -,- -,- -,- -,- -,5144,11451,11284,56435,462103,374388,350647,375690,920148,1134496,497408
15,EBITDA,-79127,209696,-203221,81256,-84978,-143909,-168071,-549085,-81279,536731,-99688,1135322,-2286115,671826,-12679506,2451757,11074266,-9507559,-12778656,-1708003,-2315245,-3474770
16,EBITDA ratio,-0.0066,0.0147,-0.0178,0.0086,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.0675,-0.0091,0.0710,-0.1071,0.0258,-0.8298,0.2281,1.0482,-0.7335,-0.8724,-0.1130,-0.1663,-0.2609
17,Operating Income,41575,-259639,-297815,-185491,-101416,-143909,-168071,-549085,-81279,536731,-99688,1130178,-2297566,960119,-12718483,-28748915,-8862268,-10276857,-2981926,-4414284,-3448372,-4740494
18,Operating Income ratio,0.0035,-0.0182,-0.0261,-0.0196,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.0675,-0.0091,0.0707,-0.1076,0.0369,-0.8324,-2.6743,-0.8388,-0.7929,-0.2036,-0.2921,-0.2477,-0.3559
19,Total Other Income Expenses (Gains),-217641,197661,-160016,-4310,- -,-19636,-19650,-19650,-19650,- -,- -,- -,-89347,-683558,-366433,30549668,21136563,133446,-10181335,1614908,-274020,703035
20,Income Before Tax,-176066,-61978,-457831,-189801,-101416,-163545,-187721,-568735,-100929,536731,-99688,1130178,-2386913,276561,-13084916,1800753,12274295,-10143411,-13163261,-2799376,-3722392,-4037459
21,Income Before Tax Ratio,-0.0148,-0.0043,-0.0401,-0.0201,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.0675,-0.0091,0.0707,-0.1118,0.0106,-0.8564,0.1675,1.1618,-0.7826,-0.8987,-0.1852,-0.2674,-0.3031
22,Income Tax expense (Gain),-59185,-4245,-147675,376167,- -,- -,- -,- -,- -,202000,1000,416840,-465941,-524791,767333,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-116881,-57733,-310156,-565968,-455720,-163545,-187721,-568735,-100929,334731,-100688,713338,-1920972,801352,-13852249,1800753,10684492,-9861928,-13163261,-2799376,-3722392,-4037459
24,Net Income ratio,-0.0098,-0.0040,-0.0272,-0.0598,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.0421,-0.0092,0.0446,-0.0900,0.0308,-0.9066,0.1675,1.0113,-0.7609,-0.8987,-0.1852,-0.2674,-0.3031
25,EPS,-16697.29,-8247.57,-44308.00,-80852.57,-65102.86,-23363.57,-26817.29,-81247.86,-14418.43,47818.71,-14384.00,101905.43,-274424.57,114478.86,-1978892.71,-5181038.29,0.00,-0.00,-0.00,-0.00,-0.00,-0.00
26,EPS Diluted,-16697.29,-8247.57,-44308.00,-80852.57,-65102.86,-23363.57,-26817.29,-81247.86,-14418.43,47818.71,-14384.00,101905.43,-274424.57,114478.86,-1978892.71,-5181038.29,0.00,-0.00,-0.00,-0.00,-0.00,-0.00
27,Weighted Average Shares Outstanding,7,7,7,7,339742000000,339742000000,339742000000,339742000000,339742000000,339742000000,339742026666,339742026666,339742000000,339742016000,339742016000,7,4102959032,26199887696,42696521421,66977667455,90351540618,90351540618
28,Weighted Average Shares Outstanding Diluted,7,7,7,7,339742000000,339742000000,339742000000,339742000000,339742000000,339742000000,339742026666,339742026666,339742000000,339742016000,339742016000,7,640656219521,26199887696,42696521421,66977667455,90351540618,90351540618
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/844856/000119312512134703/0001193125-12-134703-index.html,https://www.sec.gov/Archives/edgar/data/844856/000119312513134687/0001193125-13-134687-index.html,https://www.sec.gov/Archives/edgar/data/844856/000119312514069730/0001193125-14-069730-index.htm,https://www.sec.gov/Archives/edgar/data/844856/000149315215001079/0001493152-15-001079-index.htm,https://www.sec.gov/Archives/edgar/data/844856/000157104916013764/0001571049-16-013764-index.htm,https://www.sec.gov/Archives/edgar/data/844856/000157104917002865/0001571049-17-002865-index.html,https://www.sec.gov/Archives/edgar/data/844856/000121390018002977/0001213900-18-002977-index.html,https://www.sec.gov/Archives/edgar/data/844856/000121390019004953/0001213900-19-004953-index.html,https://www.sec.gov/Archives/edgar/data/844856/000084485620000011/form10k.htm,https://www.sec.gov/Archives/edgar/data/844856/000084485621000019/0000844856-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/844856/000084485622000019/0000844856-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,321670,340,281,230,94,- -,841,65734,356485,176409,6570215,471194,27214991,13366272,7883191,7061253,3525415,925475,26496404
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90857,24000,22731,23143
33,Cash and Short-Term Investments,- -,- -,- -,321670,340,281,230,94,- -,841,65734,356485,176409,6570215,471194,27214991,13366272,7883191,7152110,3549415,948206,26519547
34,Net Receivables,- -,- -,- -,2026655,- -,- -,- -,- -,- -,361623,803876,1286168,1827871,2008755,818715,382648,56070,103978,84351,65401,23675,28481
35,Inventory,- -,- -,- -,805450,- -,- -,- -,- -,- -,827412,924809,2234834,1670007,3321898,2048883,1529806,748551,861650,1864619,1757012,1749246,1521199
36,Other Current Assets,- -,- -,- -,28583,- -,- -,- -,- -,- -,169424,4713,782697,687990,1967538,786312,438925,146132,104991,402578,269833,286065,704312
37,Total Current Assets,- -,- -,- -,3182358,340,281,230,94,- -,1359300,1799132,4660184,4362277,13868406,4125104,29566370,14317025,8953810,9503658,5641661,3007192,28773539
38,PP&E,- -,- -,- -,837851,- -,- -,- -,- -,- -,- -,- -,27323,25190,28685,712019,410277,638926,589506,497039,4995309,4309340,3720918
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3177017,481314,481314,1437314,956000,916000,916000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,929000,1669329,1559531,3062205,1923447,1248352,947593
