,https://roic.ai/company/SBFM,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,1708,- -,- -,447200,21121,71410,228426
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,391081,11050,25847,117830
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,1708,- -,- -,56119,10071,45563,110596
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -,- -,0.1255,0.4768,0.6380,0.4842
5,Research and Development Exp.,- -,- -,- -,- -,- -,142650,1829,137400,327000,8657,32793,- -,12800,15204,60948,- -
6,General and Administrative Exp.,- -,- -,24079,- -,537382,413552,704851,1798677,1323114,769077,899584,850561,1207448,622729,547423,2550730
7,Selling and Marketing Exp.,- -,- -,2000,- -,- -,- -,- -,- -,105000,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,26079,- -,537382,413552,704851,1798677,1428114,769077,899584,850561,1207448,622729,547423,2550730
9,Other Expenses,- -,13122,- -,- -,- -,- -,- -,- -,- -,4251,60731,6629,2408,13774,14066,- -
10,Operating Expenses,- -,13122,26079,- -,537382,556202,706680,1936077,1755114,781985,993108,857190,1222656,651707,622437,2550730
11,COGS and Expenses,- -,13122,26079,- -,537382,556202,706680,1936077,1755114,781985,993108,857190,1613737,662757,648284,2668560
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,5026,- -,- -,- -,1272,6455,179096,307211,34732,104829,159420,115901,168105,-328818
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,4251,60731,6629,49361,13774,14066,12741
15,EBITDA,- -,-13122,-26079,- -,-537382,-556202,-706680,-1936077,-1755114,-1341446,-932377,-850561,-1947374,-1530616,-2601920,-12752524
16,EBITDA ratio,- -,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-785.3899,-Infinity,-Infinity,-4.3546,-72.4689,-36.4364,-55.8278
17,Operating Income,- -,-13122,-26079,- -,-537382,-556202,-706680,-1936077,-1755114,-780277,-993108,-857190,-1166537,-641636,-576874,-2440134
18,Operating Income ratio,- -,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-456.8367,-Infinity,-Infinity,-2.6085,-30.3791,-8.0783,-10.6824
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,-1272,-555406,-179096,-872631,-2503579,-183046,-989618,-436418,-2207217,-9996313
20,Income Before Tax,- -,- -,- -,- -,-537382,- -,-707952,-2491483,-1934210,-1652908,-3496687,-1040236,-2156155,-1078054,-2784091,-12436447
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,- -,-Infinity,-Infinity,-Infinity,-967.7447,-Infinity,-Infinity,-4.8215,-51.0418,-38.9874,-54.4441
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-13122,-31105,- -,-537382,-556202,-707952,-2491483,-1934210,-1652908,-3496687,-1040236,-2156155,-1660291,-2784091,-12436447
24,Net Income ratio,- -,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-967.7447,-Infinity,-Infinity,-4.8215,-78.6085,-38.9874,-54.4441
25,EPS,- -,-112.15,-265.85,- -,-1403.09,-913.30,-1102.73,-3308.74,-2104.69,-800.00,-800.00,-95.36,-160.00,-30.00,-2.00,-0.06
26,EPS Diluted,- -,-112.15,-265.85,- -,-1403.09,-913.30,-1102.73,-3308.74,-2104.69,-800.00,-800.00,-95.36,-160.00,-30.00,-2.00,-0.06
27,Weighted Average Shares Outstanding,- -,117,117,23470,383,609,642,753,919,1528,5310,10908,15234,54664,1020481,204096338
28,Weighted Average Shares Outstanding Diluted,- -,117,117,23470,383,609,642,753,919,1528,5310,10908,15234,54664,1020481,204096338
29,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1402328/000135448812001221/0001354488-12-001221-index.html,https://www.sec.gov/Archives/edgar/data/1402328/000135448813001224/0001354488-13-001224-index.html,https://www.sec.gov/Archives/edgar/data/1402328/000135448814001275/0001354488-14-001275-index.htm,https://www.sec.gov/Archives/edgar/data/1402328/000135448815001081/0001354488-15-001081-index.htm,https://www.sec.gov/Archives/edgar/data/1402328/000135448816006700/0001354488-16-006700-index.html,- -,https://www.sec.gov/Archives/edgar/data/1402328/000165495418003495/0001654954-18-003495-index.html,https://www.sec.gov/Archives/edgar/data/1402328/000165495419004354/0001654954-19-004354-index.htm,https://www.sec.gov/Archives/edgar/data/1402328/000165495420004731/0001654954-20-004731-index.htm,https://www.sec.gov/Archives/edgar/data/1402328/000165495421003507/0001654954-21-003507-index.htm,https://www.sec.gov/Archives/edgar/data/1402328/000168316822001788/0001683168-22-001788-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,14895,4362,112116,162391,60692,132638,31240,143423,50798,57453,107532,115216,40501,989888,2045167
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,14895,4362,112116,162391,60692,132638,31240,143423,50798,57453,107532,115216,40501,989888,2045167
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,3111,- -,9667,94955,430,1916,7798
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15910,23771,105650
36,Other Current Assets,- -,- -,667,- -,45233,45745,2155,- -,- -,- -,1007,- -,1341,8845,10368,37215
37,Total Current Assets,- -,14895,5029,112116,207624,106437,134793,31240,143423,53909,58460,117199,211512,65686,1025943,2195830
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,4314,5944,59996,269362,32456,19531,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,665697,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,615038,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,615038,- -,- -,665697,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80290,- -,- -,- -,7061
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,619352,5944,140286,935059,32456,19531,7061
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,14895,5029,112116,207624,106437,134793,31240,143423,673261,64404,257485,1146571,98142,1045474,2202891
48,Accounts Payable,- -,1500,5213,14314,11404,3434,595,23809,34766,46591,28122,19314,191080,96882,62870,42942
49,Short-Term Debt,- -,- -,17000,- -,- -,- -,62500,12500,480124,1140572,236971,722609,662757,715568,964115,1900000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49349,- -,- -,- -
52,Other Current Liabilities,- -,- -,526,- -,- -,- -,1272,2641,16113,83143,9011,9215,9291,21077,24320,-1851713
53,Total Current Liabilities,- -,1500,22739,14314,11404,3434,64367,38950,531003,1270306,274104,751138,912477,833527,1051305,91229
