,https://roic.ai/company/ELMD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,8752129,12998627,14303848,19003507,19524489,15104422,15487875,19408385,22991999,25861144,28697622,31299750,32470688,35756000
2,COGS,2147045,3340041,3707509,5226001,5379410,4655372,4853873,5808158,5115736,5292715,5841601,7451806,7270642,8451000
3,Gross Profit,6605084,9658586,10596339,13777506,14145079,10449050,10634002,13600227,17876263,20568429,22856021,23847944,25200046,27305000
4,Gross Profit Ratio,0.7547,0.7430,0.7408,0.7250,0.7245,0.6918,0.6866,0.7007,0.7775,0.7953,0.7964,0.7619,0.7761,0.7636
5,Research and Development Exp.,271241,357871,600986,1033693,920769,603375,466063,315647,380392,596876,251443,583311,1049612,1722000
6,General and Administrative Exp.,- -,- -,- -,- -,12617973,11673068,10908531,11974384,14386563,16402214,19596053,20446122,19944851,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,12617973,11673068,10908531,11974384,14386563,16402214,19596053,20446122,19944851,- -
9,Other Expenses,5999620,6845106,8199386,10873904,- -,- -,- -,- -,- -,- -,- -,- -,-913108,22443000
10,Operating Expenses,6270861,7202977,8800372,11907597,13538742,12276443,11374594,12290031,14766955,16999090,19847496,21029433,20081355,24165000
11,COGS and Expenses,8417906,10543018,12507881,17133598,18918152,16931815,16228467,18098189,19882691,22291805,25689097,28481239,27351997,32616000
12,Interest Income ,24816,8746,6417,- -,8402,16722,12393,2328,- -,17044,- -,- -,- -,- -
13,Interest Expense (Gain),501690,279192,269848,191332,177133,133555,91395,88038,66806,66911,- -,- -,- -,- -
14,Depreciation and Amortization,268395,318945,351748,449470,532626,589864,695546,736215,738702,755127,790027,925227,738230,610000
15,EBITDA,610937,2761043,2136934,2319379,1147365,-1220857,-32653,2048739,3848010,4341510,3818423,3834445,5977669,3777000
16,EBITDA ratio,0.0698,0.2124,0.1494,0.1221,0.0588,-0.0808,-0.0021,0.1056,0.1674,0.1679,0.1331,0.1225,0.1841,0.1056
17,Operating Income,334223,2455609,1795967,1869909,606337,-1827393,-740592,1310196,3109308,3569339,3008525,2818511,5118691,3140000
18,Operating Income ratio,0.0382,0.1889,0.1256,0.0984,0.0311,-0.1210,-0.0478,0.0675,0.1352,0.1380,0.1048,0.0900,0.1576,0.0878
19,Total Other Income Expenses (Gains),-476874,-270446,-263431,-191332,-168731,-116883,-79002,-85710,-66806,-49867,19871,90707,120747,27000
20,Income Before Tax,-142651,2185163,1532536,1678577,437606,-1944276,-819594,1224486,3042502,3519472,3028396,2909218,5239438,3167000
21,Income Before Tax Ratio,-0.0163,0.1681,0.1071,0.0883,0.0224,-0.1287,-0.0529,0.0631,0.1323,0.1361,0.1055,0.0929,0.1614,0.0886
22,Income Tax expense (Gain),-427000,830000,599000,623000,251000,-615000,469000,132000,830000,1290000,1126000,940000,1078000,805000
23,Net Income,267852,1332906,916338,1055577,186606,-1329276,-1288594,1092486,2212502,2229472,1902396,1969218,4161439,2362000
24,Net Income ratio,0.0306,0.1025,0.0641,0.0555,0.0096,-0.0880,-0.0832,0.0563,0.0962,0.0862,0.0663,0.0629,0.1282,0.0661
25,EPS,0.05,0.22,0.15,0.14,0.02,-0.16,-0.16,0.13,0.27,0.27,0.23,0.24,0.50,0.28
26,EPS Diluted,0.04,0.22,0.15,0.13,0.02,-0.16,-0.16,0.13,0.27,0.26,0.22,0.23,0.47,0.27
27,Weighted Average Shares Outstanding,5437486,5987383,6081030,7816367,8107723,8114252,8114252,8115595,8135514,8168152,8207365,8306338,8403220,8566224
28,Weighted Average Shares Outstanding Diluted,6454538,6020458,6114919,7841006,8113175,8114252,8114252,8153703,8248391,8461120,8620102,8631469,8826418,8911842
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1488917/000089710112001630/0000897101-12-001630-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710113001368/0000897101-13-001368-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710114001338/0000897101-14-001338-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710115001220/0000897101-15-001220-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710116002894/0000897101-16-002894-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710117001106/0000897101-17-001106-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710118000907/0000897101-18-000907-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710119000806/a191725_10k.htm,https://www.sec.gov/Archives/edgar/data/1488917/000089710120000703/0000897101-20-000703-index.htm,https://www.sec.gov/Archives/edgar/data/1488917/000089710121000726/0000897101-21-000726-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1441625,361916,610727,4091739,1702435,503564,1502702,3598240,5123355,5573709,7455844,7807928,10479150,11889000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1441625,361916,610727,4091739,1702435,503564,1502702,3598240,5123355,5573709,7455844,7807928,10479150,11889000
34,Net Receivables,3929481,6348146,6577002,9593105,11191603,9552328,6487267,6518816,7804122,9949759,11563208,13755889,14105451,17425000
35,Inventory,849508,1178689,1470775,1855957,2392416,1379594,2235496,2072108,2480443,2559485,2360693,2622000,3084620,2114000
36,Other Current Assets,324710,524272,783193,1093257,1015583,985843,397853,397833,412856,393319,832202,353214,353318,276000
