,https://roic.ai/company/ABB,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,24356000000,22967000000,23726000000,18295000000,18795000000,20721000000,22442000000,24412000000,29183000000,34912000000,31795000000,31589000000,37990000000,39336000000,41848000000,39830000000,35481000000,33828000000,34312000000,27662000000,27978000000,26134000000,28945000000
2,COGS,18457000000,17222000000,18708000000,13769000000,14080000000,15757000000,16830000000,17541000000,20215000000,23972000000,22470000000,22060000000,26556000000,27958000000,29856000000,28615000000,25347000000,24081000000,24046000000,19118000000,19072000000,18256000000,19478000000
3,Gross Profit,5899000000,5745000000,5018000000,4526000000,4715000000,4964000000,5612000000,6871000000,8968000000,10940000000,9325000000,9529000000,11434000000,11378000000,11992000000,11215000000,10134000000,9747000000,10266000000,8544000000,8906000000,7878000000,9467000000
4,Gross Profit Ratio,0.2422,0.2501,0.2115,0.2474,0.2509,0.2396,0.2501,0.2815,0.3073,0.3134,0.2933,0.3017,0.3010,0.2893,0.2866,0.2816,0.2856,0.2881,0.2992,0.3089,0.3183,0.3014,0.3271
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1082000000,1371000000,1464000000,1470000000,1499000000,1406000000,1300000000,1365000000,1147000000,1198000000,1127000000,1219000000
6,General and Administrative Exp.,4682000000,4417000000,4397000000,4033000000,3830000000,3786000000,3922000000,4434000000,4975000000,5822000000,5528000000,4615000000,5373000000,1894000000,2023000000,2013000000,1845000000,1869000000,2022000000,2067000000,2064000000,1808000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3862000000,4071000000,4054000000,3729000000,3480000000,3585000000,3228000000,3383000000,3087000000,- -
8,"Selling, General and Administrative Exp.",4682000000,4417000000,4397000000,4033000000,3830000000,3786000000,3922000000,4434000000,4975000000,5822000000,5528000000,4615000000,5373000000,5756000000,6094000000,6067000000,5574000000,5349000000,5607000000,5295000000,5447000000,4895000000,5162000000
9,Other Expenses,- -,219000000,236000000,41000000,40000000,45000000,- -,- -,- -,- -,-329000000,14000000,23000000,- -,- -,- -,- -,- -,- -,- -,- -,-151000000,-2632000000
10,Operating Expenses,4682000000,4636000000,4633000000,4074000000,3870000000,3831000000,3922000000,4434000000,4975000000,5822000000,5199000000,5711000000,6767000000,7220000000,7564000000,7566000000,6980000000,6649000000,6972000000,6442000000,6645000000,5871000000,3749000000
11,COGS and Expenses,23139000000,21858000000,23341000000,17843000000,17950000000,19588000000,20752000000,21975000000,25190000000,29794000000,27669000000,27771000000,33323000000,35178000000,37420000000,36181000000,32327000000,30730000000,31018000000,25560000000,25717000000,24127000000,23227000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121000000,95000000,90000000,73000000,69000000,80000000,77000000,73000000,74000000,72000000,67000000,51000000,51000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127000000,173000000,207000000,293000000,390000000,362000000,286000000,261000000,277000000,262000000,215000000,240000000,148000000
14,Depreciation and Amortization,795000000,836000000,787000000,611000000,585000000,633000000,597000000,570000000,602000000,661000000,655000000,702000000,995000000,1182000000,1318000000,1305000000,1160000000,1135000000,1101000000,916000000,961000000,915000000,893000000
15,EBITDA,2498000000,2656000000,201000000,-89000000,-104000000,909000000,1814000000,2657000000,4954000000,4898000000,4684000000,4454000000,5614000000,5209000000,5617000000,5463000000,4167000000,4076000000,4451000000,3895000000,3387000000,6797000000,6644000000
16,EBITDA ratio,0.1026,0.1156,0.0085,-0.0049,-0.0055,0.0439,0.0808,0.1088,0.1698,0.1403,0.1473,0.1410,0.1478,0.1324,0.1342,0.1372,0.1174,0.1205,0.1297,0.1408,0.1211,0.2601,0.2295
