,https://roic.ai/company/BHC,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,11100000,17300000,20600000,66400000,82400000,112800000,176500000,309170000,583263000,788025000,823722000,886543000,935536000,1070475000,842818000,757178000,820430000,1181237000,2463450000,3546626000,5769605000,8263500000,10446500000,9674000000,8724000000,8380000000,8601000000,8027000000,8434000000
2,COGS,2100000,4300000,4200000,23200000,27700000,23600000,28200000,68031000,125995000,164706000,139456000,229528000,206816000,223270000,223680000,197167000,204309000,405750000,726832000,1038516000,1905120000,2254600000,2584700000,2611000000,2548000000,2351000000,2350000000,2249000000,2394000000
3,Gross Profit,9000000,13000000,16400000,43200000,54700000,89200000,148300000,241139000,457268000,623319000,684266000,657015000,728720000,847205000,619138000,560011000,616121000,775487000,1736618000,2508110000,3864485000,6008900000,7861800000,7063000000,6176000000,6029000000,6251000000,5778000000,6040000000
4,Gross Profit Ratio,0.8108,0.7514,0.7961,0.6506,0.6638,0.7908,0.8402,0.7800,0.7840,0.7910,0.8307,0.7411,0.7789,0.7914,0.7346,0.7396,0.7510,0.6565,0.7050,0.7072,0.6698,0.7272,0.7526,0.7301,0.7079,0.7195,0.7268,0.7198,0.7161
5,Research and Development Exp.,- -,- -,- -,7500000,- -,17500000,33100000,52659000,51017000,52150000,86570000,72500000,88884000,95474000,118117000,92844000,120784000,157556000,174887000,79052000,156783000,246000000,334400000,455000000,366000000,414000000,471000000,452000000,465000000
6,General and Administrative Exp.,8500000,9300000,12600000,10200000,14000000,17600000,29600000,58088000,110100000,165697000,242771000,274553000,231109000,238429000,161001000,188922000,190388000,367418000,584313000,812862000,1305164000,2026300000,2699800000,2810000000,2582000000,2473000000,2554000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",8500000,9300000,12600000,10200000,14000000,17600000,29600000,58088000,110100000,165697000,242771000,274553000,231109000,238429000,161001000,188922000,190388000,367418000,584313000,812862000,1305164000,2026300000,2699800000,2810000000,2582000000,2473000000,2554000000,2367000000,2624000000
9,Other Expenses,700000,800000,1200000,2000000,3200000,5000000,10100000,- -,44513000,103443000,213269000,203773000,234648000,268643000,151338000,83934000,104730000,219758000,546828000,928885000,2136419000,1282000000,2674400000,2691000000,2691000000,2644000000,1933000000,1645000000,1375000000
10,Operating Expenses,9200000,10100000,13800000,19700000,17200000,40100000,72800000,110747000,205630000,321290000,542610000,550826000,554641000,602546000,430456000,365700000,415902000,744732000,1306028000,1820799000,3598366000,3554300000,5708600000,5956000000,5639000000,5531000000,4958000000,4464000000,4464000000
11,COGS and Expenses,11300000,14400000,18000000,42900000,44900000,63700000,101000000,178778000,331625000,485996000,682066000,780354000,761457000,825816000,654136000,562867000,620211000,1150482000,2032860000,2859315000,5503486000,5808900000,8293300000,8567000000,8187000000,7882000000,7308000000,6713000000,6858000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1118000,1294000,4084000,5986000,8023000,5000000,3300000,8000000,12000000,11000000,12000000,13000000,7000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25418000,84307000,333041000,473396000,844316000,971000000,1563200000,1836000000,1840000000,1685000000,1612000000,1534000000,1426000000
14,Depreciation and Amortization,700000,800000,1200000,2000000,3200000,5000000,10100000,21526000,67866000,89964000,166854000,194638000,205408000,107865000,100768000,103425000,149260000,254504000,612603000,986222000,2015806000,1737600000,2627500000,2866000000,2858000000,2819000000,2075000000,1825000000,1552000000
15,EBITDA,4800000,10700000,7300000,25400000,40300000,52400000,76800000,-117090000,170599000,199259000,135589000,256335000,316985000,326302000,309507000,230329000,349633000,102548000,927644000,1065390000,1543197000,3802500000,4031500000,2266000000,2957000000,346000000,1845000000,2424000000,1943000000
16,EBITDA ratio,0.4324,0.6185,0.3544,0.3825,0.4891,0.4645,0.4351,-0.3787,0.2925,0.2529,0.1646,0.2891,0.3388,0.3048,0.3672,0.3042,0.4262,0.0868,0.3766,0.3004,0.2675,0.4602,0.3859,0.2342,0.3390,0.0413,0.2145,0.3020,0.2304
17,Operating Income,-200000,2900000,2600000,23500000,37500000,49100000,75500000,130392000,251638000,134284000,16936000,106189000,154269000,229534000,188014000,124109000,181154000,-110085000,299959000,79685000,-409502000,2039700000,1527400000,-566000000,102000000,-2384000000,-203000000,676000000,450000000
