,https://roic.ai/company/MOGU,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,1109877000,973207000,1074278000,835314000,482392000
2,COGS,377765000,317725000,313788000,293757000,183112000
3,Gross Profit,732112000,655482000,760490000,541557000,299280000
4,Gross Profit Ratio,0.6596,0.6735,0.7079,0.6483,0.6204
5,Research and Development Exp.,418496000,289274000,236446000,171137000,103474000
6,General and Administrative Exp.,123404000,100105000,168379000,128152000,103038000
7,Selling and Marketing Exp.,692742000,747928000,743732000,613183000,229775000
8,"Selling, General and Administrative Exp.",816146000,848033000,912111000,741335000,332813000
9,Other Expenses,440831000,385442000,186885000,316352000,311342000
10,Operating Expenses,1675473000,1522749000,1335442000,1228824000,747629000
11,COGS and Expenses,2053238000,1840474000,1649230000,1522581000,930741000
12,Interest Income ,24514000,33464000,33700000,29312000,19601000
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,536448000,446398000,206385000,338468000,351129000
15,EBITDA,-510376000,-200436000,-297107000,-1885760000,28339000
16,EBITDA ratio,-0.4598,-0.2060,-0.2766,-2.2575,0.0587
17,Operating Income,-1071341000,-847419000,-574180000,-2072886000,-428924000
18,Operating Income ratio,-0.9653,-0.8707,-0.5345,-2.4816,-0.8892
19,Total Other Income Expenses (Gains),24514000,205683000,64936000,-37238000,106098000
20,Income Before Tax,-1046827000,-641736000,-509244000,-2110124000,-322826000
21,Income Before Tax Ratio,-0.9432,-0.6594,-0.4740,-2.5261,-0.6692
22,Income Tax expense (Gain),-107687000,-88665000,-17217000,-590000,5181000
23,Net Income,-939137000,-558169000,-486275000,-2223638000,-327971000
24,Net Income ratio,-0.8462,-0.5735,-0.4527,-2.6620,-0.6799
25,EPS,-15.86,-13.15,-21.75,-20.50,-3.00
26,EPS Diluted,-15.86,-13.15,-21.75,-20.50,-3.00
27,Weighted Average Shares Outstanding,97155225,94766668,49919941,108753119,105217014
28,Weighted Average Shares Outstanding Diluted,97155225,94766668,49919941,108753119,105217014
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1743971/000119312519185197/0001193125-19-185197-index.html,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,1270289000,1224393000,1276710000,856567000,542076000
32,Short-Term Investments,400583000,130000000,212000000,238000000,260245000
33,Cash and Short-Term Investments,1670872000,1354393000,1488710000,1094567000,802321000
34,Net Receivables,738538000,251147000,235650000,175253000,156742000
35,Inventory,4098000,110000,5042000,2926000,240000
36,Other Current Assets,62242000,50145000,49295000,37830000,27771000
37,Total Current Assets,2475750000,1655795000,1778697000,1310576000,987074000
38,PP&E,99689000,16511000,11975000,14109000,157080000
39,Goodwill,1568653000,1568653000,1568653000,186504000,186504000
40,Intangible Assets,500905000,116770000,1001967000,813011000,426532000
41,Intangible Assets,2069558000,1685423000,2570620000,999515000,613036000
42,Investments,10935000,201037000,241721000,102373000,66382000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,28521000,18755000,763000,14183000,16284000
45,Total Non-Current Assets,2208703000,1921726000,2825079000,1130180000,852782000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,4684453000,3577521000,4603776000,2440756000,1839856000
48,Accounts Payable,11104000,12270000,17989000,17080000,19938000
49,Short-Term Debt,- -,- -,- -,- -,- -
50,Tax Payable,4510000,8523000,5844000,6342000,1558000
51,Deferred Revenue,386972000,310741000,224322000,193582000,159112000
52,Other Current Liabilities,675904000,347062000,306589000,224449000,186233000
53,Total Current Liabilities,1073980000,670073000,548900000,435111000,365283000
54,Long-Term Debt,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,114588000,25233000,2485000,21529000,17526000
57,Other Non-Current Liabilities,- -,- -,4722000,3644000,2151000
58,Total Non-Current Liabilities,114588000,25233000,7207000,25173000,19677000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,1188568000,695306000,556107000,460284000,384960000
62,Preferred Stock,6556377000,7244617000,- -,- -,- -
63,Common Stock,140286000,140286000,177000,180000,181000
64,Retained Earnings,-3270436000,-4501017000,-5425515000,-7649308000,-7977980000
65,Other Comprehensive Income/Loss,69661000,-1671000,80270000,204426000,100476000
66,Other Total Stockholders Equity,- -,- -,9392737000,9425174000,9332219000
67,Total Stockholders Equity,3495888000,2882215000,4047669000,1980472000,1454896000
68,Total Liabilities And Stockholders Equity,4684456000,3577521000,4603776000,2440756000,1839856000
69,Minority Interest,-3000,- -,- -,- -,- -
70,Total Liabilities & Equity,4684453000,3577521000,4603776000,2440756000,1839856000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1743971/000119312519185197/0001193125-19-185197-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-939137000,-558169000,-486275000,-2223638000,-327971000
74,Depreciation and Amortization,536448000,446398000,206385000,338468000,351129000
75,Deferred Income Tax,-109039000,-91319000,-23268000,-2709000,-4644000
76,Stock Based Compensation,20738000,16836000,103068000,32185000,26295000
77,Change in Working Capital,-454128000,48534000,-91369000,-37727000,-40354000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,-2773000,3988000,-4931000,2116000,2686000
80,Accounts Payable,-4128000,5885000,5718000,-909000,2857000
81,Other Working Capital,-308000,-199000,1140000,-1074000,-26000
82,Other Non-Cash Items,112621000,-177142000,-34349000,1581632000,-82386000
83,Cash Provided by Operating Activities,-832497000,-314862000,-325808000,-311789000,-77931000
84,CAPEX,-26625000,-5589000,-19786000,-62863000,-165751000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,-1276434000,-2044621000,-1055000000,-1291575000,-2100485000
87,Sales/Maturities of Investments,890851000,2315204000,1008501000,1250000000,2160007000
88,Other Investing Activites,-132394000,75047000,-27689000,-61145000,-3537000
89,Cash Used for Investing Activites,-541637000,340461000,-82836000,-113150000,-96663000
90,Debt Repayment,- -,- -,-2307000,- -,- -
