,https://roic.ai/company/SPNE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,147510000,146586000,138695000,133178000,128860000,131814000,143443000,159083000,154345000,191451000
2,COGS,54856000,55532000,56714000,61119000,55544000,51826000,55969000,57979000,56841000,- -
3,Gross Profit,92654000,91054000,81981000,72059000,73316000,79988000,87474000,101104000,97504000,- -
4,Gross Profit Ratio,0.6281,0.6212,0.5911,0.5411,0.5690,0.6068,0.6098,0.6355,0.6317,- -
5,Research and Development Exp.,12269000,9893000,8527000,8353000,11442000,12180000,12058000,15125000,16258000,22006000
6,General and Administrative Exp.,- -,- -,- -,110551000,101065000,97303000,- -,33594000,35874000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,83445000,84304000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,110551000,101065000,97303000,- -,117039000,120178000,- -
9,Other Expenses,100463000,98607000,93803000,5331000,4309000,3168000,108555000,3169000,3169000,153559000
10,Operating Expenses,112732000,108500000,102330000,124235000,116816000,112651000,120613000,135333000,139605000,175565000
11,COGS and Expenses,167588000,164032000,159044000,185354000,172360000,164477000,176582000,193312000,196446000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,16333000,13579000,14693000,12445000,11758000,10871000,10695000,10347000,10725000,- -
15,EBITDA,-11939000,-8423000,-5925000,-40608000,-32006000,-21362000,-22700000,-28573000,-32238000,-55446000
16,EBITDA ratio,-0.0809,-0.0575,-0.0427,-0.3049,-0.2484,-0.1621,-0.1583,-0.1796,-0.2089,-0.2896
17,Operating Income,-20078000,-17446000,-20349000,-52176000,-43500000,-32663000,-33139000,-39222000,-43426000,-60978000
18,Operating Income ratio,-0.1361,-0.1190,-0.1467,-0.3918,-0.3376,-0.2478,-0.2310,-0.2466,-0.2814,-0.3185
19,Total Other Income Expenses (Gains),-8194000,-4556000,-269000,-877000,-264000,430000,-256000,302000,463000,5532000
20,Income Before Tax,-28272000,-22002000,-20618000,-53053000,-43764000,-32233000,-33395000,-38920000,-42963000,- -
21,Income Before Tax Ratio,-0.1917,-0.1501,-0.1487,-0.3984,-0.3396,-0.2445,-0.2328,-0.2447,-0.2784,- -
22,Income Tax expense (Gain),2152000,3744000,3927000,2479000,-552000,-118000,129000,356000,218000,-1100000
23,Net Income,-30424000,-25746000,-24545000,-55532000,-43212000,-32115000,-33524000,-39276000,-43181000,-54346000
24,Net Income ratio,-0.2063,-0.1756,-0.1770,-0.4170,-0.3353,-0.2436,-0.2337,-0.2469,-0.2798,-0.2839
25,EPS,-2.78,-2.35,-2.24,-4.99,-3.85,-2.58,-2.18,-2.07,-1.59,-1.62
26,EPS Diluted,-2.78,-2.35,-2.24,-4.99,-3.85,-2.58,-2.18,-2.07,-1.59,-1.62
27,Weighted Average Shares Outstanding,10954029,10954029,10954029,11139000,11222000,12426000,15358000,18977000,27222000,33604000
28,Weighted Average Shares Outstanding Diluted,10954029,10954029,10954029,11139000,11222000,12426000,15358000,18977000,27222000,33604000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1637761/000163776116000053/0001637761-16-000053-index.html,https://www.sec.gov/Archives/edgar/data/1637761/000163776117000041/0001637761-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/1637761/000163776118000034/0001637761-18-000034-index.html,- -,https://www.sec.gov/Archives/edgar/data/1637761/000163776120000019/0001637761-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1637761/000163776121000056/0001637761-21-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1637761/000163776122000057/0001637761-22-000057-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,646000,652000,33429000,14566000,10788000,24233000,20199000,76813000,83106000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,29800000,- -,- -,- -
33,Cash and Short-Term Investments,- -,646000,652000,33429000,14566000,10788000,54033000,20199000,76813000,83106000
34,Net Receivables,- -,25972000,22538000,25326000,20982000,21872000,20335000,24902000,26154000,- -
35,Inventory,- -,47842000,49862000,51271000,45299000,41721000,42742000,47155000,54041000,- -
36,Other Current Assets,- -,1838000,1564000,3696000,1813000,2037000,2948000,3906000,3884000,- -
37,Total Current Assets,- -,76298000,74616000,113722000,82660000,76418000,120058000,96162000,160892000,- -
38,PP&E,- -,19567000,16360000,21958000,21863000,22063000,22623000,25751000,39080000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,55127000,46891000,39632000,41785000,35207000,28712000,19173000,13883000,- -
41,Intangible Assets,- -,55127000,46891000,39632000,41785000,35207000,28712000,19173000,13883000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,587000,501000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1914000,1274000,1077000,857000,786000,949000,632000,546000,- -
45,Total Non-Current Assets,- -,77195000,65026000,62667000,64505000,58056000,52284000,45556000,53509000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,377267000
47,Total Assets,- -,153493000,139642000,176389000,147165000,134474000,172342000,141718000,214401000,377267000
48,Accounts Payable,- -,30900000,36637000,13689000,8537000,7385000,9214000,7448000,5006000,- -
49,Short-Term Debt,- -,- -,- -,- -,445000,- -,- -,- -,1114000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,7541000,9315000,12346000,15436000,15772000,17332000,23030000,24607000,- -
53,Total Current Liabilities,- -,38441000,45952000,26035000,24418000,23157000,26546000,30478000,30727000,- -
54,Long-Term Debt,- -,- -,- -,328000,3835000,- -,- -,- -,5059000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,944000,23000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,2613000,2383000,2687000,7935000,5664000,3711000,1480000,6897000,- -
58,Total Non-Current Liabilities,- -,3557000,2406000,3015000,11770000,5664000,3711000,1480000,11956000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,64903000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,8949000,- -
61,Total Liabilities,- -,41998000,48358000,29050000,36188000,28821000,30257000,31958000,42683000,64903000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,109641000,90391000,111000,113000,135000,187000,191000,277000,- -
64,Retained Earnings,- -,- -,- -,-27949000,-71161000,-103276000,-136800000,-176076000,-219257000,- -
65,Other Comprehensive Income/Loss,- -,-22283000,-27000000,1000000,1000000,2000000,1602000,1000000,2124000,1570000
66,Other Total Stockholders Equity,- -,24137000,27893000,174177000,181025000,206794000,277096000,284645000,388574000,- -
