,https://roic.ai/company/CURLF,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,- -,19313000,77057000,221018000,626637000,1209661000
2,COGS,- -,- -,- -,3716000,30770000,79405000,236124000,522072000
3,Gross Profit,- -,- -,- -,15597000,46287000,141613000,390513000,687589000
4,Gross Profit Ratio,- -,- -,- -,0.8076,0.6007,0.6407,0.6232,0.5684
5,Research and Development Exp.,- -,- -,26759,- -,- -,- -,- -,- -
6,General and Administrative Exp.,45330,159349,91423,17390000,63277000,125441000,234881000,373897000
7,Selling and Marketing Exp.,1694,2031,- -,1542000,4264000,12188000,23272000,41841000
8,"Selling, General and Administrative Exp.",47025,161380,91423,18932000,67541000,137629000,258153000,415738000
9,Other Expenses,- -,- -,- -,3210000,7427000,31701000,68676000,96217000
10,Operating Expenses,- -,- -,118182,22142000,74968000,169330000,326829000,511955000
11,COGS and Expenses,47025,161380,118182,25858000,105738000,248735000,562953000,1034027000
12,Interest Income ,- -,- -,- -,2990000,4805000,9938000,6484000,629000
13,Interest Expense (Gain),- -,- -,- -,1590000,7309000,24753000,69002000,90262000
14,Depreciation and Amortization,- -,- -,- -,3726000,8653000,37206000,88466000,132644000
15,EBITDA,-47025,-161380,-118182,3566000,-34862000,18774000,179104000,295101000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,0.1846,-0.4524,0.0849,0.2858,0.2440
17,Operating Income,- -,- -,- -,-6545000,-28681000,-27717000,63684000,175634000
18,Operating Income ratio,- -,- -,- -,-0.3389,-0.3722,-0.1254,0.1016,0.1452
19,Total Other Income Expenses (Gains),1008,598,- -,2569000,-27553000,-18072000,-41641000,-110838000
20,Income Before Tax,-46017,-160782,-118182,-3976000,-56234000,-45789000,22043000,64796000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-0.2059,-0.7298,-0.2072,0.0352,0.0536
22,Income Tax expense (Gain),- -,- -,- -,1068000,5643000,24059000,83371000,173926000
23,Net Income,-46017,-160782,-118182,-2818000,-56467000,-67244000,-61735000,-101731000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-0.1459,-0.7328,-0.3042,-0.0985,-0.0841
25,EPS,-0.04,-0.22,-0.07,-0.01,-0.14,-0.15,-0.11,-0.18
26,EPS Diluted,-0.04,-0.22,-0.07,-0.01,-0.14,-0.15,-0.11,-0.18
27,Weighted Average Shares Outstanding,1140000,817808,1145942,322834540,396498411,462911053,557192899,557192899
28,Weighted Average Shares Outstanding Diluted,1140000,817808,1145942,322834540,396498411,462911053,557192899,557192899
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,54112,125587,22184,20975000,266616000,42310000,73542000,299329000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,54112,125587,22184,20975000,266616000,42310000,73542000,299329000
34,Net Receivables,876,4499,371,1246000,9402000,18335000,36010000,66885000
35,Inventory,- -,- -,- -,14100000,32467000,82407000,244201000,469795000
36,Other Current Assets,17702,5134,830,844000,4975000,6479000,64109000,116250000
37,Total Current Assets,72691,135220,23386,37165000,313460000,149531000,417862000,952259000
38,PP&E,9347,16478,24298,23519000,66969000,212606000,510023000,664831000
39,Goodwill,- -,- -,- -,31561000,47267000,69326000,470144000,605496000
40,Intangible Assets,- -,- -,- -,27223000,52925000,185635000,797401000,1010008000
41,Intangible Assets,- -,- -,- -,58784000,100192000,254961000,1267545000,1615504000
42,Investments,- -,- -,- -,3754000,45408000,51209000,16264000,4401000
43,Tax Assets,- -,- -,- -,2051000,2556000,2628000,5528000,2593000
44,Other Non-Current Assets,- -,- -,- -,26329000,41251000,65991000,169369000,22890000
45,Total Non-Current Assets,9347,16478,24298,114437000,256376000,587395000,1968729000,2310219000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,82037,151698,47684,151602000,569836000,736926000,2386591000,3262478000
48,Accounts Payable,- -,- -,9442,1720000,3974000,12742000,47043000,26751000
49,Short-Term Debt,- -,- -,- -,- -,2403000,28835000,22210000,21245000
50,Tax Payable,- -,- -,- -,827000,2730000,15114000,79649000,140019000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,9177,8673,2064,3073000,18451000,64679000,150873000,267400000
53,Total Current Liabilities,9177,8673,11506,4793000,24828000,106256000,220126000,315396000
54,Long-Term Debt,- -,- -,- -,10194000,81901000,87953000,285001000,732404000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,3504000,6508000,22642000,226465000,299333000
57,Other Non-Current Liabilities,- -,- -,- -,28346000,20957000,116629000,278785000,106855000
58,Total Non-Current Liabilities,- -,- -,- -,42044000,109366000,227224000,790251000,1138592000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,93154000,286205000,317560000
61,Total Liabilities,9177,8673,11506,46837000,134194000,333480000,1010377000,1453988000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,95188,296439,312749,109855000,657525000,693699000,1754412000,2225940000
64,Retained Earnings,-46017,-199277,-323922,-8899000,-65666000,-132910000,-194645000,-291395000
65,Other Comprehensive Income/Loss,- -,- -,- -,5404000,-146761000,-146819000,-177744000,-172081000
66,Other Total Stockholders Equity,23689,45863,47351,-966000,-4325000,-5208000,-5208000,-5208000
67,Total Stockholders Equity,72861,143025,36178,105394000,440773000,408762000,1376815000,1757256000
68,Total Liabilities And Stockholders Equity,82037,151698,47684,152231000,574967000,742242000,2387192000,3211244000
69,Minority Interest,- -,-0,-0,-629000,-5131000,-5316000,-601000,51234000
70,Total Liabilities & Equity,82037,151698,47684,151602000,569836000,736926000,2386591000,3262478000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-46017,-160782,-118182,-2818000,-56467000,-67244000,-61735000,-101731000
74,Depreciation and Amortization,- -,- -,- -,3726000,8653000,37206000,88466000,132644000
75,Deferred Income Tax,- -,- -,- -,240000,2499000,6959000,7541000,19214000
76,Stock Based Compensation,32304,- -,- -,2547000,2229000,16607000,29361000,45632000
77,Change in Working Capital,-11125,6904,11296,2801000,14441000,-13992000,28588000,-88677000
78,Accounts Receivable,-876,-3766,- -,-425000,-8142000,-6943000,5956000,-29402000
