,https://roic.ai/company/GNFT,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,12774600,10051900,9477300,8760600,5812200,3757500,2360900,1672300,1899300,1614400,527000,284000,118000,69000,30839000,765000
2,COGS,1318500,1685600,2005200,1743500,1606000,1369000,1411600,1195100,1292900,1404300,1863000,1894000,2117000,1724000,- -,- -
3,Gross Profit,11456100,8366300,7472100,7017100,4206200,2388500,949300,477200,606400,210100,-1336000,-1610000,-1999000,-1655000,- -,- -
4,Gross Profit Ratio,0.8968,0.8323,0.7884,0.8010,0.7237,0.6357,0.4021,0.2854,0.3193,0.1301,-2.5351,-5.6690,-16.9407,-23.9855,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,5161500,9019600,5389000,19187000,35095000,47661000,66170000,59189000
6,General and Administrative Exp.,4710900,4805900,6201500,- -,- -,6908800,6022200,6448000,7375700,9365300,9197000,11746000,13518000,13755000,17265000,7138000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13708000,11216000
8,"Selling, General and Administrative Exp.",4710900,4805900,6201500,- -,- -,6908800,6022200,6448000,7375700,9365300,9197000,11746000,13518000,13755000,30973000,18354000
9,Other Expenses,5069000,4113700,7266100,12195900,10688300,3135000,2677100,1746800,-1513000,-906000,1749000,1614000,6082000,6414000,-8473000,731000
10,Operating Expenses,9779900,8919600,13467600,12195900,10688300,10043800,8699300,8194800,11024200,17478900,16335000,32547000,54695000,67830000,88670000,78274000
11,COGS and Expenses,11098400,10605200,15472800,13939400,12294300,11412800,10110900,9389900,12317100,18883200,18198000,34441000,56812000,69554000,88670000,78274000
12,Interest Income ,- -,- -,768900,596000,300900,205700,322800,- -,169200,- -,464000,316000,389000,202000,2626000,1442000
13,Interest Expense (Gain),332900,308800,390800,205200,449100,391400,372800,238400,103100,93700,- -,110000,1391000,10976000,11437000,11777000
14,Depreciation and Amortization,1122600,638300,943900,1001500,1056500,860700,788800,556300,465500,292100,327000,816000,1412000,1819000,3263000,3559000
15,EBITDA,3303000,609400,-4044900,-3505200,-5146800,-6592100,-6639800,-6934800,-9765500,-16639300,-16808000,-32706000,-55417000,-67080000,-51020000,-86313000
16,EBITDA ratio,0.2586,0.0606,-0.4268,-0.4001,-0.8855,-1.7544,-2.8124,-4.1469,-5.1416,-10.3068,-31.8937,-115.1620,-469.6356,-972.1739,-1.6544,-112.8275
17,Operating Income,1676200,-553300,-5990600,-5174000,-6474900,-7658500,-7751400,-7715900,-10513700,-17258600,-17676000,-34158000,-56695000,-69484000,-57832000,-82897000
18,Operating Income ratio,0.1312,-0.0550,-0.6321,-0.5906,-1.1140,-2.0382,-3.2832,-4.6139,-5.5356,-10.6904,-33.5408,-120.2746,-480.4661,-1007.0145,-1.8753,-108.3621
19,Total Other Income Expenses (Gains),33400,223600,611100,462100,-177500,-185700,-50000,-13600,179700,233600,541000,528000,-1524000,-10391000,-7889000,-18752000
20,Income Before Tax,1709600,-329700,-5379500,-4711900,-6652400,-7844200,-7801400,-7729500,-10334000,-17025000,-17135000,-33630000,-58219000,-79875000,-65721000,-101649000
21,Income Before Tax Ratio,0.1338,-0.0328,-0.5676,-0.5379,-1.1446,-2.0876,-3.3044,-4.6221,-5.4410,-10.5457,-32.5142,-118.4155,-493.3814,-1157.6087,-2.1311,-132.8745
22,Income Tax expense (Gain),74400,-665400,-2578800,-751400,721500,1536400,1880300,-2317900,2318000,400,- -,35000,384000,-354000,-576000,-428000
23,Net Income,1773100,327700,-2800800,-3960500,-7373900,-9380600,-9681700,-5411600,-12652100,-17025500,-17135000,-33667000,-58604000,-79521000,-65144000,-101221000
24,Net Income ratio,0.1388,0.0326,-0.2955,-0.4521,-1.2687,-2.4965,-4.1009,-3.2360,-6.6615,-10.5460,-32.5142,-118.5458,-496.6441,-1152.4783,-2.1124,-132.3150
25,EPS,0.15,0.03,-0.24,-0.34,-0.63,-0.79,-0.75,-0.35,-0.63,-0.74,-0.69,-1.25,-1.88,-2.55,-1.76,-2.60
26,EPS Diluted,0.15,0.03,-0.24,-0.34,-0.63,-0.79,-0.75,-0.35,-0.63,-0.74,-0.69,-1.25,-1.88,-2.55,-1.76,-2.60
27,Weighted Average Shares Outstanding,11618031,11618031,11618031,11618031,11618031,11969669,12881033,15317813,20006211,22976963,24696354,26854565,31166437,31167203,37013636,38931154
28,Weighted Average Shares Outstanding Diluted,11618031,11618031,11618031,11618031,11618031,11969669,12881033,15317813,20006211,22976963,24841923,26854565,31166437,31167203,37013636,38931154
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12497900,22372500,15827700,16870900,17433700,13941800,12804900,6303700,20922000,76004800,60111000,152277000,273820000,207240000,276748000,171029000
32,Short-Term Investments,1682400,1502100,1548800,921400,- -,- -,13800,18000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,14180300,23874600,17376500,17792300,17433700,13941800,12818700,6321700,20922000,76004800,60111000,152277000,273820000,207240000,276748000,171029000
34,Net Receivables,973400,1377000,631200,- -,- -,- -,733000,3983200,4950600,6702600,5998000,8394000,7956000,8793000,12034000,11919000
35,Inventory,27800,30800,30500,39100,207500,186500,173200,158000,167000,248000,28000,14000,4000,4000,4000,4000
36,Other Current Assets,2190200,3712000,4684700,11126500,6212500,5567600,5435100,691100,1059400,857600,616000,1311000,1792000,2079000,1967000,1765000
37,Total Current Assets,17371700,28994400,22722900,28957900,23853700,19695900,19160000,11154000,27099000,83813000,66753000,161996000,283572000,218116000,290753000,184717000
38,PP&E,10017400,9896900,9381900,9575700,9160200,8374900,7640800,9401000,1000000,1333000,1324000,3010000,6324000,7764000,16453000,11648000
39,Goodwill,- -,- -,74900,- -,- -,74900,- -,75000,75000,75000,- -,- -,- -,- -,- -,- -
40,Intangible Assets,220700,343500,241100,- -,- -,105300,74900,31000,55500,86000,562000,667000,636000,795000,920000,791000
41,Intangible Assets,220700,343500,316000,307500,180600,180200,74900,106000,130500,161000,562000,667000,636000,795000,920000,791000
42,Investments,100,100,100,-901200,- -,- -,191600,- -,240200,282800,113000,109000,267000,770000,1023000,688000
43,Tax Assets,200,922400,3473000,4127200,3420000,1882300,- -,2318000,- -,- -,- -,- -,- -,- -,- -,- -
