,https://roic.ai/company/XERS,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,1075000,1556000,2465000,2722000,20435000,49590000
2,COGS,8000,4000,42000,1603000,9328000,13318000
3,Gross Profit,1067000,1552000,2423000,1119000,11107000,36272000
4,Gross Profit Ratio,0.9926,0.9974,0.9830,0.4111,0.5435,0.7314
5,Research and Development Exp.,10238000,20166000,40654000,60438000,20921000,25160000
6,General and Administrative Exp.,4060000,8015000,21113000,63061000,73732000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4060000,8015000,21113000,63061000,73732000,125718000
9,Other Expenses,- -,- -,- -,- -,- -,550000
10,Operating Expenses,14298000,28181000,61767000,123499000,94653000,151428000
11,COGS and Expenses,14306000,28185000,61809000,125102000,103981000,164746000
12,Interest Income ,5000,124000,1613000,2813000,2965000,313000
13,Interest Expense (Gain),2000,2000,2545000,7163000,10660000,7180000
14,Depreciation and Amortization,116000,177000,320000,1078000,1467000,1879000
15,EBITDA,-13091000,-26375000,-57215000,-117797000,-79123000,-113666000
16,EBITDA ratio,-12.1777,-16.9505,-23.2110,-43.2759,-3.8719,-2.2921
17,Operating Income,-13231000,-26629000,-59344000,-122380000,-83546000,-115156000
18,Operating Income ratio,-12.3079,-17.1138,-24.0746,-44.9596,-4.0884,-2.3222
19,Total Other Income Expenses (Gains),22000,75000,-736000,-3658000,-7704000,-7569000
20,Income Before Tax,-13209000,-26554000,-60080000,-126038000,-91250000,-122725000
21,Income Before Tax Ratio,-12.2874,-17.0656,-24.3732,-46.3035,-4.4654,-2.4748
22,Income Tax expense (Gain),- -,- -,- -,-458000,-110000,- -
23,Net Income,-13209000,-26554000,-60080000,-125580000,-91140000,-122725000
24,Net Income ratio,-12.2874,-17.0656,-24.3732,-46.1352,-4.4600,-2.4748
25,EPS,-6.09,-2.34,-4.99,-4.81,-2.14,-1.55
26,EPS Diluted,-6.09,-2.34,-4.99,-4.81,-2.14,-1.55
27,Weighted Average Shares Outstanding,2169576,11358655,12045999,26110297,42642901,79027062
28,Weighted Average Shares Outstanding Diluted,2169576,11358655,12045999,26110297,42642901,79027062
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1346302/000134630219000009/0001346302-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1346302/000134630220000007/0001346302-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1346302/000134630221000026/0001346302-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1867096/000186709622000040/0001867096-22-000040-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,32269000,42045000,45716000,19519000,37598000,67271000
32,Short-Term Investments,- -,- -,66917000,56030000,96190000,35162000
33,Cash and Short-Term Investments,32269000,42045000,112633000,75549000,133788000,102433000
34,Net Receivables,101000,1199000,2869000,5639000,6875000,17456000
35,Inventory,- -,- -,- -,2176000,8353000,18118000
36,Other Current Assets,804000,809000,2397000,4119000,3196000,4589000
37,Total Current Assets,33174000,44053000,117899000,87483000,152212000,142596000
38,PP&E,312000,788000,2034000,7853000,6707000,6627000
39,Goodwill,- -,- -,- -,- -,- -,22859000
40,Intangible Assets,- -,- -,- -,- -,- -,131450000
41,Intangible Assets,- -,- -,- -,- -,- -,154309000
42,Investments,- -,- -,- -,13231000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,47000,157000,95000,420000,232000,829000
45,Total Non-Current Assets,359000,945000,2129000,21504000,6939000,161765000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,33533000,44998000,120028000,108987000,159151000,304361000
48,Accounts Payable,1315000,1976000,866000,5603000,3117000,8924000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -
