,https://roic.ai/company/PWCO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,696312,171756,2178747,21904,548405,542930,717878,352944,608204,246558,158851,52572,85426,992195,1029031,1163211,945619,955938,1109642,757639,189965
2,COGS,529769,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,166543,171756,- -,- -,- -,- -,717878,352944,608204,246558,158851,52572,85426,992195,1029031,1163211,- -,- -,- -,- -,189965
4,Gross Profit Ratio,0.2392,1.0000,- -,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,564236,253107,376432,23928
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,633064,523056,356495,295529,134582,90877,1143648,1155672,1219632,969447,1065010,1184815,830628,59108
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1018945,5587,45,50000,418277,589061,655026,633064,523056,356495,295529,134582,90877,1143648,1155672,1219632,969447,1065010,1184815,830628,278093
9,Other Expenses,1499439,- -,1700076,- -,- -,- -,12048,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2518384,5587,1700121,- -,- -,- -,667074,633064,523056,356495,295529,134582,90877,1143648,1155672,1219632,969447,1629246,1437922,1207060,302021
11,COGS and Expenses,3048153,5587,1700121,50000,418277,589061,667074,633064,523056,356495,295529,134582,90877,1143648,1155672,1219632,969447,1629246,1437922,1207060,302021
12,Interest Income ,- -,33,2823,4388,- -,- -,864,3330,8193,2360,360,198,88,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),195768,- -,- -,- -,- -,- -,7503,42699,19921,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6200,12400,15912,15197,6697,21288,21288,18114
15,EBITDA,-2351841,174936,531449,-23708,130128,-44479,58307,-301995,188580,-134540,-136318,-81812,-148338,-145253,-114241,-40509,-8631,-686918,-306992,-428133,-93942
16,EBITDA ratio,-3.3776,1.0185,0.2439,-1.0824,0.2373,-0.0819,0.0812,-0.8556,0.3101,-0.5457,-0.8582,-1.5562,-1.7365,-0.1464,-0.1110,-0.0348,-0.0091,-0.7186,-0.2767,-0.5651,-0.4945
17,Operating Income,-2351841,166169,478626,-28096,130128,-46131,50804,-280120,85148,-109937,-136678,-82010,-5451,-151453,-126641,-56421,-23828,-673308,-328280,-449421,-112056
18,Operating Income ratio,-3.3776,0.9675,0.2197,-1.2827,0.2373,-0.0850,0.0708,-0.7937,0.1400,-0.4459,-0.8604,-1.5600,-0.0638,-0.1526,-0.1231,-0.0485,-0.0252,-0.7043,-0.2958,-0.5932,-0.5899
19,Total Other Income Expenses (Gains),-195768,8767,52823,4388,- -,1652,- -,-64574,83511,-24603,360,- -,-142975,- -,- -,- -,- -,-20307,- -,- -,- -
20,Income Before Tax,-2547609,174936,531449,-23708,130128,-44479,50804,-344694,168659,-134540,-136318,- -,- -,-151453,-126641,-56421,-23828,-693615,-328280,-449421,-112056
21,Income Before Tax Ratio,-3.6587,1.0185,0.2439,-1.0824,0.2373,-0.0819,0.0708,-0.9766,0.2773,-0.5457,-0.8582,- -,- -,-0.1526,-0.1231,-0.0485,-0.0252,-0.7256,-0.2958,-0.5932,-0.5899
22,Income Tax expense (Gain),- -,- -,- -,- -,39038,- -,1900,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
