,https://roic.ai/company/SYNA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,73698000,100201000,100701000,133276000,208139000,184557000,266787000,361057000,473302000,514890000,598538000,548228000,663588000,947539000,1703000000,1666900000,1718200000,1630300000,1472200000,1333900000,1339600000
2,COGS,17824000,25652000,50811000,59016000,58417000,77244000,112090000,101704000,160913000,213606000,281793000,306188000,352468000,292661000,337784000,511459000,1124300000,1085400000,1194600000,1150200000,975100000,790800000,728400000
3,Gross Profit,-17824000,-25652000,22887000,41185000,42284000,56032000,96049000,82853000,105874000,147451000,191509000,208702000,246070000,255567000,325804000,436080000,578700000,581500000,523600000,480100000,497100000,543100000,611200000
4,Gross Profit Ratio,-Infinity,-Infinity,0.3106,0.4110,0.4199,0.4204,0.4615,0.4489,0.3968,0.4084,0.4046,0.4053,0.4111,0.4662,0.4910,0.4602,0.3398,0.3489,0.3047,0.2945,0.3377,0.4072,0.4563
5,Research and Development Exp.,4851000,8386000,11590000,16594000,19837000,21419000,24991000,35356000,39386000,50093000,68026000,86552000,105003000,117954000,144699000,192681000,293200000,311200000,292300000,363200000,341100000,302500000,313400000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,5534000,8949000,10487000,10460000,11289000,14088000,14951000,28019000,36247000,48126000,54014000,60027000,68549000,70045000,80645000,101052000,142100000,180300000,149300000,166800000,144600000,138700000,177600000
10,Operating Expenses,10385000,17335000,22077000,27054000,31126000,35507000,39942000,63375000,75633000,98219000,122040000,146579000,173552000,187999000,225344000,293733000,435300000,491500000,441600000,530000000,485700000,441200000,491000000
11,COGS and Expenses,28209000,42987000,72888000,86070000,89543000,112751000,152032000,165079000,236546000,311825000,403833000,452767000,526020000,480660000,563128000,805192000,1559600000,1576900000,1636200000,1680200000,1460800000,1232000000,1219400000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3222000,977000,911000,922000,1059000,1973000,1600000,3100000,700000,2300000,3900000,7900000,2900000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1238000,2400000,17000,17000,17000,9000,3800000,4800000,6000000,22200000,21200000,22500000,29500000
14,Depreciation and Amortization,- -,605000,1660000,1769000,2015000,1530000,1876000,2509000,3208000,4657000,6338000,8677000,11169000,10409000,10846000,21636000,112400000,104200000,92500000,122800000,110000000,78100000,131700000
15,EBITDA,-28209000,-42382000,2650000,16225000,14077000,22456000,60208000,28032000,41639000,53445000,73386000,71334000,84657000,78976000,112596000,96104000,276400000,184600000,159500000,61400000,108600000,258000000,272200000
16,EBITDA ratio,-Infinity,-Infinity,0.0360,0.1619,0.1398,0.1685,0.2893,0.1519,0.1561,0.1480,0.1551,0.1385,0.1414,0.1441,0.1697,0.1014,0.1623,0.1107,0.0928,0.0377,0.0738,0.1934,0.2032
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67568000,100691000,72486000,162200000,75200000,64700000,-61900000,-6300000,68900000,147000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1232,0.1517,0.0765,0.0952,0.0451,0.0377,-0.0380,-0.0043,0.0517,0.1097
19,Total Other Income Expenses (Gains),- -,- -,180000,325000,904000,401000,2225000,6045000,8190000,-444000,-3659000,-1866000,953000,982000,1042000,1973000,-2000000,400000,-3400000,-19900000,-14500000,90500000,-26900000
20,Income Before Tax,- -,- -,990000,14456000,12062000,20926000,58332000,25523000,38431000,48788000,65810000,60257000,73471000,68550000,101733000,74459000,160200000,75600000,61300000,-81800000,-20800000,159400000,120100000
21,Income Before Tax Ratio,- -,- -,0.0134,0.1443,0.1198,0.1570,0.2803,0.1383,0.1441,0.1351,0.1390,0.1170,0.1228,0.1250,0.1533,0.0786,0.0941,0.0454,0.0357,-0.0502,-0.0141,0.1195,0.0897
22,Income Tax expense (Gain),- -,- -,180000,5056000,4344000,7934000,20347000,11822000,11897000,17688000,11486000,7292000,9675000,14406000,2800000,27770000,49800000,3400000,12200000,40500000,300000,38600000,31400000
23,Net Income,1927000,-2007000,810000,9400000,7718000,12992000,37985000,13701000,26534000,31100000,54324000,52965000,63796000,54144000,98933000,46689000,110400000,72200000,48800000,-124100000,-22900000,118800000,79600000
24,Net Income ratio,Infinity,-Infinity,0.0110,0.0938,0.0766,0.0975,0.1825,0.0742,0.0995,0.0861,0.1148,0.1029,0.1066,0.0988,0.1491,0.0493,0.0648,0.0433,0.0284,-0.0761,-0.0156,0.0891,0.0594
25,EPS,0.31,-0.25,0.09,0.47,0.22,0.35,0.99,0.37,0.69,0.83,1.60,1.57,1.87,1.64,3.03,1.34,3.04,1.97,1.40,-3.63,-0.66,3.54,2.29
26,EPS Diluted,0.08,-0.25,0.03,0.28,0.21,0.32,0.87,0.34,0.63,0.79,1.53,1.50,1.80,1.57,2.89,1.26,2.89,1.91,1.37,-3.63,-0.66,3.41,2.08
27,Weighted Average Shares Outstanding,6220738,7834107,9200799,20285164,35208789,36626394,38604000,37062000,38337000,37667000,33981000,33836000,34042000,33030000,32658000,34761000,36918000,36600000,34800000,34200000,34600000,33600000,34800000
28,Weighted Average Shares Outstanding Diluted,23845719,7834107,29819236,33816691,37697796,40661296,44641500,43612500,43596000,39365000,35577000,35423000,35454000,34435000,34239000,37105000,38889000,37900000,35600000,34200000,34600000,34800000,38300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/817720/000156459020040946/0001564590-20-040946-index.htm,https://www.sec.gov/Archives/edgar/data/817720/000156459021045326/0001564590-21-045326-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,41697000,59489000,72232000,38724000,45915000,96218000,169036000,209858000,247153000,305005000,355303000,447205000,399900000,352200000,367800000,301000000,327800000,763400000,836300000
32,Short-Term Investments,- -,- -,- -,- -,35589000,36810000,156689000,206452000,219102000,50298000,22934000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,77286000,96299000,228921000,245176000,265017000,146516000,191970000,209858000,247153000,305005000,355303000,447205000,399900000,352200000,367800000,301000000,327800000,763400000,836300000
