,https://roic.ai/company/ENVA,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,133951000,198151000,260746000,660928000,765323000,809837000,652600000,745569000,843741000,1114074000,1174757000,1083710000,1207932000
2,COGS,- -,- -,- -,288474000,315052000,266787000,216858000,327966000,396632000,571000000,602894000,399517000,183672000
3,Gross Profit,- -,- -,- -,372454000,450271000,543050000,435742000,417603000,447109000,543074000,571863000,684193000,1024260000
4,Gross Profit Ratio,- -,- -,- -,0.5635,0.5883,0.6706,0.6677,0.5601,0.5299,0.4875,0.4868,0.6313,0.8479
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,66009000,91235000,117772000,136195000,155196000,181448000,176085000,183158000,196878000,219543000,193466000,140600000,156962000
7,Selling and Marketing Exp.,32775000,59197000,73329000,108810000,135336000,127862000,116882000,97404000,101429000,125269000,115132000,69780000,271160000
8,"Selling, General and Administrative Exp.",98784000,150432000,191101000,245005000,290532000,309310000,292967000,280562000,298307000,344812000,308598000,210380000,428122000
9,Other Expenses,- -,- -,- -,13272000,17143000,18732000,18388000,15564000,14388000,15190000,15055000,116016000,183075000
10,Operating Expenses,- -,- -,- -,258277000,307675000,328042000,311355000,296126000,312695000,360002000,323653000,326396000,611197000
11,COGS and Expenses,- -,- -,- -,546751000,622727000,594829000,528213000,624092000,709327000,931002000,926547000,725913000,794869000
12,Interest Income ,254977000,378613000,480340000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),121026000,180462000,219107000,20996000,19788000,38474000,52883000,65603000,74003000,79348000,75604000,86691000,76509000
14,Depreciation and Amortization,7297000,8559000,11263000,13272000,17143000,18732000,18388000,15564000,14388000,15190000,15055000,19732000,35375000
15,EBITDA,156231000,228025000,288752000,127107000,158563000,233705000,141790000,138603000,126291000,170951000,169324000,541458000,448266000
16,EBITDA ratio,1.1663,1.1508,1.1074,0.1923,0.2072,0.2886,0.2173,0.1859,0.1497,0.1534,0.1441,0.4996,0.3711
17,Operating Income,- -,- -,- -,114177000,142596000,215008000,124387000,121477000,134414000,183072000,248210000,357797000,413063000
18,Operating Income ratio,- -,- -,- -,0.1728,0.1863,0.2655,0.1906,0.1629,0.1593,0.1643,0.2113,0.3302,0.3420
19,Total Other Income Expenses (Gains),- -,- -,- -,-21338000,-20964000,-38509000,-53868000,-64041000,-96514000,-106659000,-78141000,77623000,-75908000
20,Income Before Tax,27908000,39004000,58382000,92839000,121632000,176499000,70519000,57436000,37900000,76413000,170069000,435420000,337155000
