,https://roic.ai/company/ANAB,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,5483000,15838000,17571000,16684000,10000000,5000000,8000000,75000000,63175000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,75000000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,8820000,8614000,17304000,15419000,29443000,56196000,99338000,80025000,98496000
6,General and Administrative Exp.,1950000,2354000,3589000,4290000,9338000,15526000,16094000,18854000,21493000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1950000,2354000,3589000,4290000,9338000,15526000,16094000,18854000,21493000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,10770000,10968000,20893000,19709000,38781000,71722000,115432000,98879000,119989000
11,COGS and Expenses,10770000,10968000,20893000,19709000,38781000,71722000,115432000,98879000,- -
12,Interest Income ,- -,- -,- -,- -,1623000,6685000,10984000,3959000,431000
13,Interest Expense (Gain),886000,1281000,460000,458000,1775000,1652000,1041000,- -,-1450000
14,Depreciation and Amortization,580000,308000,274000,233000,183000,315000,514000,559000,2090000
15,EBITDA,-4079000,5121000,-4532000,-3568000,-28112000,-59881000,-95933000,-19372000,-57156000
16,EBITDA ratio,-0.7439,0.3233,-0.2579,-0.2139,-2.8112,-11.9762,-11.9916,-0.2583,-0.9047
17,Operating Income,-5287000,4870000,-3322000,-3025000,-28781000,-66722000,-107432000,-23879000,-56814000
18,Operating Income ratio,-0.9643,0.3075,-0.1891,-0.1813,-2.8781,-13.3444,-13.4290,-0.3184,-0.8993
19,Total Other Income Expenses (Gains),-258000,-1338000,-1944000,-1234000,-1289000,4874000,9944000,3948000,-982000
20,Income Before Tax,-5545000,3532000,-5266000,-4259000,-30070000,-61848000,-97488000,-19931000,-57796000
21,Income Before Tax Ratio,-1.0113,0.2230,-0.2997,-0.2553,-3.0070,-12.3696,-12.1860,-0.2657,-0.9149
22,Income Tax expense (Gain),- -,- -,139000,- -,- -,-192000,-152000,- -,- -
