,https://roic.ai/company/IEHC,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4958600,4085177,4729277,4750099,4300000,4486573,4593840,4338012,4727399,4892755,5321269,7588253,6255606,7805443,10717543,12141941,13823640,- -,- -,15431944,16392217,19358246,20128041,23472694,28406666,32154549
2,COGS,3925204,3070264,3433704,3424932,3200000,3219798,3261193,3207645,3468278,3501609,3819234,4856281,4619126,5526475,7425771,8181564,8693472,- -,- -,9887351,10302640,12831775,13096955,14734561,16377063,21906236
3,Gross Profit,1033396,1014913,1295573,1325167,1100000,1266775,1332647,1130367,1259121,1391146,1502035,2731972,1636480,2278968,3291772,3960377,5130168,- -,- -,5544593,6089577,6526471,7031086,8738133,12029603,10248313
4,Gross Profit Ratio,0.2084,0.2484,0.2739,0.2790,0.2558,0.2823,0.2901,0.2606,0.2663,0.2843,0.2823,0.3600,0.2616,0.2920,0.3071,0.3262,0.3711,- -,- -,0.3593,0.3715,0.3371,0.3493,0.3723,0.4235,0.3187
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2702742,- -,3047556,- -,4006950,4007145,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",809235,746049,760432,835025,800000,772715,871844,808935,872541,957952,1027222,1253458,1138668,1277924,1643083,1796652,1983862,2118631,2220444,2702742,2617212,3047556,3754803,4006950,4007145,6007241
9,Other Expenses,258765,289236,272894,268173,300000,298558,275737,244350,203670,309311,281689,294869,258263,375575,172658,156883,161182,8881369,9779556,- -,333000,- -,443432,- -,- -,955124
10,Operating Expenses,1068000,1035285,1033326,1103198,1100000,1071273,1147581,1053285,1076211,1267263,1308911,1548327,1396931,1653499,1815741,1953535,2145044,11000000,12000000,2702742,2950212,3047556,4198235,4006950,4007145,6962365
