,https://roic.ai/company/L&TFH.NS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,53642073,20863760000,29808978000,16244265000,19968009000,25431356000,30180523000,36731215000,45714989000,38873700000,47396600000,36799100000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,24894002,2163240000,- -,2053510000,3400351000,3948908000,3586854000,3467672000,3703098000,1524100000,1846100000,2386000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,231447000,142467000,141763000,218810000,193416000,351042000,424200000,275600000,101100000
8,"Selling, General and Administrative Exp.",- -,24894002,2163240000,- -,2284957000,3542818000,4090671000,3805664000,3661088000,4054140000,1948300000,2121700000,2487100000
9,Other Expenses,- -,- -,2604620000,5894075000,3623563000,4641082000,6257234000,8759996000,8806809000,11162884000,-677800000,1035000000,-6657400000
10,Operating Expenses,- -,24894002,4767860000,5894075000,5908520000,8183900000,10347905000,12565660000,12467897000,15217024000,1270500000,3156700000,-4170300000
11,COGS and Expenses,- -,24894002,4767860000,5894075000,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,- -,10206550000,17072439000,36883740000,46786679000,56901001000,66046718000,74928569000,86049054000,116379000000,132447400000,131048500000
13,Interest Expense (Gain),- -,- -,10206550000,17072439000,23293563000,30713682000,35677873000,41241364000,46230324000,53289439000,68600300000,75136000000,71999300000
14,Depreciation and Amortization,- -,- -,542100000,600376000,651258000,801427000,955041000,828138000,672998000,519265000,496200000,815900000,870900000
15,EBITDA,- -,28748071,16793350000,24515279000,33843745000,39784433000,48420784000,54626200000,57689556000,71151914000,99559000000,102751800000,88042800000
16,EBITDA ratio,- -,0.5359,0.8049,0.8224,2.0834,1.9924,1.9040,1.8100,1.5706,1.5564,2.5611,2.1679,2.3925
17,Operating Income,- -,28748071,16095900000,23914903000,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,0.5359,0.7715,0.8023,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,-9979900000,-17072439000,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,- -,28748071,6116000000,6842464000,9886087000,8248807000,11748227000,12526653000,10789019000,17398239000,30519800000,26800700000,14952000000
21,Income Before Tax Ratio,- -,0.5359,0.2931,0.2295,0.6086,0.4131,0.4620,0.4151,0.2937,0.3806,0.7851,0.5655,0.4063
22,Income Tax expense (Gain),- -,625000,2133010000,2294513000,2594210000,2300391000,3241080000,3989772000,364367000,2748330000,8199500000,9798200000,5463200000
23,Net Income,- -,28123071,3911690000,4547951000,7304714000,5968933000,8546790000,8566926000,10421867000,14594880000,22263000000,17001700000,9709400000
24,Net Income ratio,- -,0.5243,0.1875,0.1526,0.4497,0.2989,0.3361,0.2839,0.2837,0.3193,0.5727,0.3587,0.2638
25,EPS,- -,0.02,2.57,2.61,3.95,2.82,4.00,3.53,4.85,6.97,10.37,7.91,4.49
26,EPS Diluted,- -,0.02,2.57,2.61,3.95,2.82,3.99,3.53,4.78,6.90,10.32,7.87,4.47
