,https://roic.ai/company/IVFH,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,4669267,5561614,7074088,6733402,6969730,7591639,9862726,11552813,18610487,23502740,30800858,30648381,35172388,41244717,52925526,57902966,51676028,62212148
2,COGS,3865131,4512833,5372349,5116613,5628101,5844096,7607552,8874000,13793550,16853557,22691387,21460812,24502264,27619026,36841530,41255076,37859500,45261401
3,Gross Profit,804136,1048781,1701739,1616789,1341629,1747543,2255174,2678813,4816937,6649183,8109471,9187569,10670124,13625691,16083996,16647890,13816528,16950747
4,Gross Profit Ratio,0.1722,0.1886,0.2406,0.2401,0.1925,0.2302,0.2287,0.2319,0.2588,0.2829,0.2633,0.2998,0.3034,0.3304,0.3039,0.2875,0.2674,0.2725
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1382491,807352,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19531818,- -
7,Selling and Marketing Exp.,880266,654533,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2262757,1461885,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19531818,20540229
9,Other Expenses,- -,68141,2088590,1732105,1879239,1551584,2090564,2007367,4230227,5683364,11025083,8990658,7370334,8936709,14128662,16464128,1698952,- -
10,Operating Expenses,2262757,1530026,2088590,1732105,1879239,1551584,2090564,2007367,4230227,5683364,11025083,8990658,7370334,8936709,14128662,16464128,21230770,20540229
11,COGS and Expenses,6127888,6042859,7460939,6848718,7507340,7395680,9698116,10881367,18023777,22536921,33716470,30451470,31872598,36555735,50970192,57719204,59090270,65801630
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),53067,81864,- -,308923,- -,412930,478923,561972,1057308,2452076,- -,- -,- -,159720,115435,108915,302576,352854
14,Depreciation and Amortization,69164,45151,54298,49415,39332,32392,24616,14034,126855,262882,630086,1417916,497920,533473,1082224,1421352,865867,526854
15,EBITDA,-1389457,-437518,12191711,-303461,-2381790,1290933,-1606335,2066123,3214657,1228701,-3102046,-25758175,6885625,5222455,3048558,1753034,-6496581,163377
16,EBITDA ratio,-0.2976,-0.0787,1.7234,-0.0451,-0.3417,0.1700,-0.1629,0.1788,0.1727,0.0523,-0.1007,-0.8404,0.1958,0.1266,0.0576,0.0303,-0.1257,0.0026
17,Operating Income,-1458621,-481245,-386851,-50332,-537610,195959,164610,671446,586710,965819,-2915612,196911,3299790,4688982,1955334,183762,-7414242,-3589482
18,Operating Income ratio,-0.3124,-0.0865,-0.0547,-0.0075,-0.0771,0.0258,0.0167,0.0581,0.0315,0.0411,-0.0947,0.0064,0.0938,0.1137,0.0369,0.0032,-0.1435,-0.0577
19,Total Other Income Expenses (Gains),-53067,-563109,12524264,-611467,-1883512,649652,-2274484,818671,1443784,-2452076,-816520,-27373002,3087915,-159720,-104435,39005,-250782,2873151
20,Income Before Tax,-1511688,-1044354,12137413,-661799,-2421122,845611,-2109874,1490117,2030494,-1486257,-3732132,-27176091,6387705,4529262,1850899,222767,-7665024,-716331
21,Income Before Tax Ratio,-0.3238,-0.1878,1.7158,-0.0983,-0.3474,0.1114,-0.2139,0.1290,0.1091,-0.0632,-0.1212,-0.8867,0.1816,0.1098,0.0350,0.0038,-0.1483,-0.0115
22,Income Tax expense (Gain),537,-712,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155000,- -,- -,- -
23,Net Income,-1512225,-563821,12137413,-661799,-2421122,845611,-2109874,1490117,2030494,-1486257,-3732132,-27176091,6387705,4529262,1695899,222767,-7665024,-716331
24,Net Income ratio,-0.3239,-0.1014,1.7158,-0.0983,-0.3474,0.1114,-0.2139,0.1290,0.1091,-0.0632,-0.1212,-0.8867,0.1816,0.1098,0.0320,0.0038,-0.1483,-0.0115
25,EPS,-2.00,-0.50,4.50,-0.00,-0.50,0.20,-0.55,0.50,0.36,-0.23,-0.32,-1.18,0.25,0.15,0.05,0.01,-0.22,-0.02
26,EPS Diluted,-2.00,-0.50,2.50,-0.00,-0.50,0.10,-0.55,0.50,0.25,-0.23,-0.32,-1.18,0.21,0.15,0.05,0.01,-0.22,-0.02
27,Weighted Average Shares Outstanding,756112,1737884,2562896,3082122,3640234,3820649,3933499,4382459,5698434,6500506,11421690,22996003,25071025,29846136,33983620,34116335,34871785,34871785
28,Weighted Average Shares Outstanding Diluted,756112,1737884,4617468,3082122,3640234,13776809,3933499,14602154,12530222,6500506,11421690,22996003,31984945,29969699,33983620,34116335,34871785,34871785
